dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,24.000000,120.000000,0.000833,0.083289,4.164435,208.221727,0.000000
0.020000,24.000000,120.000000,0.004164,0.249866,8.328869,208.221727,0.000000
0.020000,24.000000,120.000000,0.011660,0.499732,12.493304,208.221727,0.000000
0.020000,24.000000,120.000000,0.024987,0.832887,16.657738,208.221727,0.000000
0.020000,24.000000,120.000000,0.045809,1.249330,20.822173,208.221727,0.000000
0.020000,24.000000,120.000000,0.075793,1.749063,24.986607,208.221727,0.000000
0.020000,24.010604,120.000000,0.116604,2.332083,29.151042,208.221727,0.000000
0.020000,24.063909,120.000000,0.169909,2.998393,33.315476,208.221727,0.000000
0.020000,24.131373,120.000000,0.237373,3.747991,37.479911,208.221727,0.000000
0.020000,24.214661,120.000000,0.320661,4.580878,41.644345,208.221727,0.000000
0.020000,24.315441,120.000000,0.421441,5.497054,45.808780,208.221727,0.000000
0.020000,24.435376,120.000000,0.541376,6.496518,49.973214,208.221727,0.000000
0.020000,24.576134,120.000000,0.682134,7.579271,54.137649,208.221727,0.000000
0.020000,24.739380,120.000000,0.845380,8.745313,58.302084,208.221727,0.000000
0.020000,24.926780,120.000000,1.032780,9.994643,62.466518,208.221727,0.000000
0.020000,25.139999,120.000000,1.245999,11.327262,66.630953,208.221727,0.000000
0.020000,25.380703,120.000000,1.486703,12.743170,70.795387,208.221727,0.000000
0.020000,25.650558,120.000000,1.756558,14.242366,74.959822,208.221727,0.000000
0.020000,25.951231,120.000000,2.057231,15.824851,79.124256,208.221727,0.000000
0.020000,26.284385,120.000000,2.390385,17.490625,83.288691,208.221727,0.000000
0.020000,26.650856,120.000000,2.756856,19.156399,83.288691,0.000000,0.000000
0.020000,27.050641,120.000000,3.156641,20.822173,83.288691,0.000000,0.000000
0.020000,27.483743,120.000000,3.589743,22.487946,83.288691,0.000000,0.000000
0.020000,27.950159,120.000000,4.056159,24.153720,83.288691,0.000000,0.000000
0.020000,28.449891,120.000000,4.555891,25.819494,83.288691,-0.000000,0.000000
0.020000,28.982939,120.000000,5.088939,27.485268,83.288691,0.000000,0.000000
0.020000,29.549302,120.000000,5.655302,29.151042,83.288691,0.000000,0.000000
0.020000,30.148981,120.000000,6.254981,30.816816,83.288691,-0.000000,0.000000
0.020000,30.781975,120.000000,6.887975,32.482589,83.288691,0.000000,0.000000
0.020000,31.448284,120.000000,7.554284,34.148363,83.288691,-0.000000,0.000000
0.020000,32.147909,120.000000,8.253909,35.814137,83.288691,0.000000,0.000000
0.020000,32.880850,120.000000,8.986850,37.479911,83.288691,0.000000,0.000000
0.020000,33.647106,120.000000,9.753106,39.145685,83.288691,-0.000000,0.000000
0.020000,34.446677,120.000000,10.552677,40.811458,83.288691,0.000000,0.000000
0.020000,35.279564,120.000000,11.385564,42.477232,83.288691,-0.000000,0.000000
0.020000,36.145766,120.000000,12.251766,44.143006,83.288691,0.000000,0.000000
0.020000,37.045284,120.000000,13.151284,45.808780,83.288691,0.000000,0.000000
0.020000,37.978118,120.000000,14.084118,47.474554,83.288691,-0.000000,0.000000
0.020000,38.944266,120.000000,15.050266,49.140328,83.288691,0.000000,0.000000
0.020000,39.943731,120.000000,16.049731,50.806101,83.288691,0.000000,0.000000
0.020000,40.976510,120.000000,17.082510,52.471875,83.288691,-0.000000,0.000000
0.020000,42.042606,120.000000,18.148606,54.137649,83.288691,0.000000,0.000000
0.020000,43.142016,120.000000,19.248016,55.803423,83.288691,0.000000,0.000000
0.020000,44.274743,120.000000,20.380743,57.469197,83.288691,-0.000000,0.000000
0.020000,45.440784,120.000000,21.546784,59.134970,83.288691,0.000000,0.000000
0.020000,46.640141,120.000000,22.746141,60.800744,83.288691,0.000000,0.000000
0.020000,47.872814,120.000000,23.978814,62.466518,83.288691,-0.000000,0.000000
0.020000,49.138802,120.000000,25.244802,64.132292,83.288691,0.000000,0.000000
0.020000,50.437273,120.000000,26.543273,65.714777,79.124256,-208.221727,0.000000
0.020000,51.766560,120.000000,27.872560,67.213973,74.959822,-208.221727,0.000000
0.020000,53.124999,120.000000,29.230999,68.629881,70.795387,-208.221727,0.000000
0.020000,54.510923,120.000000,30.616923,69.962500,66.630953,-208.221727,0.000000
0.020000,55.922666,120.000000,32.028666,71.211831,62.466518,-208.221727,0.000000
0.020000,57.358563,120.000000,33.464563,72.377872,58.302084,-208.221727,0.000000
0.020000,58.816948,120.000000,34.922948,73.460625,54.137649,-208.221727,0.000000
0.020000,60.296155,120.000000,36.402155,74.460090,49.973214,-208.221727,0.000000
0.020000,61.794519,120.000000,37.900519,75.376265,45.808780,-208.221727,0.000000
0.020000,63.310373,120.000000,39.416373,76.209152,41.644345,-208.221727,0.000000
0.020000,64.842052,120.000000,40.948052,76.958750,37.479911,-208.221727,0.000000
0.020000,66.387890,120.000000,42.493890,77.625060,33.315476,-208.221727,0.000000
0.020000,67.946221,120.000000,44.052221,78.208081,29.151042,-208.221727,0.000000
0.020000,69.515380,120.000000,45.621380,78.707813,24.986607,-208.221727,0.000000
0.020000,71.093701,120.000000,47.199701,79.124256,20.822173,-208.221727,0.000000
0.020000,72.679518,120.000000,48.785518,79.457411,16.657738,-208.221727,0.000000
0.020000,74.271165,120.000000,50.377165,79.707277,12.493304,-208.221727,0.000000
0.020000,75.866976,120.000000,51.972976,79.873854,8.328869,-208.221727,0.000000
0.020000,77.464746,120.000000,53.570746,79.903155,1.465029,-343.192007,0.000000
0.020000,79.061436,120.000000,55.167436,79.765878,-6.863840,-416.443454,0.000000
0.020000,80.654548,120.000000,56.760548,79.545313,-11.028275,-208.221727,0.000000
