dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,64.390927,126.586313,0.008800,0.880000,44.000000,2200.000000,6.265351
0.020000,64.391022,126.586311,0.008895,0.004748,-43.762601,-4388.130046,6.265343
0.020000,64.411754,126.585941,0.029630,1.036766,51.600917,4768.175876,6.265326
0.020000,64.544087,126.583575,0.161984,6.617704,279.046862,11372.297295,6.265297
0.020000,64.729350,126.580257,0.347277,9.264647,132.347169,-7334.984665,6.265257
0.020000,64.967541,126.575981,0.585506,11.911452,132.340265,-0.345230,6.265206
0.020000,65.258655,126.570737,0.876668,14.558080,132.331390,-0.443739,6.265145
0.020000,65.602689,126.564517,1.220758,17.204491,132.320542,-0.542378,6.265073
0.020000,65.999636,126.557311,1.617771,19.850645,132.307721,-0.641076,6.264991
0.020000,66.449491,126.549104,2.067701,22.496504,132.292931,-0.739480,6.264900
0.020000,66.952247,126.539885,2.570541,25.142027,132.276162,-0.838458,6.264799
0.020000,67.507897,126.529637,3.126285,27.787176,132.257427,-0.936737,6.264691
0.020000,68.116430,126.518346,3.734923,30.431910,132.236719,-1.035413,6.264575
0.020000,68.777838,126.505995,4.396447,33.076191,132.214035,-1.134177,6.264452
0.020000,69.492112,126.492566,5.110846,35.719978,132.189383,-1.232619,6.264322
0.020000,70.259239,126.478042,5.878111,38.363234,132.162758,-1.331232,6.264188
0.020000,71.079208,126.462405,6.698229,41.005917,132.134157,-1.430075,6.264049
0.020000,71.952007,126.445638,7.571189,43.647988,132.103586,-1.528528,6.263907
0.020000,72.877622,126.427724,8.496977,46.289409,132.071048,-1.626919,6.263762
0.020000,73.856039,126.408646,9.475580,48.930140,132.036534,-1.725715,6.263617
0.020000,74.887243,126.388388,10.506983,51.570141,132.000044,-1.824494,6.263471
0.020000,75.971218,126.366936,11.591170,54.209373,131.961586,-1.922891,6.263326
0.020000,77.107948,126.344277,12.728126,56.847796,131.921159,-2.021328,6.263185
0.020000,78.297416,126.320401,13.917834,59.485371,131.878756,-2.120153,6.263047
0.020000,79.539603,126.295298,15.160275,62.122059,131.834381,-2.218750,6.262914
0.020000,80.834492,126.268962,16.455431,64.757819,131.788038,-2.317186,6.262788
