dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,64.170233,114.213281,0.008800,0.880000,44.000000,2200.000000,6.265351
0.020000,64.170233,114.213281,0.044000,2.640000,88.000000,2200.000000,6.265343
0.020000,64.190752,114.212915,0.123200,5.280000,132.000000,2200.000000,6.265326
0.020000,64.322731,114.210555,0.255200,7.920000,132.000000,-0.000000,6.265297
0.020000,64.507501,114.207246,0.440000,10.560000,132.000000,0.000000,6.265257
0.020000,64.745063,114.202981,0.677600,13.200000,132.000000,0.000000,6.265206
0.020000,65.035416,114.197751,0.968000,15.840000,132.000000,-0.000000,6.265145
0.020000,65.378560,114.191547,1.311200,18.480000,132.000000,0.000000,6.265073
0.020000,65.774494,114.184359,1.707200,21.120000,132.000000,0.000000,6.264991
0.020000,66.223220,114.176173,2.156000,23.760000,132.000000,-0.000000,6.264900
0.020000,66.724735,114.166976,2.657600,26.400000,132.000000,0.000000,6.264799
0.020000,67.279041,114.156754,3.212000,29.040000,132.000000,-0.000000,6.264691
0.020000,67.886137,114.145489,3.819200,31.680000,132.000000,0.000000,6.264575
0.020000,68.546022,114.133166,4.479200,34.320000,132.000000,0.000000,6.264452
0.020000,69.258696,114.119767,5.192000,36.960000,132.000000,0.000000,6.264322
0.020000,70.024159,114.105275,5.957600,39.600000,132.000000,0.000000,6.264188
0.020000,70.842410,114.089671,6.776000,42.240000,132.000000,0.000000,6.264049
0.020000,71.713449,114.072938,7.647200,44.880000,132.000000,0.000000,6.263907
0.020000,72.637276,114.055058,8.571200,47.520000,132.000000,-0.000000,6.263762
0.020000,73.613890,114.036015,9.548000,50.160000,132.000000,0.000000,6.263617
0.020000,74.643292,114.015793,10.577600,52.800000,132.000000,-0.000000,6.263471
0.020000,75.725480,113.994376,11.660000,55.440000,132.000000,-0.000000,6.263326
0.020000,76.860454,113.971752,12.795200,58.080000,132.000000,0.000000,6.263185
0.020000,78.048215,113.947910,13.983200,60.720000,132.000000,0.000000,6.263047
0.020000,79.288762,113.922840,15.224000,63.360000,132.000000,-0.000000,6.262914
0.020000,80.582094,113.896536,16.517600,66.000000,132.000000,0.000000,6.262788
0.020000,81.928213,113.868995,17.864000,68.640000,132.000000,0.000000,6.262671
0.020000,83.327117,113.840216,19.263200,71.280000,132.000000,0.000000,6.262563
0.020000,84.778806,113.810204,20.715200,73.920000,132.000000,0.000000,6.262468
0.020000,86.283282,113.778967,22.220000,76.560000,132.000000,-0.000000,6.262386
0.020000,87.840544,113.746517,23.777600,79.200000,132.000000,0.000000,6.262319
0.020000,89.450593,113.712874,25.388000,81.840000,132.000000,-0.000000,6.262269
0.020000,91.113428,113.678061,27.051200,84.480000,132.000000,0.000000,6.262239
0.020000,92.829052,113.642108,28.767200,87.120000,132.000000,0.000000,6.262229
0.020000,94.597463,113.605053,30.536000,89.760000,132.000000,0.000000,6.262243
