dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,63.949539,101.840249,0.008800,0.880000,44.000000,2200.000000,6.265351
0.020000,63.949444,101.840251,0.008895,0.004748,-43.762601,-4388.130046,6.265343
0.020000,63.969750,101.839888,0.029204,1.015443,50.534757,4714.867916,6.265326
0.020000,64.101375,101.837535,0.160850,6.582296,278.342664,11390.395336,6.265297
0.020000,64.285652,101.834235,0.345157,9.215353,131.652833,-7334.491581,6.265257
0.020000,64.522585,101.829981,0.582128,11.848548,131.659734,0.345088,6.265206
0.020000,64.812176,101.824765,0.871766,14.481920,131.668610,0.443811,6.265145
0.020000,65.154431,101.818577,1.214076,17.115509,131.679459,0.542405,6.265073
0.020000,65.549353,101.811407,1.609063,19.749355,131.692277,0.640939,6.264991
0.020000,65.996948,101.803242,2.056733,22.383496,131.707073,0.739766,6.264900
0.020000,66.497223,101.794068,2.557093,25.017973,131.723833,0.838020,6.264799
0.020000,67.050186,101.783870,3.110149,27.652824,131.742572,0.936968,6.264691
0.020000,67.655843,101.772632,3.715911,30.288090,131.763283,1.035518,6.264575
0.020000,68.314205,101.760337,4.374387,32.923809,131.785962,1.133979,6.264452
0.020000,69.025280,101.746969,5.085588,35.560021,131.810618,1.232758,6.264322
0.020000,69.789078,101.732508,5.849523,38.196766,131.837245,1.331363,6.264188
0.020000,70.605611,101.716937,6.666205,40.834083,131.865840,1.429735,6.264049
0.020000,71.474891,101.700237,7.535645,43.472011,131.896409,1.528491,6.263907
0.020000,72.396930,101.682392,8.457857,46.110590,131.928955,1.627306,6.263762
0.020000,73.371742,101.663385,9.432854,48.749860,131.963470,1.725711,6.263617
0.020000,74.399341,101.643198,10.460651,51.389859,131.999952,1.824128,6.263471
0.020000,75.479742,101.621816,11.541264,54.030627,132.038411,1.922922,6.263326
0.020000,76.612961,101.599228,12.674708,56.672204,132.078844,2.021672,6.263185
0.020000,77.799015,101.575420,13.861000,59.314629,132.121245,2.120031,6.263047
0.020000,79.037920,101.550383,15.100159,61.957941,132.165617,2.218615,6.262914
0.020000,80.329697,101.524110,16.392203,64.602181,132.211964,2.317359,6.262788
0.020000,81.674363,101.496599,17.737150,67.247386,132.260281,2.415826,6.262671
0.020000,83.071940,101.467847,19.135022,69.893598,132.310568,2.514377,6.262563
0.020000,84.522447,101.437860,20.585840,72.540854,132.362832,2.613198,6.262468
0.020000,86.025907,101.406643,22.089623,75.189195,132.417063,2.711559,6.262386
0.020000,87.582342,101.374211,23.646397,77.838661,132.473269,2.810280,6.262319
0.020000,89.191776,101.340581,25.256182,80.489290,132.531446,2.908854,6.262269
0.020000,90.854234,101.305775,26.919005,83.141122,132.591595,3.007460,6.262239
0.020000,92.569742,101.269825,28.634889,85.794196,132.653718,3.106115,6.262229
0.020000,94.338325,101.232766,30.403860,88.448552,132.717812,3.204734,6.262243
0.020000,96.160010,101.194643,32.225944,91.104230,132.783880,3.303375,6.262282
0.020000,98.034827,101.155506,34.101170,93.761268,132.851922,3.402086,6.262349
0.020000,99.962805,101.115417,36.029564,96.419707,132.921935,3.500669,6.262446
0.020000,101.943973,101.074445,38.011156,99.079585,132.993925,3.599488,6.262574
0.020000,103.978363,101.032669,40.045975,101.740943,133.067885,3.698030,6.262737
0.020000,106.066007,100.990178,42.134051,104.403820,133.143823,3.796895,6.262937
0.020000,108.206938,100.947073,44.275416,107.068254,133.221733,3.895470,6.263177
0.020000,110.401190,100.903467,46.470102,109.734287,133.301618,3.994249,6.263459
0.020000,112.648799,100.859483,48.718141,112.401956,133.383477,4.092965,6.263785
0.020000,114.949800,100.815260,51.019567,115.071302,133.467306,4.191482,6.264159
0.020000,117.304231,100.770950,53.374414,117.742365,133.553115,4.290426,6.264583
0.020000,119.712128,100.726718,55.782718,120.415182,133.640888,4.388665,6.265060
0.020000,122.173531,100.682747,58.244514,123.089795,133.730634,4.487278,6.265593
0.020000,124.688480,100.639233,60.759839,125.766242,133.822348,4.585726,6.266185
0.020000,127.257014,100.596392,63.328730,128.444562,133.916024,4.683773,6.266839
0.020000,129.870344,100.554595,65.942395,130.683244,111.934079,-1099.097244,6.267555
0.020000,132.510842,100.514333,68.583199,132.040225,67.849023,-2204.252800,6.268331
0.020000,135.160858,100.476058,71.233492,132.514646,23.721053,-2206.398510,6.269163
0.020000,137.811564,100.440048,73.884442,132.547514,1.643417,-1103.881806,6.270048
0.020000,140.462959,100.406445,76.536050,132.580380,1.643317,-0.004994,6.270986
0.020000,143.115042,100.375393,79.188315,132.613244,1.643198,-0.005952,6.271977
0.020000,145.767812,100.347032,81.841237,132.646105,1.643045,-0.007658,6.273021
0.020000,148.421269,100.321506,84.494816,132.678962,1.642838,-0.010306,6.274119
0.020000,151.075409,100.298956,87.149052,132.711814,1.642615,-0.011177,6.275269
0.020000,153.730231,100.279525,89.803946,132.744661,1.642344,-0.013551,6.276473
0.020000,156.385732,100.263356,92.459496,132.777501,1.642007,-0.016843,6.277729
0.020000,159.041908,100.250591,95.115702,132.810333,1.641611,-0.019825,6.279039
0.020000,161.698755,100.241373,97.772566,132.843157,1.641193,-0.020886,6.280401
0.020000,164.356269,100.235844,100.430085,132.875971,1.640690,-0.025125,6.281817
0.020000,166.930616,100.234138,103.004432,128.717352,-207.930967,-10478.582847,6.283167
0.020000,169.559502,100.233069,105.633318,131.444318,136.348322,17213.964446,6.282268
0.020000,172.179311,100.228692,108.253132,130.990673,-22.682277,-7951.529947,6.280637
0.020000,174.790016,100.219113,110.863854,130.536092,-22.729035,-2.337930,6.278271
0.020000,177.391566,100.202456,113.465457,130.080190,-22.795102,-3.303333,6.275169
0.020000,179.983892,100.176856,116.057910,129.622615,-22.878734,-4.181622,6.271327
0.020000,182.566897,100.140465,118.641171,129.163063,-22.977610,-4.943782,6.266742
0.020000,185.140456,100.091446,121.215197,128.701287,-23.088796,-5.559314,6.261411
0.020000,187.704413,100.027974,123.779939,128.237113,-23.208716,-5.996004,6.255330
0.020000,190.258578,99.948238,126.335348,127.770459,-23.332692,-6.198793,6.248495
0.020000,192.802725,99.850439,128.881375,127.301327,-23.456617,-6.196255,6.240901
0.020000,195.336592,99.732794,131.417971,126.829834,-23.574628,-5.900525,6.232546
0.020000,197.859877,99.593537,133.945096,126.356241,-23.679656,-5.251403,6.223425
0.020000,200.372239,99.430920,136.462715,125.880947,-23.764686,-4.251502,6.213537
0.020000,202.873296,99.243214,138.970806,125.404531,-23.820795,-2.805442,6.202879
0.020000,205.362625,99.028719,141.469360,124.927691,-23.842025,-1.061535,6.191450
0.020000,207.839767,98.785762,143.958387,124.451374,-23.815849,1.308814,6.179251
0.020000,210.304220,98.512703,146.437921,123.976714,-23.732968,4.144041,6.166286
0.020000,212.755448,98.207940,148.908022,123.505039,-23.583766,7.460110,6.152558
0.020000,215.192879,97.869916,151.368780,123.037912,-23.356363,11.370176,6.138075
0.020000,217.615911,97.497122,153.820322,122.577105,-23.040319,15.802187,6.122848
0.020000,220.023913,97.088108,156.262815,122.124604,-22.625068,20.762533,6.106890
0.020000,222.416231,96.641481,158.696467,121.682616,-22.099425,26.282172,6.090218
0.020000,224.792193,96.155919,161.121537,121.253506,-21.455487,32.196910,6.072852
0.020000,227.151112,95.630177,163.538332,120.839767,-20.686924,38.428148,6.054818
