dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,64.751084,219.626567,0.008800,0.880000,44.000000,2200.000000,0.017877
0.020000,64.751187,219.626569,0.008903,0.005171,-43.741455,-4387.072730,0.017869
0.020000,64.772745,219.626953,0.030465,1.078067,53.644819,4869.313671,0.017850
0.020000,64.905112,219.629314,0.162852,6.619375,277.065374,11171.027782,0.017819
0.020000,65.090424,219.632613,0.348194,9.267103,132.386389,-7233.949280,0.017775
0.020000,65.328683,219.636842,0.586490,11.914808,132.385292,-0.054854,0.017719
0.020000,65.619887,219.641992,0.877740,14.562486,132.383874,-0.070889,0.017650
0.020000,65.964036,219.648053,1.221943,17.210129,132.382137,-0.086847,0.017569
0.020000,66.361130,219.655012,1.619097,19.857731,132.380101,-0.101783,0.017476
0.020000,66.811167,219.662853,2.069203,22.505285,132.377730,-0.118566,0.017370
0.020000,67.314148,219.671562,2.572259,25.152786,132.375057,-0.133672,0.017253
0.020000,67.870070,219.681118,3.128263,27.800228,132.372072,-0.149249,0.017123
0.020000,68.478934,219.691501,3.737215,30.447603,132.368754,-0.165896,0.016981
0.020000,69.140737,219.702690,4.399114,33.094905,132.365131,-0.181149,0.016828
0.020000,69.855480,219.714660,5.113956,35.742130,132.361206,-0.196242,0.016663
0.020000,70.623160,219.727385,5.881742,38.389269,132.356953,-0.212639,0.016486
0.020000,71.443776,219.740838,6.702468,41.036316,132.352374,-0.228935,0.016298
0.020000,72.317326,219.754990,7.576133,43.683266,132.347493,-0.244076,0.016099
0.020000,73.243810,219.769809,8.502735,46.330112,132.342305,-0.259374,0.015889
0.020000,74.223225,219.785264,9.482272,48.976848,132.336786,-0.275950,0.015668
0.020000,75.255570,219.801320,10.514742,51.623467,132.330954,-0.291628,0.015436
0.020000,76.340842,219.817941,11.600141,54.269963,132.324816,-0.306874,0.015194
0.020000,77.479039,219.835092,12.738468,56.916330,132.318350,-0.323314,0.014941
0.020000,78.670160,219.852733,13.929719,59.562562,132.311576,-0.338682,0.014678
0.020000,79.914201,219.870825,15.173892,62.208652,132.304488,-0.354433,0.014406
0.020000,81.211161,219.889326,16.470984,64.854593,132.297076,-0.370599,0.014123
0.020000,82.561037,219.908195,17.820991,67.500380,132.289360,-0.385768,0.013832
0.020000,83.963826,219.927389,19.223911,70.146007,132.281314,-0.402333,0.013531
0.020000,85.419525,219.946862,20.679741,72.791466,132.272968,-0.417281,0.013222
0.020000,86.928131,219.966569,22.188476,75.436752,132.264290,-0.433920,0.012904
0.020000,88.489641,219.986465,23.750113,78.081858,132.255311,-0.448930,0.012578
0.020000,90.104053,220.006501,25.364648,80.726778,132.246003,-0.465401,0.012243
0.020000,91.771361,220.026630,27.032079,83.371506,132.236390,-0.480670,0.011902
0.020000,93.491564,220.046803,28.752399,86.016035,132.226453,-0.496817,0.011552
0.020000,95.264656,220.066971,30.525606,88.660359,132.216204,-0.512452,0.011196
0.020000,97.090635,220.087085,32.351696,91.304472,132.205640,-0.528213,0.010834
0.020000,98.969496,220.107093,34.230663,93.948367,132.194756,-0.544201,0.010464
0.020000,100.901234,220.126945,36.162504,96.592038,132.183562,-0.559713,0.010089
0.020000,102.885847,220.146591,38.147214,99.235479,132.172048,-0.575689,0.009709
0.020000,104.923328,220.165979,40.184787,101.878683,132.160217,-0.591561,0.009323
0.020000,107.013674,220.185059,42.275220,104.521645,132.148073,-0.607198,0.008933
0.020000,109.156879,220.203780,44.418507,107.164357,132.135613,-0.623014,0.008538
0.020000,111.352939,220.222090,46.614644,109.806814,132.122836,-0.638839,0.008139
0.020000,113.601849,220.239940,48.863624,112.449009,132.109743,-0.654617,0.007736
0.020000,115.903602,220.257280,51.165442,115.090935,132.096336,-0.670377,0.007331
0.020000,118.258194,220.274059,53.520094,117.732588,132.082612,-0.686175,0.006923
0.020000,120.665619,220.290229,55.927573,120.373959,132.068573,-0.701985,0.006512
0.020000,123.125871,220.305742,58.387874,123.015044,132.054220,-0.717651,0.006100
0.020000,125.638944,220.320551,60.900991,125.655835,132.039550,-0.733508,0.005686
0.020000,128.204832,220.334608,63.466917,128.296326,132.024564,-0.749264,0.005272
0.020000,130.814711,220.347827,66.076831,130.495656,109.966515,-1102.902466,0.004859
0.020000,133.450944,220.360096,68.713092,131.813052,65.869789,-2204.836316,0.004450
0.020000,136.095893,220.371333,71.358065,132.248650,21.779929,-2204.492980,0.004048
0.020000,138.740741,220.381517,74.002933,132.243394,-0.262828,-1102.137839,0.003655
0.020000,141.385488,220.390672,76.647695,132.238137,-0.262829,-0.000075,0.003270
0.020000,144.030133,220.398821,79.292353,132.232881,-0.262830,-0.000042,0.002894
0.020000,146.674676,220.405984,81.936905,132.227624,-0.262830,-0.000012,0.002526
0.020000,149.319116,220.412186,84.581353,132.222367,-0.262830,0.000017,0.002166
0.020000,151.963453,220.417449,87.225695,132.217111,-0.262829,0.000044,0.001815
0.020000,154.607687,220.421795,89.869932,132.211854,-0.262828,0.000069,0.001473
0.020000,157.251816,220.425246,92.514064,132.206598,-0.262826,0.000092,0.001139
0.020000,159.895842,220.427826,95.158091,132.201341,-0.262824,0.000088,0.000814
0.020000,162.539763,220.429556,97.802013,132.196085,-0.262822,0.000088,0.000497
0.020000,165.183580,220.430460,100.445829,132.190829,-0.262818,0.000219,0.000188
0.020000,167.759756,220.430229,103.022006,128.808826,-169.100116,-8441.864918,6.282370
0.020000,170.420396,220.425615,105.682649,133.032176,211.167475,19013.379550,6.280701
0.020000,173.068417,220.417955,108.330682,132.401641,-31.526736,-12134.710553,6.280052
0.020000,175.703836,220.409961,110.966113,131.771535,-31.505279,1.072851,6.280422
0.020000,178.326653,220.404308,113.588936,131.141167,-31.518422,-0.657120,6.281810
0.020000,180.936850,220.403635,116.199133,130.509842,-31.566249,-2.391371,0.001033
0.020000,183.534379,220.410548,118.796671,129.876927,-31.645748,-3.974941,0.004464
0.020000,186.119159,220.427621,121.381508,129.241830,-31.754867,-5.455973,0.008921
0.020000,188.691069,220.457397,123.953589,128.604077,-31.887658,-6.639504,0.014409
0.020000,191.249940,220.502391,126.512856,127.963350,-32.036343,-7.434282,0.020933
0.020000,193.795557,220.565089,129.059245,127.319441,-32.195420,-7.953818,0.028497
0.020000,196.327650,220.647945,131.592693,126.672399,-32.352127,-7.835382,0.037106
0.020000,198.845893,220.753381,134.113143,126.022506,-32.494649,-7.126078,0.046766
0.020000,201.349906,220.883784,136.620550,125.370307,-32.609932,-5.764175,0.057480
0.020000,203.839249,221.041500,139.114883,124.716670,-32.681851,-3.595932,0.069250
0.020000,206.313424,221.228829,141.596140,124.062836,-32.691719,-0.493406,0.082076
0.020000,208.771880,221.448019,144.064348,123.410429,-32.620333,3.569325,0.095957
0.020000,211.214015,221.701261,146.519578,122.761497,-32.446586,8.687327,0.110886
0.020000,213.639178,221.990677,148.961949,122.118528,-32.148480,14.905305,0.126854
0.020000,216.046676,222.318310,151.391638,121.484476,-31.702591,22.294425,0.143846
0.020000,218.435784,222.686122,153.808893,120.862749,-31.086368,30.811170,0.161843
0.020000,220.805749,223.095975,156.214037,120.257187,-30.278085,40.414163,0.180819
0.020000,223.155803,223.549628,158.607476,119.671971,-29.260804,50.864015,0.200739
0.020000,225.485169,224.048723,160.989711,119.111730,-28.012056,62.437400,0.221565
0.020000,227.793073,224.594779,163.361335,118.581215,-26.525756,74.315041,0.243249
0.020000,230.078755,225.189180,165.723041,118.085264,-24.797516,86.411969,0.265733
0.020000,232.341473,225.833172,168.075618,117.628849,-22.820778,98.836930,0.288955
0.020000,234.580517,226.527850,170.419950,117.216621,-20.611378,110.469980,0.312843
0.020000,236.795209,227.274157,172.757007,116.852874,-18.187341,121.201828,0.337318
0.020000,239.343575,228.179824,175.461522,135.225744,918.643488,46841.541482,0.328126
0.020000,242.364070,229.134066,178.629166,158.382184,1157.822018,11958.926486,0.285469
0.020000,245.284600,229.939015,181.658595,151.471429,-345.537787,-75167.990228,0.253990
0.020000,248.098138,230.635768,184.557122,144.926367,-327.253088,914.234932,0.233094
0.020000,250.800484,231.259714,187.330565,138.672139,-312.711410,727.083916,0.222310
0.020000,253.387601,231.841038,189.982189,132.581230,-304.545444,408.298276,0.221371
0.020000,255.853936,232.405396,192.512270,126.504028,-303.860065,34.268981,0.230252
0.020000,258.191457,232.974403,194.918048,120.288931,-310.754893,-344.741396,0.249176
0.020000,260.389330,233.565771,197.194090,113.802054,-324.343831,-679.446913,0.278581
0.020000,262.434373,234.193102,199.333189,106.954974,-342.353990,-900.507937,0.319046
0.020000,264.312609,234.865519,201.328162,99.748631,-360.317183,-898.159698,0.371151
0.020000,266.012303,235.587671,203.174905,92.337169,-370.573086,-512.795118,0.435227
0.020000,267.528416,236.360964,204.876840,85.096734,-362.021741,427.567242,0.510997
0.020000,268.864760,237.185240,206.446950,78.505503,-329.561557,1623.009223,0.596992
0.020000,270.035883,238.062006,207.909908,73.147926,-267.878838,3084.135916,0.690089
0.020000,271.066641,238.998796,209.302761,69.642648,-175.263926,4630.745587,0.785873
0.020000,271.985557,240.009929,210.669069,68.315376,-66.363602,5445.016228,0.879829
0.020000,272.815978,241.111540,212.048614,68.977243,33.093392,4972.849683,0.968452
0.020000,273.571033,242.313553,213.468101,70.974354,99.855552,3338.107997,1.049586
0.020000,274.255429,243.615658,214.939113,73.550604,128.812457,1447.845274,1.122295
0.020000,275.231905,245.665957,217.210066,113.547680,1999.853845,93552.069377,1.121920
0.020000,276.245973,247.755910,219.533047,116.149011,130.066539,-93489.365309,1.117276
0.020000,277.204119,249.723866,221.721858,109.440573,-335.421920,-23274.422917,1.119208
0.020000,278.096320,251.579970,223.781262,102.970189,-323.519210,595.135492,1.127329
0.020000,278.913877,253.330322,225.713135,96.593642,-318.827337,234.593669,1.141489
0.020000,279.649114,254.977511,227.516965,90.191510,-320.106605,-63.963402,1.161727
0.020000,280.295349,256.520955,229.190237,83.663585,-326.396234,-314.481480,1.188248
0.020000,280.847117,257.957179,230.728804,76.928358,-336.761338,-518.255205,1.221385
0.020000,281.300668,259.280158,232.127368,69.928222,-350.006833,-662.274744,1.261567
0.020000,281.654721,260.481945,233.380223,62.642738,-364.274187,-713.367678,1.309255
0.020000,281.911416,261.553811,234.482398,55.108743,-376.699735,-621.277402,1.364850
0.020000,282.077228,262.488209,235.431393,47.449775,-382.948403,-312.433422,1.428556
0.020000,282.163383,263.281600,236.229449,39.902765,-377.350497,279.895297,1.500191
0.020000,282.185106,263.937791,236.885999,32.827541,-353.761236,1179.463041,1.578994
0.020000,282.159199,264.470602,237.419440,26.672017,-307.776170,2299.253333,1.663480
0.020000,282.100249,264.904148,237.856975,21.876770,-239.762373,3400.689846,1.751450
0.020000,282.016933,265.269524,238.231729,18.737712,-156.952904,4140.473446,1.840229
0.020000,281.910483,265.598604,238.577599,17.293470,-72.212102,4237.040080,1.927075
0.020000,281.776244,265.917672,238.923756,17.307848,0.718912,3646.550728,2.009634
0.020000,281.607285,266.243665,239.290932,18.358805,52.547845,2591.446657,2.086227
0.020000,281.397975,266.583995,239.690476,19.977194,80.919467,1418.581082,2.155939
0.020000,281.146039,266.938807,240.125635,21.757945,89.037562,405.904731,2.218507
0.020000,280.852926,267.303964,240.593882,23.412345,82.720001,-315.878020,2.274135
0.020000,280.523081,267.673556,241.089256,24.768728,67.819109,-745.044625,2.323305
0.020000,280.162859,268.041540,241.604204,25.747409,48.934075,-944.251679,2.366629
0.020000,279.779544,268.402557,242.130762,26.327912,29.025130,-995.447246,2.404748
0.020000,279.380575,268.752282,242.661313,26.527525,9.980671,-952.222941,2.438278
