dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,66.768298,193.702916,0.000396,0.039583,1.979167,98.958333,0.015048
0.020000,66.768422,193.702918,0.000519,0.006178,-1.670274,-182.472038,0.015057
0.020000,66.768700,193.702922,0.000797,0.013900,0.386097,102.818556,0.015079
0.020000,66.769194,193.702930,0.001292,0.024709,0.540484,7.719328,0.015118
0.020000,66.769966,193.702942,0.002064,0.038605,0.694790,7.715318,0.015179
0.020000,66.771077,193.702959,0.003175,0.055585,0.848965,7.708751,0.015266
0.020000,66.772590,193.702982,0.004688,0.075643,1.002945,7.698983,0.015384
0.020000,66.774565,193.703012,0.006664,0.098776,1.156652,7.685372,0.015539
0.020000,66.799465,193.703402,0.031567,1.245139,57.318133,2808.074062,0.015735
0.020000,66.842128,193.704079,0.074235,2.133414,44.413766,-645.218353,0.015977
0.020000,66.893748,193.704911,0.125862,2.581335,22.396035,-1100.886555,0.016270
0.020000,66.955178,193.705922,0.187299,3.071897,24.528068,106.601657,0.016618
0.020000,67.027269,193.707134,0.259401,3.605097,26.660003,106.596759,0.017026
0.020000,67.110873,193.708578,0.343018,4.180823,28.786303,106.314955,0.017500
0.020000,67.206841,193.710283,0.439001,4.799138,30.915786,106.474151,0.018042
0.020000,67.316023,193.712287,0.548201,5.459997,33.042947,106.358050,0.018659
0.020000,67.439267,193.714630,0.671467,6.163344,35.167357,106.220501,0.019355
0.020000,67.577425,193.717358,0.809652,6.909225,37.294004,106.332356,0.020134
0.020000,67.731342,193.720524,0.963602,7.697503,39.413936,105.996638,0.021001
0.020000,67.901867,193.724188,1.134167,8.528227,41.536202,106.113253,0.021961
0.020000,68.089845,193.728416,1.322192,9.401257,43.651461,105.762975,0.023016
0.020000,68.296120,193.733284,1.528524,10.316605,45.767433,105.798608,0.024173
0.020000,68.521534,193.738876,1.754007,11.274168,47.878120,105.534334,0.025435
0.020000,68.766931,193.745288,1.999488,12.274032,49.993247,105.756341,0.026806
0.020000,69.033147,193.752624,2.265805,13.315864,52.091582,104.916742,0.028290
0.020000,69.321021,193.761000,2.553801,14.399804,54.196992,105.270545,0.029891
0.020000,69.631388,193.770548,2.864315,15.525702,56.294909,104.895843,0.031613
0.020000,69.965080,193.781409,3.198183,16.693397,58.384718,104.490427,0.033459
0.020000,70.322926,193.793740,3.556242,17.902922,60.476269,104.577582,0.035432
0.020000,70.705751,193.807714,3.939322,19.154029,62.555355,103.954290,0.037537
0.020000,71.113954,193.823501,4.347830,20.425400,63.568543,50.659410,0.039772
0.020000,71.547503,193.841267,4.781743,21.695648,63.512397,-2.807343,0.042138
0.020000,72.006365,193.861188,5.241037,22.964694,63.452319,-3.003879,0.044632
0.020000,72.490503,193.883446,5.725686,24.232458,63.388198,-3.206035,0.047251
0.020000,72.999877,193.908233,6.235663,25.498850,63.319613,-3.429251,0.049995
0.020000,73.534444,193.935750,6.770938,26.763725,63.243753,-3.793004,0.052859
0.020000,74.094157,193.966201,7.331479,28.027063,63.166886,-3.843345,0.055843
0.020000,74.678967,193.999803,7.917253,29.288713,63.082508,-4.218892,0.058943
0.020000,75.288819,194.036776,8.528225,30.548588,62.993721,-4.439381,0.062157
