dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,68.180589,163.941698,0.000982,0.098182,4.909091,245.454545,0.015689
0.020000,68.180589,163.941698,0.004909,0.294545,9.818182,245.454545,0.015686
0.020000,68.180589,163.941698,0.013745,0.589091,14.727273,245.454545,0.015678
0.020000,68.180589,163.941698,0.029455,0.981818,19.636364,245.454545,0.015663
0.020000,68.180589,163.941698,0.054000,1.472727,24.545455,245.454545,0.015640
0.020000,68.180589,163.941698,0.089345,2.061818,29.454545,245.454545,0.015607
0.020000,68.218885,163.942294,0.137455,2.749091,34.363636,245.454545,0.015563
0.020000,68.281714,163.943270,0.200291,3.534545,39.272727,245.454545,0.015506
0.020000,68.361232,163.944501,0.279818,4.418182,44.181818,245.454545,0.015433
0.020000,68.459402,163.946011,0.378000,5.400000,49.090909,245.454545,0.015345
0.020000,68.578188,163.947828,0.496800,6.480000,54.000000,245.454545,0.015239
0.020000,68.719554,163.949974,0.638182,7.658182,58.909091,245.454545,0.015114
0.020000,68.885462,163.952469,0.804109,8.934545,63.818182,245.454545,0.014971
0.020000,69.077877,163.955334,0.996545,10.309091,68.727273,245.454545,0.014807
0.020000,69.298762,163.958585,1.217455,11.781818,73.636364,245.454545,0.014624
0.020000,69.550081,163.962235,1.468800,13.352727,78.545455,245.454545,0.014421
0.020000,69.833798,163.966295,1.752545,15.021818,83.454545,245.454545,0.014199
0.020000,70.151875,163.970773,2.070655,16.789091,88.363636,245.454545,0.013959
0.020000,70.506278,163.975675,2.425091,18.654545,93.272727,245.454545,0.013702
0.020000,70.898969,163.981002,2.817818,20.618182,98.181818,245.454545,0.013432
0.020000,71.331912,163.986756,3.250800,22.680000,103.090909,245.454545,0.013150
0.020000,71.807072,163.992935,3.726000,24.840000,108.000000,245.454545,0.012861
0.020000,72.326412,163.999538,4.245382,27.098182,112.909091,245.454545,0.012568
0.020000,72.891896,164.006562,4.810909,29.454545,117.818182,245.454545,0.012278
0.020000,73.505487,164.014008,5.424545,31.909091,122.727273,245.454545,0.011997
0.020000,74.168168,164.021869,6.087273,34.363636,122.727273,-0.000000,0.011733
0.020000,74.879938,164.030132,6.799091,36.818182,122.727273,0.000000,0.011494
0.020000,75.640798,164.038797,7.560000,39.272727,122.727273,0.000000,0.011290
0.020000,76.450747,164.047874,8.370000,41.727273,122.727273,-0.000000,0.011133
0.020000,77.309785,164.057390,9.229091,44.181818,122.727273,0.000000,0.011031
0.020000,78.217912,164.067387,10.137273,46.636364,122.727273,-0.000000,0.010999
0.020000,79.175126,164.077932,11.094545,49.090909,122.727273,-0.000000,0.011047
0.020000,80.181428,164.089112,12.100909,51.545455,122.727273,0.000000,0.011188
0.020000,81.236815,164.101043,13.156364,54.000000,122.727273,-0.000000,0.011438
0.020000,82.341286,164.113871,14.260909,56.454545,122.727273,0.000000,0.011809
0.020000,83.494839,164.127774,15.414545,58.909091,122.727273,0.000000,0.012317
0.020000,84.697470,164.142971,16.617273,61.363636,122.727273,0.000000,0.012977
0.020000,85.949176,164.159720,17.869091,63.818182,122.727273,-0.000000,0.013807
0.020000,87.249952,164.178326,19.170000,66.272727,122.727273,0.000000,0.014824
0.020000,88.599791,164.199142,20.520000,68.727273,122.727273,-0.000000,0.016044
0.020000,89.998686,164.222577,21.919091,71.181818,122.727273,0.000000,0.017488
0.020000,91.446625,164.249098,23.367273,73.636364,122.727273,0.000000,0.019174
0.020000,92.943594,164.279238,24.864545,76.090909,122.727273,0.000000,0.021123
0.020000,94.489576,164.313597,26.410909,78.545455,122.727273,-0.000000,0.023356
0.020000,96.083565,164.352823,28.005382,80.901818,117.818182,-245.454545,0.025892
0.020000,97.723571,164.397606,29.646000,83.160000,112.909091,-245.454545,0.028750
0.020000,99.407596,164.448694,31.330800,85.320000,108.000000,-245.454545,0.031949
0.020000,101.133633,164.506890,33.057818,87.381818,103.090909,-245.454545,0.035506
0.020000,102.899665,164.573053,34.825091,89.345455,98.181818,-245.454545,0.039437
0.020000,104.703668,164.648093,36.630655,91.210909,93.272727,-245.454545,0.043759
0.020000,106.543600,164.732967,38.472545,92.978182,88.363636,-245.454545,0.048487
0.020000,108.417410,164.828677,40.348800,94.647273,83.454545,-245.454545,0.053636
0.020000,110.323027,164.936263,42.257455,96.218182,78.545455,-245.454545,0.059218
0.020000,112.258365,165.056801,44.196545,97.690909,73.636364,-245.454545,0.065246
0.020000,114.221317,165.191392,46.164109,99.065455,68.727273,-245.454545,0.071732
0.020000,116.209753,165.341156,48.158182,100.341818,63.818182,-245.454545,0.078683
0.020000,118.221524,165.507229,50.176800,101.520000,58.909091,-245.454545,0.086110
0.020000,120.254452,165.690749,52.218000,102.600000,54.000000,-245.454545,0.094017
0.020000,122.306335,165.892851,54.279818,103.581818,49.090909,-245.454545,0.102409
0.020000,124.374943,166.114654,56.360291,104.465455,44.181818,-245.454545,0.111290
0.020000,126.458020,166.357253,58.457455,105.250909,39.272727,-245.454545,0.120659
0.020000,128.553279,166.621710,60.569345,105.938182,34.363636,-245.454545,0.130516
0.020000,130.658406,166.909036,62.694000,106.527273,29.454545,-245.454545,0.140856
0.020000,132.771060,167.220188,64.829455,107.018182,24.545455,-245.454545,0.151673
0.020000,134.888872,167.556051,66.973745,107.410909,19.636364,-245.454545,0.162957
0.020000,137.009452,167.917427,69.124909,107.705455,14.727273,-245.454545,0.174697
0.020000,139.130386,168.305024,71.280982,107.901818,9.818182,-245.454545,0.186879
0.020000,141.249242,168.719445,73.440000,108.000000,4.909091,-245.454545,0.199485
0.020000,143.363577,169.161172,75.600000,108.000000,0.000000,-245.454545,0.212496
0.020000,145.471893,169.630779,77.760000,108.000000,0.000000,0.000000,0.225893
0.020000,147.573635,170.128986,79.920000,108.000000,0.000000,0.000000,0.239666
0.020000,149.668218,170.656471,82.080000,108.000000,0.000000,0.000000,0.253799
0.020000,151.755040,171.213869,84.240000,108.000000,0.000000,0.000000,0.268278
0.020000,153.833475,171.801767,86.400000,108.000000,0.000000,0.000000,0.283086
0.020000,155.902878,172.420699,88.560000,108.000000,0.000000,0.000000,0.298204
0.020000,157.962593,173.071149,90.720000,108.000000,0.000000,0.000000,0.313612
0.020000,160.011945,173.753537,92.880000,108.000000,0.000000,0.000000,0.329291
0.020000,162.050259,174.468229,95.040000,108.000000,0.000000,0.000000,0.345218
0.020000,164.076843,175.215523,97.200000,108.000000,0.000000,0.000000,0.361370
0.020000,166.033280,175.972766,99.360000,108.000000,0.000000,0.000000,0.377456
0.020000,168.020181,176.743506,101.520000,108.000000,0.000000,0.000000,0.363244
0.020000,170.043853,177.498693,103.680000,108.000000,0.000000,0.000000,0.351500
0.020000,172.075386,178.232474,105.840000,108.000000,0.000000,0.000000,0.342111
0.020000,174.112911,178.949466,108.000000,108.000000,0.000000,0.000000,0.334982
0.020000,176.154723,179.654163,110.160000,108.000000,0.000000,0.000000,0.330043
0.020000,178.199245,180.350962,112.320000,108.000000,0.000000,0.000000,0.327244
0.020000,180.244978,181.044201,114.480000,108.000000,0.000000,0.000000,0.326558
0.020000,182.290457,181.738188,116.640000,108.000000,0.000000,0.000000,0.327977
0.020000,184.334209,182.437239,118.800000,108.000000,0.000000,0.000000,0.331516
0.020000,186.374715,183.145709,120.960000,108.000000,0.000000,0.000000,0.337210
0.020000,188.410357,183.868025,123.120000,108.000000,0.000000,0.000000,0.345115
0.020000,190.439379,184.608719,125.280000,108.000000,0.000000,0.000000,0.355312
0.020000,192.459836,185.372460,127.440000,108.000000,0.000000,0.000000,0.367900
0.020000,194.469528,186.164074,129.600000,108.000000,0.000000,0.000000,0.383001
0.020000,196.465946,186.988569,131.760000,108.000000,0.000000,0.000000,0.400759
0.020000,198.446197,187.851149,133.920000,108.000000,0.000000,0.000000,0.421339
0.020000,200.406924,188.757202,136.080000,108.000000,0.000000,0.000000,0.444920
