dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,68.384544,150.943298,0.000982,0.098182,4.909091,245.454545,0.015689
0.020000,68.384497,150.943297,0.001029,0.002379,-4.790131,-484.961088,0.015686
0.020000,68.384390,150.943295,0.001136,0.005350,0.148530,246.933046,0.015678
0.020000,68.384200,150.943292,0.001326,0.009499,0.207467,2.946829,0.015663
0.020000,68.383903,150.943288,0.001623,0.014813,0.265674,2.910357,0.015640
0.020000,68.383478,150.943281,0.002048,0.021266,0.322687,2.850638,0.015607
0.020000,68.421198,150.943869,0.039772,1.886205,93.246952,4646.213267,0.015563
0.020000,68.483278,150.944833,0.101860,3.104385,60.908985,-1616.898331,0.015506
0.020000,68.561855,150.946049,0.180446,3.929319,41.246716,-983.113469,0.015433
0.020000,68.658874,150.947542,0.277477,4.851542,46.111110,243.219728,0.015345
0.020000,68.776283,150.949337,0.394900,5.871146,50.980244,243.456668,0.015239
0.020000,68.916032,150.951458,0.534665,6.988250,55.855165,243.746077,0.015114
0.020000,69.080074,150.953926,0.698726,8.203035,60.739274,244.205438,0.014971
0.020000,69.270367,150.956760,0.889039,9.515656,65.631045,244.588549,0.014807
0.020000,69.488870,150.959975,1.107565,10.926333,70.533864,245.140968,0.014624
0.020000,69.737550,150.963587,1.356272,12.435322,75.449449,245.779243,0.014421
0.020000,70.018379,150.967606,1.637130,14.042887,80.378210,246.438054,0.014199
0.020000,70.333335,150.972040,1.952117,15.749355,85.323416,247.260286,0.013959
0.020000,70.684402,150.976895,2.303218,17.555068,90.285646,248.111491,0.013702
0.020000,71.073575,150.982175,2.692427,19.460439,95.268548,249.145099,0.013432
0.020000,71.502855,150.987880,3.121745,21.465899,100.272990,250.222082,0.013150
0.020000,71.974254,150.994010,3.593183,23.571932,105.301673,251.434188,0.012861
0.020000,72.489794,151.000564,4.108765,25.779083,110.357528,252.792724,0.012568
0.020000,73.051509,151.007542,4.670524,28.087926,115.442149,254.231076,0.012278
0.020000,73.661447,151.014944,5.280506,30.499109,120.559179,255.851507,0.011997
0.020000,74.320690,151.022764,5.939795,32.964464,123.267757,135.428891,0.011733
0.020000,75.029355,151.030991,6.648509,35.435680,123.560766,14.650413,0.011494
0.020000,75.787570,151.039626,7.406772,37.913187,123.875377,15.730587,0.011290
0.020000,76.595468,151.048680,8.214721,40.397418,124.211543,16.808274,0.011133
0.020000,77.453191,151.058181,9.072497,42.888809,124.569564,17.901061,0.011031
