dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,66.000000,163.941698,0.000990,0.098958,4.947917,247.395833,6.283159
0.020000,66.000000,163.941698,0.004948,0.296875,9.895833,247.395833,6.283160
0.020000,66.000000,163.941698,0.013854,0.593750,14.843750,247.395833,6.283161
0.020000,66.000000,163.941698,0.029688,0.989583,19.791667,247.395833,6.283163
0.020000,66.000000,163.941698,0.054427,1.484375,24.739583,247.395833,6.283165
0.020000,66.000000,163.941698,0.090052,2.078125,29.687500,247.395833,6.283170
0.020000,66.000000,163.941698,0.138542,2.770833,34.635417,247.395833,6.283175
0.020000,66.000000,163.941698,0.201875,3.562500,39.583333,247.395833,6.283183
0.020000,66.057677,163.941698,0.282031,4.453125,44.531250,247.395833,0.000007
0.020000,66.156635,163.941699,0.380990,5.442708,49.479167,247.395833,0.000018
0.020000,66.276375,163.941702,0.500729,6.531250,54.427083,247.395833,0.000032
0.020000,66.418875,163.941708,0.643229,7.718750,59.375000,247.395833,0.000049
0.020000,66.586114,163.941718,0.810469,9.005208,64.322917,247.395833,0.000068
0.020000,66.780073,163.941733,1.004427,10.390625,69.270833,247.395833,0.000090
0.020000,67.002729,163.941756,1.227083,11.875000,74.218750,247.395833,0.000116
0.020000,67.256062,163.941789,1.480417,13.458333,79.166667,247.395833,0.000145
0.020000,67.541062,163.941835,1.765417,15.041667,79.166667,0.000000,0.000178
0.020000,67.857729,163.941897,2.082083,16.625000,79.166667,-0.000000,0.000214
0.020000,68.206062,163.941978,2.430417,18.208333,79.166667,0.000000,0.000253
0.020000,68.586062,163.942083,2.810417,19.791667,79.166667,0.000000,0.000296
0.020000,68.997729,163.942214,3.222083,21.375000,79.166667,0.000000,0.000342
0.020000,69.441062,163.942377,3.665417,22.958333,79.166667,0.000000,0.000392
0.020000,69.916062,163.942575,4.140417,24.541667,79.166667,-0.000000,0.000444
0.020000,70.422729,163.942815,4.647083,26.125000,79.166667,0.000000,0.000500
0.020000,70.961062,163.943100,5.185417,27.708333,79.166667,0.000000,0.000559
0.020000,71.531062,163.943436,5.755417,29.291667,79.166667,0.000000,0.000621
0.020000,72.132729,163.943829,6.357083,30.875000,79.166667,0.000000,0.000685
0.020000,72.766062,163.944284,6.990417,32.458333,79.166667,0.000000,0.000753
0.020000,73.431061,163.944808,7.655417,34.041667,79.166667,0.000000,0.000823
0.020000,74.127728,163.945407,8.352083,35.625000,79.166667,0.000000,0.000896
0.020000,74.856061,163.946087,9.080417,37.208333,79.166667,0.000000,0.000971
0.020000,75.616061,163.946854,9.840417,38.791667,79.166667,0.000000,0.001049
0.020000,76.407727,163.947716,10.632083,40.375000,79.166667,-0.000000,0.001128
0.020000,77.231059,163.948679,11.455417,41.958333,79.166667,0.000000,0.001210
0.020000,78.086059,163.949750,12.310417,43.541667,79.166667,-0.000000,0.001295
0.020000,78.972725,163.950936,13.197083,45.125000,79.166667,0.000000,0.001381
0.020000,79.891057,163.952244,14.115417,46.708333,79.166667,-0.000000,0.001468
0.020000,80.841056,163.953682,15.065417,48.291667,79.166667,0.000000,0.001558
0.020000,81.822721,163.955256,16.047083,49.875000,79.166667,0.000000,0.001649
