dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,68.988090,174.374994,0.008800,0.880000,44.000000,2200.000000,0.000962
0.020000,68.989902,174.374996,0.010612,0.090589,-39.470570,-4173.528477,0.000816
0.020000,68.993980,174.374999,0.014690,0.203922,5.666647,2256.860835,0.000486
0.020000,69.015991,174.374999,0.036701,1.100544,44.831121,1958.223704,6.283122
0.020000,69.210343,174.374912,0.231053,9.717578,430.851689,19301.028403,6.282351
0.020000,69.460244,174.374580,0.480954,12.495044,138.873316,-14598.918657,6.281357
0.020000,69.765712,174.373835,0.786423,15.273487,138.922142,2.441298,6.280138
0.020000,70.126833,174.372474,1.147547,18.056172,139.134257,10.605751,6.278692
0.020000,70.543556,174.370252,1.564276,20.836457,139.014256,-6.000059,6.277015
0.020000,71.015969,174.366886,2.036701,23.621248,139.239561,11.265270,6.275105
0.020000,71.544136,174.362052,2.564890,26.409436,139.409361,8.489993,6.272958
0.020000,72.128086,174.355383,3.148878,29.199420,139.499221,4.493011,6.270568
0.020000,72.767822,174.346468,3.788676,31.989914,139.524705,1.274156,6.267932
0.020000,73.463490,174.334852,4.484441,34.788225,139.915545,19.542009,6.265043
0.020000,74.215089,174.320033,5.236186,37.587271,139.952306,1.838068,6.261895
0.020000,75.022701,174.301460,6.044012,40.391269,140.199884,12.378909,6.258483
0.020000,75.886415,174.278530,6.908029,43.200895,140.481312,14.071366,6.254798
0.020000,76.806261,174.250589,7.828300,46.013524,140.631426,7.505727,6.250832
0.020000,77.782330,174.216924,8.804950,48.832488,140.948241,15.840743,6.246578
0.020000,78.814699,174.176766,9.838099,51.657482,141.249657,15.070804,6.242024
0.020000,79.903407,174.129282,10.927842,54.487139,141.482870,11.660655,6.237162
0.020000,81.048602,174.073572,12.074391,57.327457,142.015879,26.650436,6.231980
0.020000,82.250290,174.008670,13.277831,60.171997,142.227024,10.557264,6.226465
0.020000,83.508537,173.933536,14.538319,63.024411,142.620699,19.683765,6.220606
0.020000,84.823472,173.847047,15.856095,65.888770,143.217963,29.863162,6.214388
0.020000,86.195069,173.748003,17.231264,68.758454,143.484189,13.311295,6.207795
0.020000,87.623423,173.635113,18.664072,71.640391,144.096856,30.633384,6.200813
0.020000,89.108561,173.506990,20.154727,74.532747,144.617802,26.047267,6.193423
0.020000,90.650485,173.362152,21.703437,77.435543,145.139774,26.098633,6.185606
0.020000,92.249216,173.199002,23.310472,80.351723,145.809004,33.461473,6.177344
0.020000,93.904762,173.015831,24.976121,83.282434,146.535554,36.327501,6.168613
0.020000,95.617047,172.810811,26.700635,86.225745,147.165571,31.500845,6.159392
0.020000,97.385996,172.581981,28.484324,89.184405,147.933005,38.371734,6.149655
0.020000,99.211498,172.327239,30.327514,92.159539,148.756704,41.184915,6.139376
0.020000,101.093379,172.044334,32.230541,95.151355,149.590782,41.703929,6.128528
0.020000,103.031470,171.730850,34.193821,98.163986,150.631546,52.038192,6.117079
0.020000,105.025446,171.384211,36.217703,101.194100,151.505690,43.707190,6.104998
0.020000,107.074945,171.001656,38.302600,104.244821,152.536059,51.518480,6.092252
0.020000,109.179582,170.580218,40.449018,107.320901,153.804024,63.398242,6.078805
0.020000,111.338742,170.116748,42.657360,110.417123,154.811072,50.352371,6.064618
0.020000,113.551767,169.607869,44.928139,113.538922,156.089949,63.943891,6.049652
0.020000,115.817831,169.049979,47.261867,116.686419,157.374870,64.246023,6.033865
0.020000,118.135955,168.439240,49.659095,119.861385,158.748266,68.669783,6.017214
0.020000,120.504943,167.771571,52.120372,123.063861,160.123805,68.776992,5.999655
0.020000,122.923351,167.042649,54.646243,126.293579,161.485895,68.104480,5.981141
0.020000,125.389491,166.247896,57.237282,129.551906,162.916382,71.524359,5.961627
0.020000,127.901402,165.382468,59.894096,132.840706,164.439983,76.180056,5.941065
0.020000,130.456705,164.441306,62.617211,136.155776,165.753489,65.675274,5.919410
0.020000,133.052677,163.419103,65.407188,139.498860,167.154222,70.036670,5.896619
0.020000,135.686126,162.310360,68.264524,142.866773,168.395642,62.070979,5.872651
0.020000,138.344427,161.113566,71.179807,145.764158,144.869275,-1176.318351,5.847556
0.020000,141.005874,159.832496,74.133524,147.685835,96.083832,-2439.272137,5.821486
0.020000,143.649029,158.472933,77.105842,148.615920,46.504235,-2478.979867,5.794625
0.020000,146.261585,157.037936,80.086558,149.035780,20.993024,-1275.560525,5.767084
0.020000,148.840005,155.526687,83.075224,149.433293,19.875645,-55.868969,5.738901
0.020000,151.380610,153.938692,86.071289,149.803249,18.497777,-68.893387,5.710120
