dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,69.011910,147.625006,0.008800,0.880000,44.000000,2200.000000,0.000962
0.020000,69.010098,147.625004,0.010612,0.090589,-39.470570,-4173.528477,0.000816
0.020000,69.006020,147.625001,0.014690,0.203922,5.666647,2256.860835,0.000486
0.020000,69.014423,147.625000,0.023094,0.420168,10.812315,257.283397,6.283122
0.020000,69.189690,147.624921,0.198361,8.763371,417.160138,20317.391123,6.282351
0.020000,69.414991,147.624621,0.423661,11.265020,125.082460,-14603.883896,6.281357
0.020000,69.690294,147.623950,0.698966,13.765216,125.009832,-3.631383,6.280138
0.020000,70.015619,147.622724,1.024293,16.266363,125.057342,2.375513,6.278692
0.020000,70.390852,147.620723,1.399531,18.761924,124.778046,-13.964831,6.277015
0.020000,70.815992,147.617694,1.824683,21.257554,124.781474,0.171413,6.275105
0.020000,71.291006,147.613347,2.299716,23.751664,124.705523,-3.797534,6.272958
0.020000,71.815816,147.607353,2.824560,26.242212,124.527374,-8.907479,6.270568
0.020000,72.390308,147.599347,3.399108,28.727415,124.260150,-13.361167,6.267932
0.020000,73.014485,147.588925,4.023372,31.213181,124.288300,1.407473,6.265043
0.020000,73.688203,147.575642,4.697221,33.692467,123.964331,-16.198423,6.261895
0.020000,74.411379,147.559011,5.420588,36.168343,123.793813,-8.525929,6.258483
0.020000,75.183920,147.538501,6.193401,38.640661,123.615863,-8.897499,6.254798
0.020000,76.005667,147.513540,7.015527,41.106279,123.280938,-16.746225,6.250832
0.020000,76.876496,147.483506,7.886874,43.567349,123.053452,-11.374318,6.246578
0.020000,77.796254,147.447729,8.807328,46.022710,122.768066,-14.269312,6.242024
0.020000,78.764738,147.405489,9.776733,48.470220,122.375502,-19.628167,6.237162
0.020000,79.781820,147.356012,10.795017,50.914224,122.200217,-8.764284,6.231980
0.020000,80.847226,147.298472,11.861976,53.347953,121.686448,-25.688432,6.226465
0.020000,81.960714,147.231983,12.977447,55.773546,121.279659,-20.339448,6.220606
0.020000,83.122073,147.155596,14.141315,58.193421,120.993747,-14.295604,6.214388
0.020000,84.330935,147.068305,15.353325,60.600475,120.352686,-32.053067,6.207795
0.020000,85.587008,146.969033,16.613315,62.999497,119.951109,-20.078810,6.200813
