dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,68.988090,149.625006,0.008800,0.880000,44.000000,2200.000000,6.282223
0.020000,68.989902,149.625004,0.010612,0.090589,-39.470570,-4173.528477,6.282369
0.020000,68.993980,149.625001,0.014690,0.203922,5.666647,2256.860835,6.282699
0.020000,69.015991,149.625001,0.036701,1.100544,44.831121,1958.223704,0.000063
0.020000,69.210343,149.625088,0.231053,9.717578,430.851689,19301.028403,0.000834
0.020000,69.460244,149.625420,0.480954,12.495044,138.873316,-14598.918657,0.001828
0.020000,69.765712,149.626165,0.786423,15.273487,138.922142,2.441298,0.003047
0.020000,70.126833,149.627526,1.147547,18.056172,139.134257,10.605751,0.004494
0.020000,70.543556,149.629748,1.564276,20.836457,139.014256,-6.000059,0.006170
0.020000,71.015969,149.633114,2.036701,23.621248,139.239561,11.265270,0.008080
0.020000,71.544136,149.637948,2.564890,26.409436,139.409361,8.489993,0.010228
0.020000,72.128086,149.644617,3.148878,29.199420,139.499221,4.493011,0.012617
0.020000,72.767822,149.653532,3.788676,31.989914,139.524705,1.274156,0.015254
0.020000,73.463490,149.665148,4.484441,34.788225,139.915545,19.542009,0.018143
0.020000,74.215089,149.679967,5.236186,37.587271,139.952306,1.838068,0.021290
0.020000,75.022701,149.698540,6.044012,40.391269,140.199884,12.378909,0.024702
0.020000,75.886415,149.721470,6.908029,43.200895,140.481312,14.071366,0.028387
0.020000,76.806261,149.749411,7.828300,46.013524,140.631426,7.505727,0.032353
0.020000,77.782330,149.783076,8.804950,48.832488,140.948241,15.840743,0.036608
0.020000,78.814699,149.823234,9.838099,51.657482,141.249657,15.070804,0.041161
0.020000,79.903407,149.870718,10.927842,54.487139,141.482870,11.660655,0.046023
0.020000,81.048602,149.926428,12.074391,57.327457,142.015879,26.650436,0.051205
0.020000,82.250290,149.991330,13.277831,60.171997,142.227024,10.557264,0.056720
0.020000,83.508537,150.066464,14.538319,63.024411,142.620699,19.683765,0.062579
0.020000,84.823472,150.152953,15.856095,65.888770,143.217963,29.863162,0.068798
0.020000,86.195069,150.251997,17.231264,68.758454,143.484189,13.311295,0.075390
0.020000,87.623423,150.364887,18.664072,71.640391,144.096856,30.633384,0.082373
0.020000,89.108561,150.493010,20.154727,74.532747,144.617802,26.047267,0.089763
