dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,40.910909,221.055615,0.000982,0.098182,4.909091,245.454545,6.283128
0.020000,40.910874,221.055615,0.001017,0.001769,-4.820660,-486.487563,6.283131
0.020000,40.910794,221.055615,0.001097,0.003979,0.110508,246.558409,6.283137
0.020000,40.910653,221.055615,0.001238,0.007071,0.154626,2.205911,6.283148
0.020000,40.910432,221.055615,0.001459,0.011044,0.198614,2.199396,6.283165
0.020000,40.916036,221.055615,0.007064,0.280225,13.459093,663.023971,0.000004
0.020000,40.963713,221.055616,0.054741,2.383846,105.181051,4586.097904,0.000037
0.020000,41.025986,221.055620,0.117013,3.113633,36.489311,-3434.587028,0.000081
0.020000,41.104801,221.055629,0.195828,3.940752,41.355980,243.333461,0.000135
0.020000,41.202105,221.055645,0.293133,4.865220,46.223398,243.370901,0.000203
0.020000,41.319846,221.055674,0.410874,5.887055,51.091739,243.417024,0.000284
0.020000,41.459972,221.055720,0.550999,7.006281,55.961275,243.476818,0.000381
0.020000,41.624431,221.055792,0.715458,8.222923,60.832122,243.542334,0.000494
0.020000,41.815171,221.055899,0.906198,9.537015,65.704625,243.625190,0.000625
0.020000,42.034143,221.056052,1.125170,10.948597,70.579053,243.721372,0.000774
0.020000,42.283297,221.056266,1.374324,12.457709,75.455608,243.827752,0.000942
0.020000,42.564585,221.056558,1.655612,14.064402,80.334689,243.954052,0.001131
0.020000,42.879959,221.056947,1.970987,15.768735,85.216630,244.097063,0.001341
0.020000,43.231374,221.057460,2.322402,17.570769,90.101697,244.253340,0.001574
0.020000,43.620785,221.058122,2.711814,19.470576,94.990369,244.433593,0.001829
0.020000,44.050149,221.058967,3.141179,21.468235,99.882955,244.629292,0.002107
0.020000,44.521424,221.060032,3.612455,23.563835,104.779953,244.849896,0.002409
0.020000,45.036572,221.061357,4.127605,25.757469,109.681705,245.087598,0.002735
0.020000,45.597555,221.062989,4.688589,28.049244,114.588767,245.353123,0.003084
0.020000,46.206337,221.064980,5.297375,30.439275,119.501528,245.638066,0.003457
0.020000,46.863912,221.067384,5.954954,32.878973,121.984913,124.169211,0.003853
0.020000,47.570301,221.070254,6.661349,35.319723,122.037495,2.629136,0.004270
0.020000,48.325525,221.073644,7.416581,37.761602,122.093965,2.823504,0.004707
0.020000,49.129609,221.077613,8.220675,40.204689,122.154354,3.019441,0.005161
0.020000,49.982578,221.082216,9.073656,42.649062,122.218636,3.214074,0.005631
0.020000,50.884458,221.087514,9.975552,45.094798,122.286816,3.409000,0.006115
0.020000,51.835278,221.093565,10.926391,47.541976,122.358892,3.603808,0.006610
0.020000,52.835068,221.100427,11.926205,49.990674,122.434879,3.799337,0.007113
0.020000,53.883859,221.108157,12.975024,52.440969,122.514752,3.993686,0.007624
0.020000,54.981684,221.116811,14.072883,54.892939,122.598525,4.188634,0.008138
0.020000,56.128577,221.126442,15.219816,57.346663,122.686203,4.383888,0.008654
0.020000,57.324574,221.137102,16.415861,59.802219,122.777771,4.578398,0.009168
0.020000,58.569712,221.148838,17.661054,62.259683,122.873238,4.773377,0.009678
0.020000,59.864031,221.161692,18.955437,64.719135,122.972600,4.968108,0.010180
0.020000,61.207571,221.175703,20.299050,67.180652,123.075858,5.162867,0.010671
0.020000,62.600374,221.190902,21.691936,69.644313,123.183007,5.357465,0.011148
0.020000,64.042485,221.207315,23.134140,72.110194,123.294053,5.552300,0.011608
0.020000,65.533948,221.224961,24.625708,74.578373,123.408989,5.746775,0.012047
0.020000,67.074811,221.243849,26.166686,77.048930,123.527816,5.941376,0.012461
0.020000,68.664143,221.263966,27.756146,79.472996,121.203289,-116.226368,0.012847
0.020000,70.300037,221.285278,29.392179,81.801617,116.431053,-238.611802,0.013199
0.020000,71.980581,221.307734,31.072873,84.034725,111.655413,-238.781979,0.013515
0.020000,73.703865,221.331270,32.796318,86.172243,106.875890,-238.976156,0.013790
0.020000,75.467976,221.355809,34.560600,88.214083,102.092027,-239.193156,0.014020
0.020000,77.271000,221.381261,36.363803,90.160151,97.303391,-239.431771,0.014202
0.020000,79.111019,221.407522,38.204009,92.010342,92.509565,-239.691329,0.014331
0.020000,80.986116,221.434476,40.079300,93.764546,87.710159,-239.970287,0.014405
0.020000,82.894371,221.461991,41.987753,95.422641,82.904798,-240.268041,0.014421
0.020000,84.833860,221.489928,43.927443,96.984504,78.093131,-240.583362,0.014375
0.020000,86.802658,221.518133,45.896443,98.450001,73.274827,-240.915205,0.014264
0.020000,88.798837,221.546443,47.892823,99.818992,68.449573,-241.262684,0.014087
0.020000,90.820466,221.574685,49.914650,101.091334,63.617081,-241.624605,0.013840
0.020000,92.865612,221.602678,51.959987,102.266875,58.777077,-242.000234,0.013522
0.020000,94.932338,221.630233,54.026897,103.345462,53.929316,-242.388013,0.013130
0.020000,97.018703,221.657154,56.113435,104.326933,49.073557,-242.787965,0.012664
0.020000,99.122763,221.683242,58.217658,105.211125,44.209598,-243.197929,0.012121
0.020000,101.242573,221.708292,60.337615,105.997870,39.337245,-243.617661,0.011500
0.020000,103.376180,221.732098,62.471355,106.686996,34.456328,-244.045884,0.010801
0.020000,105.521630,221.754451,64.616922,107.278330,29.566688,-244.481964,0.010023
0.020000,107.676965,221.775145,66.772355,107.771694,24.668204,-244.924220,0.009166
0.020000,109.840221,221.793975,68.935694,108.166909,19.760756,-245.372399,0.008230
0.020000,112.009432,221.810740,71.104970,108.463794,14.844257,-245.824946,0.007214
0.020000,114.182627,221.825243,73.278213,108.662167,9.918634,-246.281126,0.006120
0.020000,116.357830,221.837294,75.453450,108.761844,4.983838,-246.739827,0.004948
0.020000,118.534052,221.846716,77.629692,108.812112,2.513411,-123.521333,0.003698
0.020000,120.711290,221.853337,79.806939,108.862373,2.513052,-0.017975,0.002372
0.020000,122.889539,221.856988,81.985192,108.912625,2.512595,-0.022827,0.000968
0.020000,124.984851,221.857712,84.080504,104.765617,-207.350387,-10493.149093,0.000080
0.020000,127.140784,221.858207,86.236437,107.796647,151.551501,17945.094378,0.000392
0.020000,129.295673,221.859462,88.391326,107.744461,-2.609303,-7708.040189,0.000786
0.020000,131.449517,221.861649,90.545172,107.692271,-2.609526,-0.011133,0.001259
0.020000,133.602316,221.864941,92.697973,107.640075,-2.609768,-0.012122,0.001813
0.020000,135.754069,221.869510,94.849731,107.587875,-2.610011,-0.012137,0.002447
0.020000,137.904774,221.875526,97.000444,107.535668,-2.610327,-0.015800,0.003161
0.020000,140.054429,221.883161,99.150113,107.483456,-2.610634,-0.015382,0.003956
0.020000,142.203034,221.892586,101.298738,107.431237,-2.610921,-0.014327,0.004831
0.020000,144.350584,221.903972,103.446318,107.379012,-2.611269,-0.017405,0.005786
0.020000,146.497077,221.917489,105.592854,107.326780,-2.611577,-0.015373,0.006822
0.020000,148.642509,221.933308,107.738345,107.274544,-2.611840,-0.013171,0.007938
0.020000,150.786877,221.951599,109.882791,107.222301,-2.612136,-0.014817,0.009134
0.020000,152.930176,221.972531,112.026192,107.170054,-2.612357,-0.011019,0.010411
0.020000,155.072401,221.996275,114.168548,107.117804,-2.612508,-0.007581,0.011768
0.020000,157.213545,222.022999,116.309859,107.065551,-2.612646,-0.006897,0.013206
0.020000,159.353602,222.052872,118.450125,107.013297,-2.612672,-0.001279,0.014724
0.020000,161.492566,222.086064,120.589346,106.961045,-2.612600,0.003590,0.016322
0.020000,163.630427,222.122743,122.727522,106.908796,-2.612451,0.007462,0.018001
0.020000,165.767177,222.163077,124.864653,106.856553,-2.612154,0.014853,0.019760
0.020000,167.902807,222.207234,127.000739,106.804319,-2.611723,0.021550,0.021600
0.020000,170.037306,222.255381,129.135781,106.752096,-2.611136,0.029323,0.023520
0.020000,172.170663,222.307686,131.269779,106.699889,-2.610369,0.038346,0.025520
0.020000,174.302865,222.364316,133.402733,106.647700,-2.609419,0.047537,0.027600
0.020000,176.433899,222.425438,135.534644,106.595536,-2.608225,0.059701,0.029761
0.020000,178.563752,222.491217,137.665512,106.543399,-2.606821,0.070158,0.032002
0.020000,180.692407,222.561820,139.795338,106.491296,-2.605166,0.082748,0.034323
0.020000,182.819849,222.637411,141.924122,106.439233,-2.603175,0.099572,0.036724
0.020000,184.946061,222.718156,144.051866,106.387214,-2.600949,0.111278,0.039205
