dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,40.910167,208.055615,0.000982,0.098182,4.909091,245.454545,6.283128
0.020000,40.910167,208.055615,0.004909,0.294545,9.818182,245.454545,6.283131
0.020000,40.910167,208.055615,0.013745,0.589091,14.727273,245.454545,6.283137
0.020000,40.910167,208.055615,0.029455,0.981818,19.636364,245.454545,6.283148
0.020000,40.910167,208.055615,0.054000,1.472727,24.545455,245.454545,6.283165
0.020000,40.916090,208.055615,0.089345,2.061818,29.454545,245.454545,0.000004
0.020000,40.964199,208.055616,0.137455,2.749091,34.363636,245.454545,0.000037
0.020000,41.027035,208.055620,0.200291,3.534545,39.272727,245.454545,0.000081
0.020000,41.106562,208.055629,0.279818,4.418182,44.181818,245.454545,0.000135
0.020000,41.204744,208.055645,0.378000,5.400000,49.090909,245.454545,0.000203
0.020000,41.323544,208.055674,0.496800,6.480000,54.000000,245.454545,0.000284
0.020000,41.464926,208.055721,0.638182,7.658182,58.909091,245.454545,0.000381
0.020000,41.630853,208.055794,0.804109,8.934545,63.818182,245.454545,0.000494
0.020000,41.823290,208.055902,0.996545,10.309091,68.727273,245.454545,0.000625
0.020000,42.044199,208.056056,1.217455,11.781818,73.636364,245.454545,0.000774
0.020000,42.295544,208.056272,1.468800,13.352727,78.545455,245.454545,0.000942
0.020000,42.579289,208.056566,1.752545,15.021818,83.454545,245.454545,0.001131
0.020000,42.897398,208.056959,2.070655,16.789091,88.363636,245.454545,0.001341
0.020000,43.251834,208.057476,2.425091,18.654545,93.272727,245.454545,0.001574
0.020000,43.644561,208.058144,2.817818,20.618182,98.181818,245.454545,0.001829
0.020000,44.077542,208.058996,3.250800,22.680000,103.090909,245.454545,0.002107
0.020000,44.552741,208.060070,3.726000,24.840000,108.000000,245.454545,0.002409
0.020000,45.072121,208.061405,4.245382,27.098182,112.909091,245.454545,0.002735
0.020000,45.637645,208.063051,4.810909,29.454545,117.818182,245.454545,0.003084
0.020000,46.251279,208.065058,5.424545,31.909091,122.727273,245.454545,0.003457
0.020000,46.914001,208.067481,6.087273,34.363636,122.727273,-0.000000,0.003853
0.020000,47.625814,208.070372,6.799091,36.818182,122.727273,0.000000,0.004270
0.020000,48.386715,208.073788,7.560000,39.272727,122.727273,0.000000,0.004707
0.020000,49.196705,208.077786,8.370000,41.727273,122.727273,-0.000000,0.005161
0.020000,50.055784,208.082423,9.229091,44.181818,122.727273,0.000000,0.005631
0.020000,50.963950,208.087757,10.137273,46.636364,122.727273,-0.000000,0.006115
0.020000,51.921203,208.093849,11.094545,49.090909,122.727273,-0.000000,0.006610
0.020000,52.927543,208.100755,12.100909,51.545455,122.727273,0.000000,0.007113
0.020000,53.982969,208.108534,13.156364,54.000000,122.727273,-0.000000,0.007624
0.020000,55.087480,208.117241,14.260909,56.454545,122.727273,0.000000,0.008138
0.020000,56.241076,208.126929,15.414545,58.909091,122.727273,0.000000,0.008654
0.020000,57.443755,208.137649,16.617273,61.363636,122.727273,0.000000,0.009168
