dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,40.909440,195.305615,0.000990,0.098958,4.947917,247.395833,6.283128
0.020000,40.909475,195.305615,0.001025,0.001748,-4.860501,-490.420873,6.283131
0.020000,40.909553,195.305615,0.001103,0.003933,0.109240,248.487019,6.283137
0.020000,40.909693,195.305615,0.001243,0.006990,0.152851,2.180561,6.283148
0.020000,40.909912,195.305615,0.001461,0.010917,0.196332,2.174070,6.283165
0.020000,40.916855,195.305615,0.008404,0.347157,16.812012,830.784006,0.000005
0.020000,40.965771,195.305616,0.057321,2.445839,104.934110,4406.104877,0.000038
0.020000,41.029662,195.305620,0.121212,3.194528,37.434434,-3374.983773,0.000082
0.020000,41.110522,195.305629,0.202072,4.043014,42.424285,249.492551,0.000137
0.020000,41.210348,195.305646,0.301898,4.991281,47.413383,249.454858,0.000205
0.020000,41.331134,195.305676,0.422684,6.039312,52.401526,249.407145,0.000287
0.020000,41.474876,195.305724,0.566426,7.187083,57.388580,249.352704,0.000385
0.020000,41.643567,195.305799,0.735117,8.434567,62.374187,249.280364,0.000498
0.020000,41.839202,195.305909,0.930752,9.781731,67.358214,249.201373,0.000630
0.020000,42.063772,195.306067,1.155322,11.228539,72.340377,249.108145,0.000780
0.020000,42.319271,195.306288,1.410821,12.774945,77.320308,248.996542,0.000950
0.020000,42.606691,195.306589,1.698241,14.371003,79.802895,124.129344,0.001140
0.020000,42.926026,195.306986,2.017577,15.966775,79.788596,-0.714966,0.001349
0.020000,43.277271,195.307500,2.368821,17.562229,79.772717,-0.793946,0.001577
0.020000,43.660417,195.308152,2.751968,19.157334,79.755230,-0.874311,0.001824
0.020000,44.075457,195.308964,3.167009,20.752057,79.736157,-0.953666,0.002089
0.020000,44.522383,195.309961,3.613937,22.346367,79.715494,-1.033172,0.002371
0.020000,45.001186,195.311167,4.092741,23.940232,79.693266,-1.111377,0.002669
0.020000,45.511857,195.312611,4.603414,25.533620,79.669404,-1.193117,0.002983
0.020000,46.054384,195.314319,5.145944,27.126500,79.643979,-1.271245,0.003312
0.020000,46.628757,195.316320,5.720320,28.718839,79.616957,-1.351098,0.003656
0.020000,47.234965,195.318645,6.326533,30.310606,79.588353,-1.430181,0.004012
0.020000,47.872995,195.321322,6.964568,31.901769,79.558135,-1.510912,0.004381
0.020000,48.542834,195.324385,7.634414,33.492296,79.526344,-1.589552,0.004761
0.020000,49.244468,195.327863,8.336057,35.082155,79.492954,-1.669502,0.005151
0.020000,49.977884,195.331788,9.069483,36.671314,79.457979,-1.748742,0.005551
0.020000,50.743066,195.336192,9.834678,38.259742,79.421404,-1.828740,0.005958
0.020000,51.539999,195.341106,10.631626,39.847407,79.383249,-1.907754,0.006372
