dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,69.000000,162.000000,0.000843,0.084265,4.213235,210.661765,0.016694
0.020000,69.000000,162.000000,0.004213,0.252794,8.426471,210.661765,0.016668
0.020000,69.000000,162.000000,0.011797,0.505588,12.639706,210.661765,0.016611
0.020000,69.000000,162.000000,0.025279,0.842647,16.852941,210.661765,0.016508
0.020000,69.000000,162.000000,0.046346,1.263971,21.066176,210.661765,0.016348
0.020000,69.000000,162.000000,0.076681,1.769559,25.279412,210.661765,0.016119
0.020000,69.000000,162.000000,0.117971,2.359412,29.492647,210.661765,0.015806
0.020000,69.026388,162.000409,0.171900,3.033529,33.705882,210.661765,0.015399
0.020000,69.094631,162.001442,0.240154,3.791912,37.919118,210.661765,0.014886
0.020000,69.178889,162.002670,0.324419,4.634559,42.132353,210.661765,0.014254
0.020000,69.280844,162.004085,0.426379,5.561471,46.345588,210.661765,0.013493
0.020000,69.402170,162.005667,0.547721,6.572647,50.558824,210.661765,0.012593
0.020000,69.544567,162.007386,0.690128,7.668088,54.772059,210.661765,0.011543
0.020000,69.709719,162.009192,0.855287,8.847794,58.985294,210.661765,0.010335
0.020000,69.899305,162.011021,1.044882,10.111765,63.198529,210.661765,0.008960
0.020000,70.115011,162.012786,1.260600,11.460000,67.411765,210.661765,0.007411
0.020000,70.358532,162.014380,1.504125,12.892500,71.625000,210.661765,0.005683
0.020000,70.631549,162.015670,1.777143,14.409265,75.838235,210.661765,0.003771
0.020000,70.935742,162.016497,2.081338,16.010294,80.051471,210.661765,0.001671
0.020000,71.272798,162.016673,2.418397,17.695588,84.264706,210.661765,6.282567
0.020000,71.643570,162.015984,2.789162,19.380882,84.264706,0.000000,6.280095
0.020000,72.048033,162.014198,3.193632,21.066176,84.264706,-0.000000,6.277451
0.020000,72.486198,162.011069,3.631809,22.751471,84.264706,0.000000,6.274649
0.020000,72.958063,162.006343,4.103691,24.436765,84.264706,-0.000000,6.271702
0.020000,73.463599,161.999756,4.609279,26.122059,84.264706,0.000000,6.268627
0.020000,74.002831,161.991041,5.148574,27.807353,84.264706,-0.000000,6.265437
0.020000,74.575721,161.979925,5.721574,29.492647,84.264706,0.000000,6.262148
0.020000,75.182272,161.966134,6.328279,31.177941,84.264706,-0.000000,6.258778
0.020000,75.822459,161.949399,6.968691,32.863235,84.264706,-0.000000,6.255343
0.020000,76.496282,161.929452,7.642809,34.548529,84.264706,0.000000,6.251861
0.020000,77.203716,161.906032,8.350632,36.233824,84.264706,-0.000000,6.248348
0.020000,77.944748,161.878889,9.092162,37.919118,84.264706,0.000000,6.244824
0.020000,78.719360,161.847784,9.867397,39.604412,84.264706,0.000000,6.241307
0.020000,79.527537,161.812494,10.676338,41.289706,84.264706,0.000000,6.237815
0.020000,80.369243,161.772812,11.518985,42.975000,84.264706,-0.000000,6.234368
0.020000,81.244478,161.728551,12.395338,44.660294,84.264706,0.000000,6.230983
0.020000,82.153217,161.679549,13.305397,46.345588,84.264706,0.000000,6.227682
0.020000,83.095442,161.625669,14.249162,48.030882,84.264706,0.000000,6.224483
0.020000,84.071143,161.566801,15.226632,49.716176,84.264706,-0.000000,6.221406
0.020000,85.080292,161.502869,16.237809,51.401471,84.264706,0.000000,6.218471
0.020000,86.122892,161.433830,17.282691,53.086765,84.264706,0.000000,6.215699
