dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,69.205141,149.001619,0.000982,0.098182,4.909091,245.454545,0.015781
0.020000,69.204916,149.001615,0.001206,0.011223,-4.347961,-462.852607,0.015763
0.020000,69.204412,149.001607,0.001711,0.025238,0.700776,252.436873,0.015725
0.020000,69.203515,149.001593,0.002608,0.044824,0.979308,13.926613,0.015656
0.020000,69.213605,149.001750,0.012699,0.504554,22.986467,1100.357944,0.015548
0.020000,69.246938,149.002266,0.046035,1.666818,58.113196,1756.336455,0.015394
0.020000,69.292316,149.002960,0.091418,2.269176,30.117942,-1399.762704,0.015184
0.020000,69.351601,149.003852,0.150711,2.964609,34.771630,232.684400,0.014911
0.020000,69.426660,149.004958,0.225778,3.753361,39.437585,233.297733,0.014568
0.020000,69.519366,149.006289,0.318493,4.635748,44.119353,234.088406,0.014148
0.020000,69.631598,149.007849,0.430736,5.612163,48.820746,235.069638,0.013643
0.020000,69.765248,149.009633,0.564398,6.683089,53.546310,236.278188,0.013049
0.020000,69.922217,149.011627,0.721380,7.849100,58.300569,237.712987,0.012361
0.020000,70.104422,149.013808,0.903597,9.110880,63.088974,239.420240,0.011575
0.020000,70.313793,149.016138,1.112982,10.469222,67.917108,241.406694,0.010689
0.020000,70.552282,149.018569,1.351483,11.925041,72.790970,243.693070,0.009701
0.020000,70.821858,149.021037,1.621070,13.479385,77.717185,246.310753,0.008612
0.020000,71.124517,149.023463,1.923739,15.133437,82.702602,249.270875,0.007424
0.020000,71.462280,149.025752,2.261510,16.888531,87.754708,252.605300,0.006142
0.020000,71.837198,149.027797,2.636433,18.746153,92.881082,256.318675,0.004772
0.020000,72.251353,149.029471,3.050592,20.707957,98.090204,260.456103,0.003325
0.020000,72.706867,149.030637,3.506107,22.775766,103.390457,265.012652,0.001810
0.020000,73.205899,149.031146,4.005139,24.951585,108.790946,270.024484,0.000245
0.020000,73.750651,149.030839,4.549891,27.237606,114.301049,275.505111,6.281832
0.020000,74.343374,149.029554,5.142616,29.636219,119.930667,281.480911,6.280224
0.020000,74.985417,149.027133,5.784663,32.102388,123.308441,168.888703,6.278633
0.020000,75.677217,149.023441,6.476473,34.590497,124.405443,54.850118,6.277094
0.020000,76.419243,149.018369,7.218516,37.102156,125.582953,58.875470,6.275642
0.020000,77.211995,149.011849,8.011296,39.638974,126.840921,62.898440,6.274318
0.020000,78.056009,149.003858,8.855347,42.202560,128.179297,66.918788,6.273161
0.020000,78.951850,148.994433,9.751238,44.794525,129.598235,70.946880,6.272215
0.020000,79.900118,148.983678,10.699567,47.416488,131.098124,74.994456,6.271528
0.020000,80.901449,148.971784,11.700969,50.070072,132.679207,79.054179,6.271146
0.020000,81.956511,148.959034,12.756107,52.756916,134.342227,83.150965,6.271122
0.020000,83.066005,148.945825,13.865680,55.478673,136.087832,87.280251,6.271508
0.020000,84.230671,148.932678,15.030421,58.237011,137.916916,91.454208,6.272362
0.020000,85.451281,148.920259,16.251093,61.033618,139.830359,95.672135,6.273743
0.020000,86.728638,148.909398,17.528497,63.870199,141.829016,99.932864,6.275711
0.020000,88.063582,148.901105,18.863466,66.748469,143.913506,104.224516,6.278331
0.020000,89.456978,148.896596,20.256869,69.670146,146.083856,108.517491,6.281670
0.020000,90.909716,148.897313,21.709608,72.636934,148.339393,112.776834,0.002611
0.020000,92.422707,148.904949,23.222618,75.650496,150.678104,116.935541,0.007598
0.020000,93.996868,148.921474,24.796866,78.712416,153.095999,120.894762,0.013520
0.020000,95.633117,148.949162,26.433349,81.824146,155.586494,124.524770,0.020452
0.020000,97.331301,148.990592,28.132038,84.934457,155.515584,-3.545493,0.028469
0.020000,99.090144,149.048621,29.891838,87.990007,152.777455,-136.906446,0.037637
0.020000,100.908247,149.126398,31.711604,90.988290,149.914156,-143.164977,0.048020
0.020000,102.784054,149.227356,33.590126,93.926082,146.889633,-151.226142,0.059675
0.020000,104.715814,149.355201,35.526112,96.799318,143.661793,-161.391990,0.072654
0.020000,106.701542,149.513889,37.518171,99.602937,140.180950,-174.042155,0.087001
0.020000,108.738970,149.707602,39.564787,102.330804,136.393319,-189.381567,0.102751
0.020000,110.825501,149.940701,41.664298,104.975536,132.236630,-207.834447,0.119926
0.020000,112.958160,150.217672,43.814867,107.528469,127.646646,-229.499204,0.138538
0.020000,115.018382,150.519802,45.897125,104.112876,-170.779673,-14921.315945,0.151715
0.020000,117.119522,150.854281,48.024721,106.379827,113.347585,14206.362900,0.164026
0.020000,119.245560,151.219880,50.181965,107.862166,74.116939,-1961.532275,0.176579
0.020000,121.393826,151.617379,52.366696,109.236558,68.719608,-269.866566,0.189358
0.020000,123.561625,152.047450,54.576744,110.502433,63.293760,-271.292419,0.202348
0.020000,125.746244,152.510652,56.809929,111.659241,57.840369,-272.669555,0.215531
0.020000,127.944951,153.007423,59.064058,112.706449,52.360398,-273.998552,0.228890
0.020000,130.155009,153.538071,61.336929,113.643566,46.855851,-275.227342,0.242408
0.020000,132.373674,154.102776,63.626332,114.470136,41.328521,-276.366483,0.256064
0.020000,134.598205,154.701579,65.930047,115.185751,35.780725,-277.389812,0.269839
0.020000,136.825871,155.334381,68.245848,115.790057,30.215294,-278.271523,0.283713
0.020000,139.053958,156.000941,70.571503,116.282753,24.634836,-279.022917,0.297666
0.020000,141.279774,156.700872,72.904776,116.663619,19.043293,-279.577133,0.311676
0.020000,143.392734,157.395707,75.129050,111.213728,-272.494567,-14576.892997,0.319798
0.020000,145.387255,158.050307,77.228244,104.959678,-312.702473,-2010.395338,0.315196
0.020000,147.438117,158.717921,79.385035,107.839536,143.992872,22834.767265,0.314949
0.020000,149.541496,159.407144,81.598455,110.671041,141.575239,-120.881635,0.319059
0.020000,151.694527,160.127706,83.868863,113.520376,142.466793,44.577669,0.327552
0.020000,153.894214,160.890190,86.196953,116.404506,144.206480,86.984370,0.340483
0.020000,156.137159,161.706035,88.583668,119.335754,146.562385,117.795271,0.357925
