dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,12.766744,7.058792,0.000108,0.010823,0.541126,27.056277,6.283125
0.020000,12.766743,7.058792,0.000110,0.000073,-0.537490,-53.930799,6.283126
0.020000,12.766739,7.058792,0.000113,0.000164,0.004543,27.101687,6.283129
0.020000,12.766734,7.058792,0.000119,0.000291,0.006359,0.090785,6.283134
0.020000,12.766725,7.058792,0.000128,0.000454,0.008172,0.090660,6.283143
0.020000,12.766711,7.058792,0.000141,0.000654,0.009981,0.090455,6.283155
0.020000,12.766694,7.058792,0.000159,0.000890,0.011784,0.090151,6.283171
0.020000,12.769029,7.058792,0.002494,0.116754,5.793218,289.071705,0.000007
0.020000,12.777766,7.058792,0.011231,0.436843,16.004477,510.562914,0.000034
0.020000,12.788552,7.058793,0.022017,0.539315,5.123557,-544.045975,0.000068
0.020000,12.801603,7.058794,0.035068,0.652573,5.662940,26.969117,0.000108
0.020000,12.817136,7.058796,0.050601,0.776620,6.202333,26.969665,0.000156
0.020000,12.835365,7.058799,0.068830,0.911455,6.741755,26.971102,0.000212
0.020000,12.856506,7.058805,0.089972,1.057079,7.281210,26.972753,0.000278
0.020000,12.880776,7.058812,0.114241,1.213493,7.820699,26.974471,0.000352
0.020000,12.908390,7.058823,0.141855,1.380698,8.360234,26.976751,0.000437
0.020000,12.939564,7.058838,0.173029,1.558694,8.899813,26.978932,0.000532
0.020000,12.974514,7.058859,0.207979,1.747483,9.439449,26.981793,0.000638
0.020000,13.013455,7.058886,0.246920,1.947066,9.979142,26.984657,0.000756
0.020000,13.056604,7.058921,0.290069,2.157444,10.518906,26.988196,0.000887
0.020000,13.104176,7.058967,0.337641,2.378619,11.058746,26.992022,0.001030
0.020000,13.156388,7.059025,0.389853,2.610592,11.598670,26.996173,0.001186
0.020000,13.213348,7.059097,0.446813,2.847972,11.868988,13.515911,0.001355
0.020000,13.275055,7.059186,0.508520,3.085366,11.869679,0.034550,0.001537
0.020000,13.341510,7.059295,0.574976,3.322775,11.870434,0.037743,0.001732
0.020000,13.412714,7.059426,0.646180,3.560199,11.871240,0.040281,0.001939
0.020000,13.488667,7.059581,0.722132,3.797642,11.872110,0.043517,0.002159
0.020000,13.569369,7.059765,0.802834,4.035102,11.873031,0.046073,0.002390
0.020000,13.654820,7.059980,0.888286,4.272582,11.874016,0.049251,0.002632
0.020000,13.745021,7.060228,0.978488,4.510084,11.875056,0.051991,0.002886
0.020000,13.839973,7.060515,1.073440,4.747607,11.876155,0.054928,0.003149
0.020000,13.939676,7.060843,1.173143,4.985153,11.877310,0.057756,0.003424
0.020000,14.044129,7.061215,1.277597,5.222723,11.878523,0.060668,0.003707
0.020000,14.153335,7.061636,1.386804,5.460319,11.879801,0.063862,0.004000
