dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,12.766678,5.975292,0.000108,0.010823,0.541126,27.056277,6.283125
0.020000,12.766678,5.975292,0.000541,0.032468,1.082251,27.056277,6.283126
0.020000,12.766678,5.975292,0.001515,0.064935,1.623377,27.056277,6.283129
0.020000,12.766678,5.975292,0.003247,0.108225,2.164502,27.056277,6.283134
0.020000,12.766678,5.975292,0.005952,0.162338,2.705628,27.056277,6.283143
0.020000,12.766678,5.975292,0.009848,0.227273,3.246753,27.056277,6.283155
0.020000,12.766678,5.975292,0.015152,0.303030,3.787879,27.056277,6.283171
0.020000,12.769037,5.975292,0.022078,0.389610,4.329004,27.056277,0.000007
0.020000,12.777803,5.975292,0.030844,0.487013,4.870130,27.056277,0.000034
0.020000,12.788625,5.975293,0.041667,0.595238,5.411255,27.056277,0.000068
0.020000,12.801721,5.975294,0.054762,0.714286,5.952381,27.056277,0.000108
0.020000,12.817305,5.975296,0.070346,0.844156,6.493506,27.056277,0.000156
0.020000,12.835595,5.975299,0.088636,0.984848,7.034632,27.056277,0.000212
0.020000,12.856807,5.975305,0.109848,1.136364,7.575758,27.056277,0.000278
0.020000,12.881158,5.975312,0.134199,1.298701,8.116883,27.056277,0.000352
0.020000,12.908863,5.975323,0.161905,1.471861,8.658009,27.056277,0.000437
0.020000,12.940141,5.975338,0.193182,1.655844,9.199134,27.056277,0.000532
0.020000,12.975205,5.975359,0.228247,1.850649,9.740260,27.056277,0.000638
0.020000,13.014275,5.975386,0.267316,2.056277,10.281385,27.056277,0.000756
0.020000,13.057565,5.975422,0.310606,2.272727,10.822511,27.056277,0.000887
0.020000,13.105292,5.975467,0.358333,2.500000,11.363636,27.056277,0.001030
0.020000,13.157673,5.975526,0.410714,2.738095,11.904762,27.056277,0.001186
0.020000,13.214816,5.975598,0.467857,2.976190,11.904762,0.000000,0.001355
0.020000,13.276720,5.975688,0.529762,3.214286,11.904762,-0.000000,0.001537
0.020000,13.343387,5.975797,0.596429,3.452381,11.904762,0.000000,0.001732
0.020000,13.414815,5.975928,0.667857,3.690476,11.904762,-0.000000,0.001939
