dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,12.767001,4.891792,0.000105,0.010532,0.526579,26.328969,0.000298
0.020000,12.766962,4.891792,0.000145,0.001979,-0.427620,-47.709983,0.000262
0.020000,12.766873,4.891792,0.000234,0.004451,0.123603,27.561155,0.000180
0.020000,12.766715,4.891792,0.000392,0.007907,0.172775,2.458625,0.000034
0.020000,12.768713,4.891792,0.002390,0.099905,4.599917,221.357097,6.282991
0.020000,12.772150,4.891791,0.005827,0.171838,3.596667,-50.162491,6.282664
0.020000,12.776829,4.891787,0.010506,0.233959,3.106040,-24.531375,6.282220
0.020000,12.782943,4.891780,0.016620,0.305698,3.586922,24.044094,6.281642
0.020000,12.790685,4.891765,0.024362,0.387091,4.069666,24.137185,6.280914
0.020000,12.800248,4.891739,0.033926,0.478186,4.554756,24.254529,6.280020
0.020000,12.811829,4.891696,0.045506,0.579043,5.042842,24.404280,6.278948
0.020000,12.825624,4.891629,0.059301,0.689735,5.534590,24.587417,6.277682
0.020000,12.841830,4.891528,0.075508,0.810348,6.030659,24.803452,6.276214
0.020000,12.860649,4.891381,0.094328,0.940986,6.531928,25.063423,6.274532
0.020000,12.882284,4.891173,0.115963,1.081771,7.039245,25.365882,6.272630
0.020000,12.906939,4.890886,0.140620,1.232842,7.553540,25.714742,6.270504
0.020000,12.934823,4.890500,0.168507,1.394359,8.075830,26.114484,6.268151
0.020000,12.966149,4.889988,0.199837,1.566504,8.607238,26.570398,6.265574
0.020000,13.001133,4.889323,0.234827,1.749480,9.148848,27.080517,6.262778
0.020000,13.039896,4.888473,0.273600,1.938654,9.458673,15.491224,6.259780
0.020000,13.082470,4.887408,0.316187,2.129341,9.534332,3.782988,6.256609
0.020000,13.128885,4.886097,0.362621,2.321687,9.617309,4.148848,6.253294
0.020000,13.179079,4.884510,0.412839,2.510926,9.461964,-7.767245,6.249877
0.020000,13.232889,4.882622,0.466683,2.692200,9.063716,-19.912410,6.246403
0.020000,13.290157,4.880414,0.523993,2.865492,8.664594,-19.956102,6.242920
0.020000,13.350718,4.877868,0.584608,3.030761,8.263417,-20.058878,6.239475
0.020000,13.414412,4.874974,0.648367,3.187942,7.859075,-20.217068,6.236113
0.020000,13.481071,4.871724,0.715106,3.336953,7.450529,-20.427315,6.232876
0.020000,13.550532,4.868118,0.784660,3.477689,7.036810,-20.685931,6.229808
0.020000,13.622624,4.864161,0.856860,3.610030,6.617049,-20.988061,6.226947
0.020000,13.697177,4.859863,0.931537,3.733838,6.190426,-21.331158,6.224329
0.020000,13.774017,4.855243,1.008516,3.848963,5.756237,-21.709435,6.221990
0.020000,13.852969,4.850323,1.087621,3.955240,5.313828,-22.120435,6.219961
0.020000,13.933852,4.845131,1.168671,4.052493,4.862651,-22.558880,6.218268
0.020000,14.016485,4.839701,1.251482,4.140537,4.402217,-23.021705,6.216938
0.020000,14.100680,4.834072,1.335865,4.219179,3.932096,-23.506028,6.215989
0.020000,14.186249,4.828287,1.421630,4.288218,3.451950,-24.007324,6.215440
0.020000,14.272998,4.822392,1.508579,4.347448,2.961478,-24.523598,6.215304
0.020000,14.360730,4.816437,1.596512,4.396656,2.460444,-25.051708,6.215591
0.020000,14.449242,4.810474,1.685224,4.435630,1.948664,-25.588990,6.216305
0.020000,14.538256,4.804560,1.774435,4.460512,1.244117,-35.227339,6.217447
0.020000,14.627487,4.798752,1.863855,4.471009,0.524836,-35.964072,6.219013
0.020000,14.716718,4.793104,1.953265,4.470501,-0.025410,-27.512289,6.220993
0.020000,14.805728,4.787664,2.042440,4.458769,-0.586566,-28.057775,6.223374
0.020000,14.894288,4.782481,2.131152,4.435599,-1.158501,-28.596757,6.226140
0.020000,14.982168,4.777598,2.219168,4.400778,-1.741045,-29.127193,6.229270
0.020000,15.069131,4.773053,2.306250,4.354100,-2.333935,-29.644530,6.232740
0.020000,15.154937,4.768881,2.392157,4.295362,-2.936858,-30.146110,6.236521
0.020000,15.239341,4.765109,2.476645,4.224374,-3.549398,-30.627028,6.240582
0.020000,15.322092,4.761758,2.559464,4.140953,-4.171072,-31.083673,6.244888
0.020000,15.402938,4.758840,2.640362,4.044927,-4.801293,-31.511074,6.249400
0.020000,15.481621,4.756364,2.719085,3.936139,-5.439395,-31.905121,6.254077
0.020000,15.557883,4.754325,2.795374,3.814447,-6.084611,-32.260771,6.258876
0.020000,15.631460,4.752714,2.868968,3.679725,-6.736089,-32.573925,6.263750
0.020000,15.702087,4.751513,2.939606,3.531867,-7.392912,-32.841135,6.268651
0.020000,15.769498,4.750696,3.007021,3.370787,-8.054018,-33.055302,6.273530
0.020000,15.833425,4.750232,3.070950,3.196419,-8.718397,-33.218950,6.278335
0.020000,15.893599,4.750080,3.131124,3.008723,-9.384809,-33.320597,6.283016
0.020000,15.949752,4.750196,3.187278,2.807679,-10.052194,-33.369225,0.004334
0.020000,16.001696,4.750532,3.239222,2.597230,-10.522457,-23.513168,0.008615
0.020000,16.049358,4.751038,3.286887,2.383245,-10.699231,-8.838684,0.012640
0.020000,16.092708,4.751667,3.330242,2.167721,-10.776190,-3.847963,0.016381
0.020000,16.131797,4.752374,3.369337,1.954767,-10.647719,6.423537,0.019818
0.020000,16.166797,4.753123,3.404345,1.750390,-10.218821,21.444923,0.022946
0.020000,16.197921,4.753881,3.435478,1.556664,-9.686339,26.624064,0.025769
0.020000,16.225386,4.754623,3.462954,1.373773,-9.144511,27.091439,0.028291
0.020000,16.249413,4.755330,3.486991,1.201884,-8.594469,27.502097,0.030522
0.020000,16.270226,4.755986,3.507814,1.041138,-8.037285,27.859185,0.032472
0.020000,16.288049,4.756580,3.525647,0.891660,-7.473899,28.169280,0.034155
0.020000,16.303111,4.757105,3.540718,0.753557,-6.905185,28.435699,0.035587
0.020000,16.315641,4.757559,3.553257,0.626916,-6.332026,28.657961,0.036785
0.020000,16.325870,4.757940,3.563493,0.511814,-5.755115,28.845568,0.037767
0.020000,16.334031,4.758252,3.571659,0.408310,-5.175172,28.997143,0.038554
0.020000,16.340355,4.758498,3.577988,0.316456,-4.592706,29.123310,0.039165
0.020000,16.345077,4.758684,3.582714,0.236289,-4.008336,29.218472,0.039622
0.020000,16.348431,4.758817,3.586071,0.167839,-3.422527,29.290444,0.039948
0.020000,16.350652,4.758906,3.588293,0.111127,-2.835590,29.346878,0.040163
0.020000,16.351974,4.758959,3.589617,0.066169,-2.247894,29.384770,0.040292
0.020000,16.352633,4.758986,3.590276,0.032973,-1.659792,29.405107,0.040356
0.020000,16.352864,4.758995,3.590507,0.011545,-1.071424,29.418439,0.040378
0.020000,16.352902,4.758997,3.590545,0.001887,-0.482920,29.425189,0.040382
0.020000,16.352902,4.758997,3.590545,0.000000,-0.094325,19.429716,0.040382
