dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,65.193525,194.880522,0.008800,0.880000,44.000000,2200.000000,0.017877
0.020000,65.193421,194.880520,0.008903,0.005171,-43.741455,-4387.072730,0.017869
0.020000,65.214514,194.880896,0.030000,1.054805,52.481706,4811.158015,0.017850
0.020000,65.346105,194.883244,0.161612,6.580625,276.291015,11190.465480,0.017819
0.020000,65.530334,194.886523,0.345870,9.212897,131.613604,-7233.870572,0.017775
0.020000,65.767201,194.890727,0.582774,11.845192,131.614711,0.055341,0.017719
0.020000,66.056706,194.895847,0.872324,14.477514,131.616127,0.070795,0.017650
0.020000,66.398850,194.901873,1.214522,17.109871,131.617853,0.086328,0.017569
0.020000,66.793635,194.908791,1.609367,19.742269,131.619911,0.102879,0.017476
0.020000,67.241061,194.916587,2.056861,22.374715,131.622263,0.117597,0.017370
0.020000,67.741131,194.925245,2.557005,25.007214,131.624942,0.133986,0.017253
0.020000,68.293844,194.934746,3.109801,27.639772,131.627941,0.149910,0.017123
0.020000,68.899204,194.945070,3.715249,30.272397,131.631236,0.164773,0.016981
0.020000,69.557212,194.956194,4.373351,32.905094,131.634857,0.181028,0.016828
0.020000,70.267870,194.968096,5.084108,35.537870,131.638806,0.197446,0.016663
0.020000,71.031180,194.980748,5.847523,38.170731,131.643057,0.212572,0.016486
0.020000,71.847144,194.994125,6.663596,40.803684,131.647613,0.227803,0.016298
0.020000,72.715764,195.008197,7.532331,43.436734,131.652497,0.244188,0.016099
0.020000,73.637044,195.022933,8.453729,46.069888,131.657705,0.260422,0.015889
0.020000,74.610986,195.038301,9.427792,48.703152,131.663213,0.275390,0.015668
0.020000,75.637593,195.054268,10.454523,51.336533,131.669038,0.291256,0.015436
0.020000,76.716867,195.070798,11.533923,53.970037,131.675189,0.307558,0.015194
0.020000,77.848812,195.087854,12.665997,56.603669,131.681643,0.322677,0.014941
0.020000,79.033430,195.105399,13.850745,59.237438,131.688420,0.338867,0.014678
0.020000,80.270727,195.123393,15.088172,61.871348,131.695514,0.354681,0.014406
0.020000,81.560704,195.141795,16.378281,64.505406,131.702916,0.370086,0.014123
0.020000,82.903365,195.160563,17.721073,67.139619,131.710645,0.386489,0.013832
0.020000,84.298714,195.179654,19.116553,69.773993,131.718675,0.401505,0.013531
0.020000,85.746755,195.199025,20.564723,72.408534,131.727038,0.418135,0.013222
0.020000,87.247492,195.218630,22.065588,75.043248,131.735700,0.433085,0.012904
0.020000,88.800929,195.238422,23.619151,77.678141,131.744693,0.449658,0.012578
0.020000,90.407069,195.258356,25.225416,80.313221,131.753989,0.464781,0.012243
0.020000,92.065918,195.278383,26.884386,82.948493,131.763611,0.481101,0.011902
0.020000,93.777480,195.298455,28.596065,85.583964,131.773542,0.496549,0.011552
0.020000,95.541759,195.318523,30.360458,88.219640,131.783792,0.512506,0.011196
0.020000,97.358759,195.338537,32.177568,90.855527,131.794358,0.528339,0.010834
0.020000,99.228486,195.358448,34.047401,93.491632,131.805237,0.543944,0.010464
0.020000,101.150943,195.378205,35.969960,96.127961,131.816438,0.560022,0.010089
0.020000,103.126137,195.397757,37.945250,98.764520,131.827951,0.575637,0.009709
0.020000,105.154071,195.417055,39.973277,101.401315,131.839778,0.591353,0.009323
0.020000,107.234752,195.436046,42.054044,104.038354,131.851924,0.607299,0.008933
0.020000,109.368183,195.454682,44.187557,106.675641,131.864385,0.623063,0.008538
0.020000,111.554371,195.472910,46.373820,109.313185,131.877161,0.638814,0.008139
0.020000,113.793320,195.490681,48.612840,111.950990,131.890253,0.654606,0.007736
0.020000,116.085037,195.507945,50.904621,114.589063,131.903661,0.670410,0.007331
0.020000,118.429525,195.524652,53.249170,117.227411,131.917385,0.686170,0.006923
0.020000,120.826792,195.540754,55.646490,119.866039,131.931423,0.701911,0.006512
0.020000,123.276842,195.556203,58.096589,122.504955,131.945779,0.717787,0.006100
0.020000,125.779682,195.570951,60.599473,125.144164,131.960448,0.733466,0.005686
0.020000,128.335317,195.584952,63.155146,127.783672,131.975433,0.749237,0.005272
0.020000,130.934971,195.598119,65.754833,129.984342,110.033487,-1097.097283,0.004859
0.020000,133.561081,195.610341,68.380972,131.306946,66.130208,-2195.163962,0.004450
0.020000,136.196084,195.621535,71.015999,131.751348,22.220075,-2195.506656,0.004048
0.020000,138.831197,195.631683,73.651131,131.756604,0.262832,-1097.862162,0.003655
0.020000,141.466418,195.640805,76.286368,131.761861,0.262833,0.000074,0.003270
0.020000,144.101748,195.648924,78.921711,131.767118,0.262834,0.000041,0.002894
0.020000,146.737186,195.656063,81.557158,131.772374,0.262834,0.000010,0.002526
0.020000,149.372731,195.662244,84.192711,131.777631,0.262834,-0.000020,0.002166
0.020000,152.008384,195.667490,86.828368,131.782888,0.262833,-0.000047,0.001815
0.020000,154.644143,195.671822,89.464131,131.788144,0.262831,-0.000072,0.001473
0.020000,157.280009,195.675262,92.099999,131.793401,0.262829,-0.000095,0.001139
0.020000,159.915981,195.677834,94.735972,131.798657,0.262827,-0.000143,0.000814
0.020000,162.552059,195.679559,97.372051,131.803914,0.262823,-0.000181,0.000497
0.020000,165.188242,195.680461,100.008234,131.809170,0.262821,-0.000087,0.000188
0.020000,167.739569,195.680237,102.559562,127.566367,-212.140146,-10620.148354,6.282370
0.020000,170.358921,195.675692,105.178917,130.967792,170.071246,19110.569579,6.280701
0.020000,172.990877,195.668076,107.810885,131.598359,31.528344,-6927.145065,6.280052
0.020000,175.635435,195.660055,110.455454,132.228467,31.505371,-1.148657,6.280422
0.020000,178.292605,195.654331,113.112630,132.858818,31.517554,0.609151,6.281810
