dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,66.384595,219.200029,0.000396,0.039583,1.979167,98.958333,0.015048
0.020000,66.384472,219.200028,0.000519,0.006178,-1.670274,-182.472038,0.015057
0.020000,66.384194,219.200023,0.000797,0.013900,0.386097,102.818556,0.015079
0.020000,66.383700,219.200016,0.001292,0.024709,0.540484,7.719328,0.015118
0.020000,66.382928,219.200004,0.002064,0.038605,0.694790,7.715318,0.015179
0.020000,66.381816,219.199987,0.003175,0.055585,0.848965,7.708751,0.015266
0.020000,66.380303,219.199964,0.004688,0.075643,1.002945,7.698983,0.015384
0.020000,66.378328,219.199934,0.006664,0.098776,1.156652,7.685372,0.015539
0.020000,66.398229,219.200245,0.026567,0.995178,44.820064,2183.170591,0.015735
0.020000,66.434723,219.200824,0.063066,1.824931,41.487685,-166.618933,0.015977
0.020000,66.478882,219.201536,0.107231,2.208227,19.164787,-1116.144888,0.016270
0.020000,66.531437,219.202401,0.159792,2.628086,20.992948,91.408011,0.016618
0.020000,66.593119,219.203438,0.221483,3.084535,22.822452,91.475225,0.017026
0.020000,66.664658,219.204673,0.293033,3.577512,24.648827,91.318753,0.017500
0.020000,66.746787,219.206133,0.375175,4.107110,26.479909,91.554097,0.018042
0.020000,66.840238,219.207848,0.468642,4.673336,28.311303,91.569704,0.018659
0.020000,66.945743,219.209854,0.574166,5.276196,30.142985,91.584070,0.019355
0.020000,67.064036,219.212190,0.692482,5.915788,31.979595,91.830511,0.020134
0.020000,67.195849,219.214901,0.824323,6.592065,33.813871,91.713824,0.021001
0.020000,67.341918,219.218039,0.970426,7.305145,35.653992,92.006023,0.021961
0.020000,67.502978,219.221662,1.131526,8.054993,37.492424,91.921600,0.023016
0.020000,67.679763,219.225834,1.308360,8.841719,39.336277,92.192667,0.024173
0.020000,67.873010,219.230628,1.501667,9.665338,41.180949,92.233571,0.025435
0.020000,68.083459,219.236127,1.712188,10.526045,43.035351,92.720127,0.026806
0.020000,68.311846,219.242420,1.940662,11.423683,44.881893,92.327114,0.028290
0.020000,68.558912,219.249609,2.187832,12.358517,46.741700,92.990351,0.029891
0.020000,68.825397,219.257807,2.454443,13.330576,48.602982,93.064064,0.031613
0.020000,69.112043,219.267137,2.741241,14.339895,50.465955,93.148657,0.033459
0.020000,69.419595,219.277735,3.048975,15.386693,52.339882,93.696379,0.035432
0.020000,69.748795,219.289751,3.378394,16.470961,54.213412,93.676459,0.037537
0.020000,70.100024,219.303335,3.729886,17.574576,55.180755,48.367192,0.039772
0.020000,70.473297,219.318631,4.103472,18.679315,55.236934,2.808949,0.042138
0.020000,70.868630,219.335794,4.499178,19.785267,55.297575,3.032026,0.044632
0.020000,71.286039,219.354984,4.917028,20.892522,55.362788,3.260670,0.047251
0.020000,71.725543,219.376372,5.357051,22.001171,55.432422,3.481706,0.049995
0.020000,72.187157,219.400133,5.819277,23.111256,55.504261,3.591927,0.052859
0.020000,72.670900,219.426452,6.303735,24.222935,55.583925,3.983211,0.055843
0.020000,73.176791,219.455519,6.810460,25.336255,55.666009,4.104210,0.058943
0.020000,73.704847,219.487533,7.339487,26.451323,55.753395,4.369283,0.062157
0.020000,74.255092,219.522698,7.890853,27.568335,55.850611,4.860807,0.065481
0.020000,74.827541,219.561224,8.464598,28.687224,55.944443,4.691610,0.068913
0.020000,75.422217,219.603327,9.060762,29.808202,56.048896,5.222627,0.072449
0.020000,76.039138,219.649231,9.679389,30.931343,56.157082,5.409283,0.076086
0.020000,76.678327,219.699160,10.320525,32.056809,56.273265,5.809154,0.079820
0.020000,77.339804,219.753348,10.984217,33.184624,56.390752,5.874364,0.083648
0.020000,78.023589,219.812031,11.670516,34.314930,56.515322,6.228516,0.087566
0.020000,78.729705,219.875448,12.379474,35.447901,56.648536,6.660706,0.091569
0.020000,79.458172,219.943844,13.111145,36.583532,56.781569,6.651629,0.095654
0.020000,80.209012,220.017465,13.865586,37.722039,56.925315,7.187286,0.099815
0.020000,80.982247,220.096560,14.642855,38.863490,57.072591,7.363831,0.104049
0.020000,81.777898,220.181380,15.443015,40.007985,57.224743,7.607588,0.108350
0.020000,82.595988,220.272180,16.266129,41.155688,57.385137,8.019703,0.112714
0.020000,83.436540,220.369211,17.112262,42.306676,57.549405,8.213407,0.117134
0.020000,84.299575,220.472730,17.981484,43.461082,57.720283,8.543875,0.121607
0.020000,85.185117,220.582989,18.873863,44.618971,57.894449,8.708322,0.126126
0.020000,86.093189,220.700242,19.789474,45.780522,58.077564,9.155723,0.130686
0.020000,87.023814,220.824741,20.728390,46.945816,58.264693,9.356452,0.135281
0.020000,87.977017,220.956736,21.690689,48.114947,58.456566,9.593671,0.139905
