dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,66.576447,206.451473,0.000396,0.039583,1.979167,98.958333,0.015048
0.020000,66.576447,206.451473,0.001979,0.118750,3.958333,98.958333,0.015057
0.020000,66.576447,206.451473,0.005542,0.237500,5.937500,98.958333,0.015079
0.020000,66.576447,206.451473,0.011875,0.395833,7.916667,98.958333,0.015118
0.020000,66.576447,206.451473,0.021771,0.593750,9.895833,98.958333,0.015179
0.020000,66.576447,206.451473,0.036021,0.831250,11.875000,98.958333,0.015266
0.020000,66.576447,206.451473,0.055417,1.108333,13.854167,98.958333,0.015384
0.020000,66.576447,206.451473,0.080750,1.425000,15.833333,98.958333,0.015539
0.020000,66.598847,206.451824,0.112813,1.781250,17.812500,98.958333,0.015735
0.020000,66.638426,206.452452,0.152396,2.177083,19.791667,98.958333,0.015977
0.020000,66.686315,206.453224,0.200292,2.612500,21.770833,98.958333,0.016270
0.020000,66.743307,206.454161,0.257292,3.087500,23.750000,98.958333,0.016618
0.020000,66.810194,206.455286,0.324188,3.602083,25.729167,98.958333,0.017026
0.020000,66.887766,206.456626,0.401771,4.156250,27.708333,98.958333,0.017500
0.020000,66.976814,206.458208,0.490833,4.750000,29.687500,98.958333,0.018042
0.020000,67.078130,206.460068,0.592167,5.383333,31.666667,98.958333,0.018659
0.020000,67.192505,206.462242,0.706563,6.056250,33.645833,98.958333,0.019355
0.020000,67.320730,206.464774,0.834813,6.768750,35.625000,98.958333,0.020134
0.020000,67.463596,206.467713,0.977708,7.520833,37.604167,98.958333,0.021001
0.020000,67.621893,206.471114,1.136042,8.312500,39.583333,98.958333,0.021961
0.020000,67.796411,206.475039,1.310604,9.143750,41.562500,98.958333,0.023016
0.020000,67.987941,206.479559,1.502188,10.014583,43.541667,98.958333,0.024173
0.020000,68.197272,206.484752,1.711583,10.925000,45.520833,98.958333,0.025435
0.020000,68.425195,206.490707,1.939583,11.875000,47.500000,98.958333,0.026806
0.020000,68.672496,206.497522,2.186979,12.864583,49.479167,98.958333,0.028290
0.020000,68.939966,206.505305,2.454563,13.893750,51.458333,98.958333,0.029891
0.020000,69.228393,206.514178,2.743125,14.962500,53.437500,98.958333,0.031613
0.020000,69.538562,206.524273,3.053458,16.070833,55.416667,98.958333,0.033459
0.020000,69.871260,206.535737,3.386354,17.218750,57.395833,98.958333,0.035432
0.020000,70.227273,206.548732,3.742604,18.406250,59.375000,98.958333,0.037537
0.020000,70.606989,206.563418,4.122604,19.593750,59.375000,0.000000,0.039772
0.020000,71.010400,206.579949,4.526354,20.781250,59.375000,0.000000,0.042138
0.020000,71.437497,206.598491,4.953854,21.968750,59.375000,0.000000,0.044632
0.020000,71.888271,206.619215,5.405104,23.156250,59.375000,0.000000,0.047251
0.020000,72.362710,206.642303,5.880104,24.343750,59.375000,-0.000000,0.049995
0.020000,72.860800,206.667941,6.378854,25.531250,59.375000,0.000000,0.052859
0.020000,73.382528,206.696327,6.901354,26.718750,59.375000,-0.000000,0.055843
0.020000,73.927879,206.727661,7.447604,27.906250,59.375000,0.000000,0.058943
0.020000,74.496833,206.762154,8.017604,29.093750,59.375000,0.000000,0.062157
0.020000,75.089375,206.800022,8.611354,30.281250,59.375000,-0.000000,0.065481
0.020000,75.705481,206.841486,9.228854,31.468750,59.375000,0.000000,0.068913
0.020000,76.345129,206.886774,9.870104,32.656250,59.375000,-0.000000,0.072449
0.020000,77.008295,206.936118,10.535104,33.843750,59.375000,0.000000,0.076086
0.020000,77.694953,206.989755,11.223854,35.031250,59.375000,0.000000,0.079820
0.020000,78.405074,207.047928,11.936354,36.218750,59.375000,0.000000,0.083648
0.020000,79.138627,207.110882,12.672604,37.406250,59.375000,0.000000,0.087566
0.020000,79.895580,207.178865,13.432604,38.593750,59.375000,0.000000,0.091569
0.020000,80.675897,207.252128,14.216354,39.781250,59.375000,0.000000,0.095654
0.020000,81.479543,207.330926,15.023854,40.968750,59.375000,0.000000,0.099815
0.020000,82.306477,207.415514,15.855104,42.156250,59.375000,0.000000,0.104049
0.020000,83.156659,207.506148,16.710104,43.343750,59.375000,0.000000,0.108350
0.020000,84.030045,207.603084,17.588854,44.531250,59.375000,0.000000,0.112714
0.020000,84.926591,207.706579,18.491354,45.718750,59.375000,0.000000,0.117134
0.020000,85.846248,207.816889,19.417604,46.906250,59.375000,0.000000,0.121607
0.020000,86.788968,207.934267,20.367604,48.093750,59.375000,0.000000,0.126126
0.020000,87.754699,208.058965,21.341354,49.281250,59.375000,0.000000,0.130686
0.020000,88.743391,208.191232,22.338854,50.468750,59.375000,-0.000000,0.135281
0.020000,89.754987,208.331313,23.360104,51.656250,59.375000,0.000000,0.139905
0.020000,90.789433,208.479447,24.405104,52.843750,59.375000,0.000000,0.144551
0.020000,91.846673,208.635871,25.473854,54.031250,59.375000,-0.000000,0.149213
0.020000,92.926649,208.800814,26.566354,55.218750,59.375000,0.000000,0.153885
0.020000,94.029303,208.974498,27.682604,56.406250,59.375000,-0.000000,0.158560
0.020000,95.154576,209.157139,28.822604,57.593750,59.375000,0.000000,0.163231
0.020000,96.302410,209.348942,29.986354,58.781250,59.375000,0.000000,0.167892
0.020000,97.472746,209.550107,31.173854,59.968750,59.375000,-0.000000,0.172534
0.020000,98.665526,209.760820,32.385104,61.156250,59.375000,0.000000,0.177152
0.020000,99.880692,209.981258,33.620104,62.343750,59.375000,-0.000000,0.181736
0.020000,101.118189,210.211587,34.878854,63.531250,59.375000,0.000000,0.186281
0.020000,102.377960,210.451960,36.161354,64.718750,59.375000,0.000000,0.190777
0.020000,103.659954,210.702516,37.467604,65.906250,59.375000,-0.000000,0.195218
0.020000,104.964119,210.963381,38.797604,67.093750,59.375000,0.000000,0.199596
0.020000,106.290407,211.234666,40.151354,68.281250,59.375000,0.000000,0.203902
0.020000,107.638774,211.516466,41.528854,69.468750,59.375000,0.000000,0.208128
0.020000,109.009177,211.808860,42.930104,70.656250,59.375000,0.000000,0.212267
0.020000,110.401579,212.111908,44.355104,71.843750,59.375000,0.000000,0.216309
0.020000,111.815948,212.425653,45.803854,73.031250,59.375000,0.000000,0.220247
0.020000,113.252254,212.750119,47.276354,74.218750,59.375000,0.000000,0.224071
0.020000,114.710475,213.085310,48.772604,75.406250,59.375000,0.000000,0.227774
0.020000,116.190594,213.431209,50.292604,76.593750,59.375000,0.000000,0.231347
0.020000,117.692599,213.787776,51.836354,77.781250,59.375000,0.000000,0.234780
0.020000,119.216104,214.154857,53.403458,78.929167,57.395833,-98.958333,0.238064
0.020000,120.760341,214.532174,54.993125,80.037500,55.416667,-98.958333,0.241189
0.020000,122.324557,214.919417,56.604562,81.106250,53.437500,-98.958333,0.244144
0.020000,123.908007,215.316242,58.236979,82.135417,51.458333,-98.958333,0.246921
0.020000,125.509955,215.722273,59.889583,83.125000,49.479167,-98.958333,0.249509
0.020000,127.129676,216.137104,61.561583,84.075000,47.500000,-98.958333,0.251899
0.020000,128.766457,216.560296,63.252187,84.985417,45.520833,-98.958333,0.254084
0.020000,130.419590,216.991383,64.960604,85.856250,43.541667,-98.958333,0.256054
0.020000,132.088381,217.429869,66.686042,86.687500,41.562500,-98.958333,0.257802
0.020000,133.772144,217.875230,68.427708,87.479167,39.583333,-98.958333,0.259320
0.020000,135.470200,218.326916,70.184812,88.231250,37.604167,-98.958333,0.260601
0.020000,137.181880,218.784353,71.956562,88.943750,35.625000,-98.958333,0.261639
0.020000,138.906524,219.246940,73.742167,89.616667,33.645833,-98.958333,0.262426
0.020000,140.643476,219.714057,75.540833,90.250000,31.666667,-98.958333,0.262957
0.020000,142.392090,220.185059,77.351771,90.843750,29.687500,-98.958333,0.263225
0.020000,144.151724,220.659286,79.174187,91.397917,27.708333,-98.958333,0.263227
0.020000,145.921741,221.136056,81.007292,91.912500,25.729167,-98.958333,0.262956
0.020000,147.701510,221.614672,82.850292,92.387500,23.750000,-98.958333,0.262408
0.020000,149.490401,222.094421,84.702396,92.822917,21.770833,-98.958333,0.261580
0.020000,151.287787,222.574580,86.562812,93.218750,19.791667,-98.958333,0.260467
0.020000,153.093044,223.054410,88.430750,93.575000,17.812500,-98.958333,0.259065
0.020000,154.750903,223.491883,90.305417,93.891667,15.833333,-98.958333,0.256132
0.020000,156.571324,223.963828,92.186021,94.168750,13.854167,-98.958333,0.251266
0.020000,158.398919,224.428528,94.071771,94.406250,11.875000,-98.958333,0.246784
0.020000,160.232715,224.886441,95.961875,94.604167,9.895833,-98.958333,0.242689
0.020000,162.071743,225.338043,97.855542,94.762500,7.916667,-98.958333,0.238979
0.020000,163.915041,225.783826,99.751979,94.881250,5.937500,-98.958333,0.235655
0.020000,165.761652,226.224295,101.650396,94.960417,3.958333,-98.958333,0.232715
0.020000,167.610622,226.659962,103.550000,95.000000,1.979167,-98.958333,0.230161
0.020000,169.461002,227.091348,105.450000,95.000000,0.000000,-98.958333,0.227989
0.020000,171.312232,227.519068,107.350000,95.000000,0.000000,0.000000,0.226198
0.020000,173.164146,227.943824,109.250000,95.000000,0.000000,0.000000,0.224787
0.020000,175.016577,228.366316,111.150000,95.000000,0.000000,0.000000,0.223753
0.020000,176.869364,228.787243,113.050000,95.000000,0.000000,0.000000,0.223097
0.020000,178.722349,229.207301,114.950000,95.000000,0.000000,0.000000,0.222816
0.020000,180.575373,229.627187,116.850000,95.000000,0.000000,0.000000,0.222911
0.020000,182.428278,230.047596,118.750000,95.000000,0.000000,0.000000,0.223381
0.020000,184.280905,230.469226,120.650000,95.000000,0.000000,0.000000,0.224228
0.020000,186.133095,230.892773,122.550000,95.000000,0.000000,0.000000,0.225452
0.020000,187.984685,231.318938,124.450000,95.000000,0.000000,0.000000,0.227055
0.020000,189.835508,231.748420,126.350000,95.000000,0.000000,0.000000,0.229037
0.020000,191.685392,232.181925,128.250000,95.000000,0.000000,0.000000,0.231402
0.020000,193.534161,232.620159,130.150000,95.000000,0.000000,0.000000,0.234153
0.020000,195.381633,233.063834,132.050000,95.000000,0.000000,0.000000,0.237290
0.020000,197.227616,233.513664,133.950000,95.000000,0.000000,0.000000,0.240819
0.020000,199.071909,233.970369,135.850000,95.000000,0.000000,0.000000,0.244743
0.020000,200.914303,234.434674,137.750000,95.000000,0.000000,0.000000,0.249066
0.020000,202.754576,234.907308,139.650000,95.000000,0.000000,0.000000,0.253791
0.020000,204.592499,235.389006,141.550000,95.000000,0.000000,0.000000,0.258924
0.020000,206.427824,235.880511,143.450000,95.000000,0.000000,0.000000,0.264470
0.020000,208.260290,236.382567,145.350000,95.000000,0.000000,0.000000,0.270433
0.020000,210.089620,236.895927,147.250000,95.000000,0.000000,0.000000,0.276819
0.020000,211.915319,237.421289,149.149788,94.978754,-1.062304,-53.115186,0.283632
0.020000,213.736492,237.959237,151.048754,94.917925,-3.041470,-98.958333,0.290876
0.020000,215.552058,238.510286,152.946109,94.817512,-5.020637,-98.958333,0.298553
