dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,66.755901,193.702736,0.000843,0.084265,4.213235,210.661765,0.014075
0.020000,66.756611,193.702746,0.001552,0.035463,-2.440081,-332.665792,0.014131
0.020000,66.758206,193.702769,0.003148,0.079789,2.216317,232.819890,0.014256
0.020000,66.761043,193.702809,0.005984,0.141839,3.102491,44.308672,0.014479
0.020000,66.765474,193.702874,0.010417,0.221602,3.988119,44.281434,0.014826
0.020000,66.771855,193.702970,0.016798,0.319059,4.872850,44.236526,0.015327
0.020000,66.805360,193.703499,0.050308,1.675493,67.821709,3147.442961,0.016008
0.020000,66.870621,193.704573,0.115577,3.263483,79.399533,578.891192,0.016897
0.020000,66.953222,193.706015,0.198191,4.130675,43.359563,-1801.998500,0.018023
0.020000,67.055192,193.707924,0.300179,5.099391,48.435823,253.812999,0.019413
0.020000,67.178572,193.710423,0.423583,6.170246,53.542742,255.345969,0.021095
0.020000,67.325393,193.713668,0.570441,7.342873,58.631348,254.430283,0.023097
0.020000,67.497705,193.717851,0.742803,8.618119,63.762304,256.547797,0.025446
0.020000,67.697522,193.723209,0.942692,9.994459,68.817014,252.735513,0.028170
0.020000,67.926884,193.730031,1.172156,11.473174,73.935729,255.935754,0.031297
0.020000,68.187812,193.738664,1.433226,13.053522,79.017392,254.083147,0.034854
0.020000,68.482317,193.749525,1.727931,14.735239,84.085881,253.424421,0.038868
0.020000,68.812411,193.763106,2.058305,16.518681,89.172068,254.309380,0.043367
0.020000,69.180092,193.779984,2.426373,18.403425,94.237204,253.256807,0.048376
0.020000,69.587329,193.800832,2.834143,20.388482,99.252868,250.783205,0.053923
0.020000,70.035072,193.826368,3.282614,22.423557,101.753756,125.044399,0.060017
0.020000,70.523221,193.857328,3.771744,24.456480,101.646133,-5.381164,0.066657
0.020000,71.051646,193.894510,4.301475,26.486573,101.504668,-7.073243,0.073838
0.020000,71.620196,193.938774,4.871746,28.513543,101.348479,-7.809459,0.081555
0.020000,72.228681,193.991037,5.482471,30.536236,101.134664,-10.690771,0.089801
0.020000,72.876880,194.052270,6.133556,32.554254,100.900867,-11.689819,0.098570
