dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,66.384549,219.200029,0.000990,0.098958,4.947917,247.395833,0.015051
0.020000,66.384240,219.200024,0.001298,0.015444,-4.175700,-456.180814,0.015076
0.020000,66.383545,219.200014,0.001993,0.034747,0.965155,257.042707,0.015130
0.020000,66.382310,219.199995,0.003229,0.061765,1.350890,19.286757,0.015227
0.020000,66.380380,219.199965,0.005158,0.096488,1.736123,19.261686,0.015378
0.020000,66.377603,219.199922,0.007936,0.138898,2.120536,19.220606,0.015596
0.020000,66.421950,219.200621,0.052289,2.217648,103.937503,5090.848384,0.015893
0.020000,66.480342,219.201560,0.110688,2.919954,35.115270,-3441.111654,0.016280
0.020000,66.554247,219.202781,0.184604,3.695781,38.791361,183.804530,0.016769
0.020000,66.645495,219.204339,0.275865,4.563050,43.363432,228.603565,0.017373
0.020000,66.755913,219.206298,0.386301,5.521774,47.936195,228.638159,0.018103
0.020000,66.887331,219.208734,0.517741,6.572010,52.511819,228.781210,0.018970
0.020000,67.041581,219.211739,0.672020,7.713965,57.097767,229.297363,0.019986
0.020000,67.220497,219.215421,0.850974,8.947709,61.687191,229.471207,0.021163
0.020000,67.425915,219.219907,1.056441,10.273353,66.282176,229.749279,0.022511
0.020000,67.659672,219.225350,1.290262,11.691028,70.883770,230.079703,0.024042
0.020000,67.922697,219.231901,1.553368,13.155313,73.214266,116.524786,0.025759
0.020000,68.215005,219.239710,1.845780,14.620604,73.264547,2.514056,0.027661
0.020000,68.536615,219.248944,2.167523,16.087154,73.327481,3.146704,0.029747
0.020000,68.887547,219.259785,2.518623,17.554971,73.390857,3.168767,0.032014
0.020000,69.267822,219.272429,2.899108,19.024247,73.463769,3.645629,0.034459
0.020000,69.677462,219.287089,3.309009,20.495084,73.541879,3.905486,0.037081
0.020000,70.116489,219.303991,3.748362,21.967642,73.627879,4.300003,0.039877
0.020000,70.584931,219.323377,4.217205,23.442158,73.725822,4.897124,0.042844
0.020000,71.082813,219.345504,4.715578,24.918640,73.824093,4.913582,0.045978
0.020000,71.610161,219.370640,5.243525,26.397328,73.934390,5.514828,0.049276
0.020000,72.167004,219.399068,5.801093,27.878430,74.055092,6.035129,0.052735
0.020000,72.753371,219.431083,6.388334,29.362011,74.179076,6.199178,0.056350
0.020000,73.369291,219.466992,7.005299,30.848286,74.313732,6.732817,0.060117
0.020000,74.014796,219.507115,7.652050,32.337530,74.462197,7.423251,0.064032
0.020000,74.689915,219.551781,8.328645,33.829753,74.611143,7.447282,0.068090
0.020000,75.394681,219.601331,9.035151,35.325283,74.776525,8.269124,0.072286
0.020000,76.129125,219.656114,9.771635,36.824214,74.946544,8.500946,0.076614
0.020000,76.893280,219.716489,10.538171,38.326826,75.130599,9.202738,0.081068
0.020000,77.687178,219.782823,11.334836,39.833228,75.320080,9.474035,0.085643
0.020000,78.510853,219.855488,12.161710,41.343711,75.524191,10.205587,0.090333
0.020000,79.364338,219.934866,13.018878,42.858395,75.734181,10.499499,0.095130
0.020000,80.247666,220.021340,13.906429,44.377554,75.957967,11.189271,0.100028
0.020000,81.160872,220.115300,14.824456,45.901324,76.188501,11.526693,0.105019
0.020000,82.103988,220.217140,15.773054,47.429941,76.430818,12.115866,0.110096
0.020000,83.077051,220.327252,16.752327,48.963653,76.685597,12.738970,0.115251
0.020000,84.080094,220.446033,17.762379,50.502578,76.946269,13.033600,0.120476
0.020000,85.113153,220.573877,18.803319,52.046978,77.220013,13.687182,0.125762
0.020000,86.176263,220.711179,19.875259,53.597026,77.502400,14.119334,0.131100
0.020000,87.269464,220.858328,20.978318,55.152949,77.796119,14.685985,0.136481
0.020000,88.392790,221.015710,22.112616,56.714905,78.097803,15.084162,0.141895
0.020000,89.546283,221.183706,23.278278,58.283091,78.409318,15.575753,0.147333
0.020000,90.729981,221.362690,24.475432,59.857701,78.730482,16.058214,0.152785
0.020000,91.943929,221.553026,25.704210,61.438912,79.060558,16.503797,0.158240
0.020000,93.188169,221.755068,26.964748,63.026894,79.399119,16.928056,0.163688
0.020000,94.462750,221.969159,28.257185,64.621819,79.746252,17.356662,0.169118
