dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,66.768345,193.702917,0.000990,0.098958,4.947917,247.395833,0.015051
0.020000,66.768653,193.702922,0.001298,0.015444,-4.175700,-456.180814,0.015076
0.020000,66.769348,193.702932,0.001993,0.034747,0.965155,257.042707,0.015130
0.020000,66.770583,193.702951,0.003229,0.061765,1.350890,19.286757,0.015227
0.020000,66.772513,193.702981,0.005158,0.096488,1.736123,19.261686,0.015378
0.020000,66.775291,193.703024,0.007936,0.138898,2.120536,19.220606,0.015596
0.020000,66.827196,193.703841,0.059849,2.595613,122.835707,6035.758551,0.015893
0.020000,66.895455,193.704939,0.128116,3.413348,40.886772,-4097.446721,0.016280
0.020000,66.981839,193.706367,0.214512,4.319811,45.323162,221.819495,0.016769
0.020000,67.088480,193.708187,0.321168,5.332810,50.649958,266.339781,0.017373
0.020000,67.217504,193.710476,0.450212,6.452218,55.970395,266.021881,0.018103
0.020000,67.371036,193.713322,0.603771,7.677926,61.285371,265.748783,0.018970
0.020000,67.551201,193.716832,0.783970,9.009961,66.601766,265.819749,0.019986
0.020000,67.760120,193.721131,0.992933,10.448152,71.909537,265.388538,0.021163
0.020000,67.999909,193.726368,1.232780,11.992329,77.208856,264.965983,0.022511
0.020000,68.272681,193.732719,1.505626,13.642298,82.498450,264.479677,0.024042
0.020000,68.579480,193.740360,1.812519,15.344685,85.119375,131.046277,0.025759
0.020000,68.920278,193.749465,2.153439,17.045975,85.064497,-2.743907,0.027661
0.020000,69.295047,193.760226,2.528363,18.746183,85.010391,-2.705306,0.029747
0.020000,69.703752,193.772851,2.937263,20.445031,84.942412,-3.398963,0.032014
0.020000,70.146357,193.787567,3.380112,22.142446,84.870728,-3.584171,0.034459
0.020000,70.622817,193.804618,3.856877,23.838242,84.789825,-4.045167,0.037081
0.020000,71.133084,193.824263,4.367523,25.532290,84.702358,-4.373338,0.039877
0.020000,71.677110,193.846777,4.912014,27.224540,84.612533,-4.491243,0.042844
0.020000,72.254833,193.872452,5.490307,28.914667,84.506350,-5.309150,0.045978
