dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,66.000332,176.691698,0.000990,0.098958,4.947917,247.395833,6.283159
0.020000,66.000326,176.691698,0.000995,0.000295,-4.933170,-494.054356,6.283160
0.020000,66.000313,176.691698,0.001009,0.000664,0.018430,247.580019,6.283161
0.020000,66.000290,176.691698,0.001032,0.001179,0.025794,0.368200,6.283163
0.020000,66.000253,176.691698,0.001069,0.001842,0.033146,0.367590,6.283165
0.020000,66.000200,176.691698,0.001122,0.002652,0.040478,0.366591,6.283170
0.020000,66.000128,176.691698,0.001194,0.003607,0.047780,0.365105,6.283175
0.020000,66.000033,176.691698,0.001289,0.004708,0.055040,0.363035,6.283183
0.020000,66.057591,176.691698,0.058846,2.877893,143.659250,7180.210488,0.000007
0.020000,66.156403,176.691699,0.157658,4.940576,103.134129,-2026.256033,0.000018
0.020000,66.275965,176.691702,0.277220,5.978110,51.876697,-2562.871632,0.000032
0.020000,66.418254,176.691708,0.419509,7.114463,56.817674,247.048861,0.000049
0.020000,66.585247,176.691718,0.586502,8.349639,61.758780,247.055299,0.000068
0.020000,66.778920,176.691733,0.780175,9.683640,66.700039,247.062926,0.000090
0.020000,67.001249,176.691756,1.002504,11.116469,71.641474,247.071797,0.000116
0.020000,67.254212,176.691789,1.255467,12.648131,76.583115,247.082040,0.000145
0.020000,67.538796,176.691835,1.540051,14.229224,79.054632,123.575825,0.000178
0.020000,67.855003,176.691897,1.856258,15.810344,79.055976,0.067216,0.000214
0.020000,68.202833,176.691978,2.204088,17.391493,79.057471,0.074735,0.000253
0.020000,68.582287,176.692082,2.583542,18.972675,79.059114,0.082150,0.000296
0.020000,68.993364,176.692213,2.994620,20.553893,79.060907,0.089680,0.000342
0.020000,69.436067,176.692376,3.437323,22.135150,79.062850,0.097109,0.000392
0.020000,69.910396,176.692574,3.911652,23.716449,79.064941,0.104589,0.000444
0.020000,70.416352,176.692813,4.417607,25.297793,79.067183,0.112079,0.000500
0.020000,70.953936,176.693098,4.955191,26.879184,79.069574,0.119536,0.000559
0.020000,71.523148,176.693434,5.524404,28.460627,79.072113,0.126949,0.000621
