dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,65.999668,151.191698,0.000990,0.098958,4.947917,247.395833,6.283159
0.020000,65.999674,151.191698,0.000995,0.000295,-4.933170,-494.054356,6.283160
0.020000,65.999687,151.191698,0.001009,0.000664,0.018430,247.580019,6.283161
0.020000,65.999710,151.191698,0.001032,0.001179,0.025794,0.368200,6.283163
0.020000,65.999747,151.191698,0.001069,0.001842,0.033146,0.367590,6.283165
0.020000,65.999800,151.191698,0.001122,0.002652,0.040478,0.366591,6.283170
0.020000,65.999872,151.191698,0.001194,0.003607,0.047780,0.365105,6.283175
0.020000,65.999967,151.191698,0.001289,0.004708,0.055040,0.363035,6.283183
0.020000,66.057763,151.191698,0.059085,2.889800,144.254569,7209.976421,0.000007
0.020000,66.156868,151.191699,0.158190,4.955257,103.272892,-2049.083851,0.000018
0.020000,66.276785,151.191702,0.278107,5.995849,52.029553,-2562.166929,0.000032
0.020000,66.419495,151.191708,0.420817,7.135537,56.984409,247.742811,0.000049
0.020000,66.586982,151.191718,0.588304,8.374319,61.939136,247.736355,0.000068
0.020000,66.781226,151.191733,0.782548,9.712194,66.893712,247.728753,0.000090
0.020000,67.004209,151.191756,1.005531,11.149156,71.848109,247.719867,0.000116
0.020000,67.257913,151.191789,1.259235,12.685202,76.802301,247.709627,0.000145
0.020000,67.543328,151.191835,1.544650,14.270776,79.278702,123.820022,0.000178
0.020000,67.860455,151.191897,1.861777,15.856323,79.277357,-0.067259,0.000214
0.020000,68.209292,151.191979,2.210614,17.441840,79.275863,-0.074682,0.000253
0.020000,68.589838,151.192083,2.591160,19.027325,79.274219,-0.082209,0.000296
0.020000,69.002094,151.192215,3.003416,20.612773,79.272426,-0.089621,0.000342
0.020000,69.446057,151.192378,3.447379,22.198183,79.270484,-0.097135,0.000392
0.020000,69.921728,151.192577,3.923050,23.783551,79.268392,-0.104596,0.000444
0.020000,70.429106,151.192816,4.430428,25.368874,79.266151,-0.112048,0.000500
0.020000,70.968188,151.193102,4.969511,26.954149,79.263760,-0.119533,0.000559
0.020000,71.538976,151.193439,5.540298,28.539373,79.261219,-0.127062,0.000621
0.020000,72.141467,151.193832,6.142789,30.124544,79.258531,-0.134409,0.000685
0.020000,72.775660,151.194288,6.776982,31.709658,79.255692,-0.141950,0.000753
0.020000,73.441554,151.194813,7.442876,33.294712,79.252703,-0.149455,0.000823
0.020000,74.139147,151.195412,8.140470,34.879703,79.249565,-0.156903,0.000896
0.020000,74.868440,151.196093,8.869763,36.464629,79.246278,-0.164339,0.000971
0.020000,75.629429,151.196861,9.630753,38.049486,79.242843,-0.171763,0.001049
0.020000,76.422114,151.197724,10.423438,39.634271,79.239253,-0.179452,0.001128
0.020000,77.246493,151.198688,11.247818,41.218981,79.235522,-0.186583,0.001210
0.020000,78.102565,151.199761,12.103890,42.803614,79.231633,-0.194442,0.001295
0.020000,78.990327,151.200948,12.991653,44.388166,79.227601,-0.201622,0.001381
0.020000,79.909779,151.202258,13.911106,45.972634,79.223418,-0.209151,0.001468
0.020000,80.860918,151.203697,14.862246,47.557016,79.219082,-0.216754,0.001558
0.020000,81.843743,151.205273,15.845073,49.141308,79.214600,-0.224113,0.001649
0.020000,82.858252,151.206993,16.859583,50.725507,79.209972,-0.231405,0.001741
0.020000,83.904442,151.208863,17.905775,52.309611,79.205184,-0.239416,0.001835
0.020000,84.982313,151.210892,18.983647,53.893616,79.200258,-0.246292,0.001929
0.020000,86.091861,151.213085,20.093198,55.477520,79.195177,-0.254051,0.002025
