dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,69.012692,149.250006,0.000846,0.084608,4.230421,211.521041,0.000995
0.020000,69.012513,149.250006,0.001026,0.008972,-3.781827,-400.612400,0.000981
0.020000,69.012109,149.250006,0.001429,0.020188,0.560788,217.130774,0.000950
0.020000,69.011391,149.250005,0.002147,0.035892,0.785233,11.222235,0.000893
0.020000,69.010270,149.250004,0.003269,0.056090,1.009876,11.232162,0.000805
0.020000,69.008654,149.250003,0.004885,0.080787,1.234845,11.248422,0.000679
0.020000,69.006454,149.250002,0.007085,0.109993,1.460297,11.272607,0.000506
0.020000,69.003580,149.250001,0.009959,0.143721,1.686423,11.306316,0.000281
0.020000,69.001074,149.250000,0.012464,0.125264,-0.922856,-130.463949,6.283181
0.020000,69.081211,149.249985,0.092601,4.006835,194.078536,9750.069617,6.282828
0.020000,69.178132,149.249930,0.189522,4.846062,41.961389,-7605.857397,6.282400
0.020000,69.293480,149.249810,0.304870,5.767382,46.065953,205.228201,6.281891
0.020000,69.428823,149.249595,0.440213,6.767167,49.989261,196.165427,6.281293
0.020000,69.585802,149.249243,0.597193,7.848987,54.091000,205.086927,6.280597
0.020000,69.765965,149.248705,0.777357,9.008189,57.960133,193.456648,6.279797
0.020000,69.970918,149.247916,0.982311,10.247708,61.975923,200.789527,6.278884
0.020000,70.202256,149.246802,1.213652,11.567056,65.967404,199.574053,6.277850
0.020000,70.461565,149.245268,1.472965,12.965637,69.929039,198.081734,6.276688
0.020000,70.750412,149.243203,1.761819,14.442735,73.854928,196.294452,6.275388
0.020000,71.070386,149.240477,2.081805,15.999305,77.828483,198.677749,6.273941
0.020000,71.422277,149.236943,2.433714,17.595410,79.805236,98.837654,6.272343
0.020000,71.806038,149.232446,2.817501,19.189383,79.698645,-5.329541,6.270591
0.020000,72.221630,149.226815,3.233131,20.781504,79.606077,-4.628423,6.268683
0.020000,72.669030,149.219865,3.680586,22.372710,79.560299,-2.288905,6.266616
0.020000,73.148198,149.211391,4.159828,23.962132,79.471090,-4.460415,6.264388
0.020000,73.659074,149.201176,4.670806,25.548890,79.337930,-6.658030,6.261995
0.020000,74.201624,149.188983,5.213493,27.134352,79.273098,-3.241597,6.259434
0.020000,74.775792,149.174560,5.787842,28.717461,79.155433,-5.883235,6.256702
0.020000,75.381527,149.157635,6.393814,30.298599,79.056878,-4.927775,6.253796
0.020000,76.018745,149.137919,7.031337,31.876151,78.877639,-8.961925,6.250710
0.020000,76.687385,149.115105,7.700366,33.451417,78.763304,-5.716768,6.247441
0.020000,77.387362,149.088864,8.400834,35.023423,78.600277,-8.151317,6.243983
0.020000,78.118594,149.058850,9.132683,36.592420,78.449870,-7.520356,6.240333
0.020000,78.881017,149.024691,9.895870,38.159388,78.348379,-5.074558,6.236485
0.020000,79.674493,148.986001,10.690288,39.720905,78.075866,-13.625662,6.232433
0.020000,80.498918,148.942365,11.515868,41.278970,77.903256,-8.630514,6.228171
0.020000,81.354189,148.893348,12.372542,42.833734,77.738158,-8.254885,6.223693
0.020000,82.240174,148.838491,13.260224,44.384081,77.517385,-11.038638,6.218992
0.020000,83.156712,148.777310,14.178802,45.928880,77.239924,-13.873040,6.214060
0.020000,84.103669,148.709293,15.128198,47.469820,77.046987,-9.646854,6.208891
0.020000,85.080852,148.633907,16.108285,49.004324,76.725206,-16.089059,6.203477
0.020000,86.088125,148.550581,17.118999,50.535719,76.569745,-7.773068,6.197807
0.020000,87.125250,148.458726,18.160183,52.059200,76.174059,-19.784289,6.191875
0.020000,88.192026,148.357717,19.231731,53.577409,75.910465,-13.179681,6.185669
