dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,69.012692,174.749994,0.000846,0.084608,4.230421,211.521041,6.282190
0.020000,69.012513,174.749994,0.001026,0.008972,-3.781827,-400.612400,6.282204
0.020000,69.012109,174.749994,0.001429,0.020188,0.560788,217.130774,6.282236
0.020000,69.011391,174.749995,0.002147,0.035892,0.785233,11.222235,6.282292
0.020000,69.010270,174.749996,0.003269,0.056090,1.009876,11.232162,6.282380
0.020000,69.008654,174.749997,0.004885,0.080787,1.234845,11.248422,6.282507
0.020000,69.006454,174.749998,0.007085,0.109993,1.460297,11.272607,6.282679
0.020000,69.003580,174.749999,0.009959,0.143721,1.686423,11.306316,6.282905
0.020000,69.001074,174.750000,0.012464,0.125264,-0.922856,-130.463949,0.000005
0.020000,69.081211,174.750015,0.092601,4.006835,194.078536,9750.069617,0.000358
0.020000,69.178132,174.750070,0.189522,4.846062,41.961389,-7605.857397,0.000785
0.020000,69.293480,174.750190,0.304870,5.767382,46.065953,205.228201,0.001294
0.020000,69.428823,174.750405,0.440213,6.767167,49.989261,196.165427,0.001893
0.020000,69.585802,174.750757,0.597193,7.848987,54.091000,205.086927,0.002588
0.020000,69.765965,174.751295,0.777357,9.008189,57.960133,193.456648,0.003389
0.020000,69.970918,174.752084,0.982311,10.247708,61.975923,200.789527,0.004302
0.020000,70.202256,174.753198,1.213652,11.567056,65.967404,199.574053,0.005335
0.020000,70.461565,174.754732,1.472965,12.965637,69.929039,198.081734,0.006498
0.020000,70.750412,174.756797,1.761819,14.442735,73.854928,196.294452,0.007798
0.020000,71.070386,174.759523,2.081805,15.999305,77.828483,198.677749,0.009244
0.020000,71.422277,174.763057,2.433714,17.595410,79.805236,98.837654,0.010842
0.020000,71.806038,174.767554,2.817501,19.189383,79.698645,-5.329541,0.012594
0.020000,72.221630,174.773185,3.233131,20.781504,79.606077,-4.628423,0.014502
0.020000,72.669030,174.780135,3.680586,22.372710,79.560299,-2.288905,0.016569
0.020000,73.148198,174.788609,4.159828,23.962132,79.471090,-4.460415,0.018798
0.020000,73.659074,174.798824,4.670806,25.548890,79.337930,-6.658030,0.021191
0.020000,74.201624,174.811017,5.213493,27.134352,79.273098,-3.241597,0.023751
0.020000,74.775792,174.825440,5.787842,28.717461,79.155433,-5.883235,0.026483
0.020000,75.381527,174.842365,6.393814,30.298599,79.056878,-4.927775,0.029390
0.020000,76.018745,174.862081,7.031337,31.876151,78.877639,-8.961925,0.032476
0.020000,76.687385,174.884895,7.700366,33.451417,78.763304,-5.716768,0.035745
0.020000,77.387362,174.911136,8.400834,35.023423,78.600277,-8.151317,0.039202
0.020000,78.118594,174.941150,9.132683,36.592420,78.449870,-7.520356,0.042852
0.020000,78.881017,174.975309,9.895870,38.159388,78.348379,-5.074558,0.046700
0.020000,79.674493,175.013999,10.690288,39.720905,78.075866,-13.625662,0.050752
0.020000,80.498918,175.057635,11.515868,41.278970,77.903256,-8.630514,0.055014
0.020000,81.354189,175.106652,12.372542,42.833734,77.738158,-8.254885,0.059493
0.020000,82.240174,175.161509,13.260224,44.384081,77.517385,-11.038638,0.064194
0.020000,83.156712,175.222690,14.178802,45.928880,77.239924,-13.873040,0.069125
0.020000,84.103669,175.290707,15.128198,47.469820,77.046987,-9.646854,0.074294
0.020000,85.080852,175.366093,16.108285,49.004324,76.725206,-16.089059,0.079709
0.020000,86.088125,175.449419,17.118999,50.535719,76.569745,-7.773068,0.085378
0.020000,87.125250,175.541274,18.160183,52.059200,76.174059,-19.784289,0.091311
0.020000,88.192026,175.642283,19.231731,53.577409,75.910465,-13.179681,0.097516
0.020000,89.288235,175.753103,20.333527,55.089773,75.618216,-14.612462,0.104005
0.020000,90.413574,175.874416,21.465386,56.592978,75.160220,-22.899778,0.110788
0.020000,91.567815,176.006949,22.627211,58.091243,74.913278,-12.347118,0.117877
0.020000,92.750644,176.151456,23.818834,59.581153,74.495479,-20.889941,0.125283
0.020000,93.961720,176.308728,25.040079,61.062270,74.055863,-21.980793,0.133019
0.020000,95.200734,176.479599,26.290820,62.537030,73.737979,-15.894207,0.141098
0.020000,96.467234,176.664930,27.570809,63.999429,73.119961,-30.900919,0.149535
0.020000,97.760871,176.865639,28.879923,65.455703,72.813694,-15.313354,0.158344
0.020000,99.081149,177.082671,30.217921,66.899891,72.209407,-30.214346,0.167541
0.020000,100.427584,177.317018,31.584597,68.333832,71.697063,-25.617215,0.177142
0.020000,101.799663,177.569722,32.979754,69.757829,71.199856,-24.860341,0.187165
0.020000,103.196795,177.841862,34.403143,71.169455,70.581278,-30.928879,0.197628
0.020000,104.618372,178.134571,35.854542,72.569948,70.024675,-27.830159,0.208548
0.020000,106.063700,178.449022,37.333681,73.956971,69.351152,-33.676167,0.219947
0.020000,107.532046,178.786436,38.840296,75.330719,68.687373,-33.188923,0.231844
0.020000,109.022669,179.148099,40.374166,76.693524,68.140276,-27.354878,0.244260
0.020000,110.534661,179.535320,41.934954,78.039387,67.293141,-42.356732,0.257217
0.020000,112.067130,179.949476,43.522401,79.372356,66.648417,-32.236207,0.270739
0.020000,113.619089,180.391990,45.136215,80.690693,65.916885,-36.576579,0.284847
0.020000,115.189449,180.864325,46.776072,81.992845,65.107597,-40.464406,0.299564
0.020000,116.777115,181.368011,48.441720,83.282402,64.477838,-31.487981,0.314916
0.020000,118.380822,181.904601,50.132815,84.554768,63.618313,-42.976228,0.330925
0.020000,119.999258,182.475705,51.849060,85.812230,62.873109,-37.260183,0.347615
0.020000,121.630357,183.082716,53.589446,87.019324,60.354658,-125.922551,0.365001
0.020000,123.271219,183.726718,55.352163,88.135824,55.825041,-226.480878,0.383089
0.020000,124.918978,184.408752,57.135496,89.166663,51.541904,-214.156817,0.401884
0.020000,126.570717,185.129777,58.937750,90.112712,47.302491,-211.970676,0.421384
0.020000,128.223494,185.890662,60.757261,90.975516,43.140163,-208.116369,0.441586
0.020000,129.874411,186.692205,62.592471,91.760513,39.249888,-194.513765,0.462484
0.020000,131.520516,187.535070,64.441817,92.467327,35.340690,-195.459928,0.484063
