dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,69.000000,162.000000,0.000982,0.098182,4.909091,245.454545,6.282929
0.020000,69.000000,162.000000,0.004909,0.294545,9.818182,245.454545,6.282934
0.020000,69.000000,162.000000,0.013745,0.589091,14.727273,245.454545,6.282943
0.020000,69.000000,162.000000,0.029455,0.981818,19.636364,245.454545,6.282959
0.020000,69.000000,162.000000,0.054000,1.472727,24.545455,245.454545,6.282984
0.020000,69.000000,162.000000,0.089345,2.061818,29.454545,245.454545,6.283020
0.020000,69.000000,162.000000,0.137455,2.749091,34.363636,245.454545,6.283069
0.020000,69.000000,162.000000,0.200291,3.534545,39.272727,245.454545,6.283134
0.020000,69.029361,162.000000,0.279818,4.418182,44.181818,245.454545,0.000030
0.020000,69.127547,162.000008,0.378000,5.400000,49.090909,245.454545,0.000132
0.020000,69.246341,162.000031,0.496800,6.480000,54.000000,245.454545,0.000255
0.020000,69.387729,162.000078,0.638182,7.658182,58.909091,245.454545,0.000402
0.020000,69.553654,162.000159,0.804109,8.934545,63.818182,245.454545,0.000576
0.020000,69.746087,162.000289,0.996545,10.309091,68.727273,245.454545,0.000778
0.020000,69.966998,162.000487,1.217455,11.781818,73.636364,245.454545,0.001013
0.020000,70.218343,162.000775,1.468800,13.352727,78.545455,245.454545,0.001282
0.020000,70.502086,162.001182,1.752545,15.021818,83.454545,245.454545,0.001588
0.020000,70.820199,162.001742,2.070655,16.789091,88.363636,245.454545,0.001935
0.020000,71.174635,162.002497,2.425091,18.654545,93.272727,245.454545,0.002325
0.020000,71.567361,162.003496,2.817818,20.618182,98.181818,245.454545,0.002764
0.020000,72.000336,162.004799,3.250800,22.680000,103.090909,245.454545,0.003254
0.020000,72.475535,162.006474,3.726000,24.840000,108.000000,245.454545,0.003799
0.020000,72.994911,162.008605,4.245382,27.098182,112.909091,245.454545,0.004405
0.020000,73.560437,162.011285,4.810909,29.454545,117.818182,245.454545,0.005077
0.020000,74.174065,162.014627,5.424545,31.909091,122.727273,245.454545,0.005819
0.020000,74.836780,162.018754,6.087273,34.363636,122.727273,-0.000000,0.006636
0.020000,75.548579,162.023795,6.799091,36.818182,122.727273,0.000000,0.007532
0.020000,76.309464,162.029898,7.560000,39.272727,122.727273,0.000000,0.008512
0.020000,77.119433,162.037223,8.370000,41.727273,122.727273,-0.000000,0.009579
0.020000,77.978472,162.045948,9.229091,44.181818,122.727273,0.000000,0.010739
0.020000,78.886602,162.056269,10.137273,46.636364,122.727273,-0.000000,0.011996
0.020000,79.843799,162.068401,11.094545,49.090909,122.727273,-0.000000,0.013356
0.020000,80.850063,162.082578,12.100909,51.545455,122.727273,0.000000,0.014826
0.020000,81.905386,162.099058,13.156364,54.000000,122.727273,-0.000000,0.016411
0.020000,83.009769,162.118121,14.260909,56.454545,122.727273,0.000000,0.018117
0.020000,84.163190,162.140074,15.414545,58.909091,122.727273,0.000000,0.019953
0.020000,85.365658,162.165251,16.617273,61.363636,122.727273,0.000000,0.021926
0.020000,86.617143,162.194015,17.869091,63.818182,122.727273,-0.000000,0.024044
0.020000,87.917644,162.226761,19.170000,66.272727,122.727273,0.000000,0.026316
0.020000,89.267133,162.263918,20.520000,68.727273,122.727273,-0.000000,0.028752
0.020000,90.665594,162.305953,21.919091,71.181818,122.727273,0.000000,0.031360
