dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,68.987315,149.250006,0.000993,0.099263,4.963149,248.157472,6.282190
0.020000,68.987526,149.250006,0.001203,0.010526,-4.436855,-470.000240,6.282207
0.020000,68.988000,149.250006,0.001677,0.023685,0.657931,254.739331,6.282244
0.020000,68.988842,149.250005,0.002519,0.042110,0.921282,13.167529,6.282310
0.020000,68.990158,149.250004,0.003835,0.065808,1.184906,13.181193,6.282413
0.020000,68.992054,149.250002,0.005731,0.094788,1.448977,13.203577,6.282562
0.020000,68.994635,149.250001,0.008312,0.129062,1.713715,13.236872,6.282765
0.020000,68.998008,149.250000,0.011685,0.168650,1.979380,13.283285,6.283029
0.020000,69.045198,149.250004,0.058875,2.359489,109.541956,5378.128779,0.000179
0.020000,69.149752,149.250044,0.163429,5.227719,143.411493,1693.476871,0.000593
0.020000,69.276237,149.250151,0.289915,6.324265,54.827331,-4429.208131,0.001095
0.020000,69.426818,149.250361,0.440495,7.529019,60.237697,270.518306,0.001693
0.020000,69.603541,149.250722,0.617219,8.836205,65.359303,256.080293,0.002396
0.020000,69.808509,149.251297,0.822188,10.248433,70.611403,262.605012,0.003213
0.020000,70.043840,149.252164,1.057520,11.766629,75.909799,264.919795,0.004154
0.020000,70.311646,149.253420,1.325329,13.390435,81.190284,264.024234,0.005228
0.020000,70.612982,149.255178,1.626670,15.067055,83.831010,132.036321,0.006440
0.020000,70.947846,149.257561,1.961542,16.743610,83.827745,-0.163261,0.007792
0.020000,71.316273,149.260707,2.329983,18.422037,83.921321,4.678813,0.009285
0.020000,71.718288,149.264769,2.732019,20.101794,83.987870,3.327432,0.010922
0.020000,72.153922,149.269915,3.167683,21.783211,84.070857,4.149367,0.012704
0.020000,72.623176,149.276329,3.636981,23.464864,84.082640,0.589151,0.014633
0.020000,73.126087,149.284211,4.139954,25.148682,84.190899,5.412940,0.016713
0.020000,73.662684,149.293778,4.676636,26.834082,84.270016,3.955854,0.018944
0.020000,74.232978,149.305263,5.247045,28.520479,84.319838,2.491083,0.021332
0.020000,74.837049,149.318919,5.851271,30.211301,84.541105,11.063354,0.023877
0.020000,75.474867,149.335014,6.489292,31.901023,84.486079,-2.751279,0.026584
0.020000,76.146528,149.353838,7.161217,33.596250,84.761381,13.765113,0.029457
0.020000,76.852016,149.375698,7.867044,35.291346,84.754802,-0.328968,0.032498
0.020000,77.591381,149.400923,8.606838,36.989727,84.919057,8.212772,0.035713
0.020000,78.364655,149.429862,9.380654,38.690788,85.053048,6.699544,0.039104
0.020000,79.171858,149.462885,10.188532,40.393920,85.156589,5.177030,0.042678
0.020000,80.013092,149.500391,11.030602,42.103453,85.476640,16.002565,0.046438
0.020000,80.888292,149.542793,11.906829,43.811355,85.395093,-4.077369,0.050390
0.020000,81.797595,149.590540,12.817384,45.527755,85.820000,21.245373,0.054539
0.020000,82.740969,149.644098,13.762278,47.244690,85.846771,1.338516,0.058892
0.020000,83.718457,149.703964,14.741596,48.965928,86.061879,10.755397,0.063453
0.020000,84.730079,149.770663,15.755415,50.690968,86.252020,9.507083,0.068231
0.020000,85.775924,149.844755,16.803881,52.423289,86.616042,18.201096,0.073232
0.020000,86.855936,149.926822,17.887007,54.156277,86.649394,1.667592,0.078462
0.020000,87.970208,150.017489,19.004962,55.897749,87.073593,21.209965,0.083931
0.020000,89.118711,150.117409,20.157803,57.642046,87.214880,7.064327,0.089645
0.020000,90.301472,150.227274,21.345655,59.392617,87.528524,15.682224,0.095614
0.020000,91.518492,150.347814,22.568631,61.148789,87.808631,14.005332,0.101848
0.020000,92.769773,150.479801,23.826853,62.911126,88.116844,15.410669,0.108354
0.020000,94.055337,150.624053,25.120485,64.681572,88.522277,20.271631,0.115145
0.020000,95.375127,150.781424,26.449624,66.456972,88.769992,12.385762,0.122231
0.020000,96.729122,150.952821,27.814424,68.239988,89.150813,19.041024,0.129622
0.020000,98.117288,151.139202,29.215047,70.031132,89.557189,20.318811,0.137331
0.020000,99.539556,151.341574,30.651640,71.829684,89.927590,18.520035,0.145371
0.020000,100.995856,151.561003,32.124378,73.636903,90.360990,21.670025,0.153755
0.020000,102.486098,151.798612,33.633444,75.453301,90.819862,22.943616,0.162496
0.020000,104.010172,152.055587,35.179031,77.279322,91.301081,24.060933,0.171609
0.020000,105.567913,152.333170,36.761311,79.113996,91.733681,21.630005,0.181110
0.020000,107.159149,152.632679,38.380489,80.958890,92.244731,25.552491,0.191015
0.020000,108.783719,152.955508,40.036824,82.816790,92.894998,32.513354,0.201340
0.020000,110.441314,153.303104,41.730472,84.682408,93.280874,19.293789,0.212102
0.020000,112.131680,153.677010,43.461698,86.561280,93.943593,33.135983,0.223321
0.020000,113.854494,154.078847,45.230755,88.452829,94.577481,31.694382,0.235014
0.020000,115.609352,154.510313,47.037876,90.356087,95.162859,29.268905,0.247201
0.020000,117.395773,154.973185,48.883289,92.270648,95.728092,28.261631,0.259903
0.020000,119.213286,155.469351,50.767310,94.201036,96.519363,39.563541,0.273139
0.020000,121.061257,156.000766,52.690173,96.143131,97.104782,29.270979,0.286931
0.020000,122.939002,156.569485,54.652154,98.099042,97.795539,34.537842,0.301301
0.020000,124.845757,157.177662,56.653551,100.069873,98.541538,37.299940,0.316269
0.020000,126.780588,157.827524,58.694603,102.052595,99.136118,29.728997,0.331858
0.020000,128.742499,158.521402,60.775602,104.049970,99.868716,36.629908,0.348088
0.020000,130.730338,159.261710,62.896820,106.060874,100.545234,33.825902,0.364982
0.020000,132.742784,160.050934,65.058488,108.083424,101.127494,29.113006,0.382558
0.020000,134.778412,160.891655,67.260895,110.120327,101.845163,35.883437,0.400836
0.020000,136.835546,161.786493,69.504226,112.166575,102.312372,23.360451,0.419834
0.020000,138.911347,162.737654,71.787569,114.167151,100.028793,-114.178948,0.439558
0.020000,141.001805,163.746805,74.108863,116.064677,94.876319,-257.623683,0.459999
0.020000,143.102722,164.815429,76.465939,117.853798,89.456060,-271.012959,0.481147
0.020000,145.209812,165.944835,78.856626,119.534347,84.027459,-271.430046,0.502983
0.020000,147.318607,167.136073,81.278622,121.099828,78.274029,-287.671498,0.525485
0.020000,149.424564,168.389945,83.729592,122.548468,72.432002,-292.101384,0.548625
0.020000,151.523010,169.706929,86.207074,123.874128,66.283011,-307.449551,0.572365
0.020000,153.609246,171.087191,88.708574,125.075000,60.043575,-311.971776,0.596666
0.020000,155.678512,172.530510,91.231477,126.145112,53.505600,-326.898757,0.621478
0.020000,157.726076,174.036288,93.773106,127.081489,46.818871,-334.336461,0.646747
0.020000,159.747248,175.603509,96.330707,127.880021,39.926579,-344.614599,0.672412
0.020000,161.737437,177.230735,98.901449,128.537113,32.854622,-353.597847,0.698408
0.020000,163.692199,178.916096,101.482444,129.049751,25.631881,-361.137021,0.724663
0.020000,165.607289,180.657298,104.070755,129.415548,18.289881,-367.100035,0.751102
0.020000,167.478712,182.451634,106.663411,129.632814,10.863301,-371.329000,0.777649
0.020000,169.302349,184.295575,109.256820,129.670452,1.881859,-449.072066,0.804218
0.020000,171.074465,186.185188,111.847387,129.528325,-7.106339,-449.409904,0.830723
0.020000,172.792138,188.116633,114.432126,129.236985,-14.566994,-373.032786,0.857086
0.020000,174.452845,190.085791,117.008078,128.797597,-21.969414,-370.121000,0.883230
0.020000,176.054482,192.088318,119.572325,128.212328,-29.263454,-364.701990,0.909083
0.020000,177.595379,194.119701,122.122007,127.484113,-36.410744,-357.364485,0.934575
0.020000,179.074291,196.175298,124.654330,126.616120,-43.399648,-349.445224,0.959643
0.020000,180.490384,198.250377,127.166554,125.611228,-50.244591,-342.247129,0.984229
0.020000,181.843243,200.340200,129.656049,124.474761,-56.823364,-328.938627,1.008281
