dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,40.910895,220.805615,0.000990,0.098958,4.947917,247.395833,6.283128
0.020000,40.910860,220.805615,0.001025,0.001748,-4.860501,-490.420873,6.283131
0.020000,40.910781,220.805615,0.001103,0.003933,0.109240,248.487019,6.283137
0.020000,40.910641,220.805615,0.001243,0.006990,0.152851,2.180561,6.283148
0.020000,40.910423,220.805615,0.001461,0.010917,0.196332,2.174070,6.283165
0.020000,40.916738,220.805615,0.007776,0.315739,15.241133,752.240049,0.000005
0.020000,40.964800,220.805616,0.055839,2.403119,104.369002,4456.393420,0.000038
0.020000,41.027576,220.805620,0.118615,3.138805,36.784300,-3379.235070,0.000082
0.020000,41.107028,220.805629,0.198067,3.972611,41.690295,245.299725,0.000137
0.020000,41.205120,220.805646,0.296158,4.904552,46.597036,245.337063,0.000205
0.020000,41.323812,220.805675,0.414851,5.934646,51.504696,245.383011,0.000287
0.020000,41.465071,220.805722,0.556109,7.062917,56.413553,245.442855,0.000385
0.020000,41.630859,220.805796,0.721897,8.289391,61.323707,245.507672,0.000498
0.020000,41.823141,220.805904,0.914179,9.614102,66.235518,245.590568,0.000630
0.020000,42.043882,220.806060,1.134921,11.037086,71.149241,245.686143,0.000780
0.020000,42.295050,220.806277,1.386089,12.558388,76.065089,245.792384,0.000950
0.020000,42.577630,220.806572,1.668668,14.128997,78.530434,123.267277,0.001140
0.020000,42.891627,220.806963,1.982666,15.699892,78.544733,0.714958,0.001349
0.020000,43.237049,220.807468,2.328088,17.271104,78.560632,0.794933,0.001577
0.020000,43.613902,220.808109,2.704942,18.842666,78.578103,0.873566,0.001824
0.020000,44.022193,220.808908,3.113234,20.414610,78.597168,0.953216,0.002089
0.020000,44.461931,220.809889,3.552973,21.986966,78.617822,1.032738,0.002371
0.020000,44.933125,220.811076,4.024169,23.559768,78.640094,1.113563,0.002669
0.020000,45.435784,220.812497,4.526829,25.133046,78.663912,1.190928,0.002983
0.020000,45.969918,220.814179,5.060966,26.706833,78.689350,1.271868,0.003312
0.020000,46.535538,220.816150,5.626589,28.281161,78.716372,1.351126,0.003656
0.020000,47.132655,220.818439,6.223711,29.856060,78.744995,1.431156,0.004012
0.020000,47.761281,220.821078,6.852342,31.431564,78.775187,1.509575,0.004381
0.020000,48.421428,220.824096,7.512496,33.007704,78.806988,1.590062,0.004761
0.020000,49.113109,220.827524,8.204186,34.584511,78.840373,1.669263,0.005151
0.020000,49.836339,220.831395,8.927427,36.162019,78.875356,1.749165,0.005551
0.020000,50.591132,220.835739,9.682232,37.740257,78.911923,1.828319,0.005958
0.020000,51.377502,220.840588,10.468617,39.319259,78.950092,1.908436,0.006372
0.020000,52.195466,220.845973,11.286598,40.899056,78.989836,1.987234,0.006792
0.020000,53.045038,220.851925,12.136192,42.479679,79.031185,2.067453,0.007216
0.020000,53.926237,220.858473,13.017415,44.061162,79.074119,2.146686,0.007643
0.020000,54.839080,220.865647,13.930285,45.643535,79.118647,2.226412,0.008072
0.020000,55.783584,220.873474,14.874822,47.226830,79.164764,2.305813,0.008500
0.020000,56.759769,220.881982,15.851044,48.811079,79.212470,2.385321,0.008927
0.020000,57.767653,220.891195,16.858970,50.396315,79.261768,2.464892,0.009351
0.020000,58.807257,220.901136,17.898621,51.982568,79.312655,2.544353,0.009771
0.020000,59.878601,220.911828,18.970019,53.569870,79.365131,2.623832,0.010184
0.020000,60.981706,220.923288,20.073184,55.158254,79.419197,2.703261,0.010589
0.020000,62.116595,220.935532,21.208139,56.747751,79.474852,2.782786,0.010985
0.020000,63.283290,220.948576,22.374907,58.338393,79.532095,2.862139,0.011369
0.020000,64.481814,220.962427,23.573511,59.930212,79.590926,2.941545,0.011740
0.020000,65.712192,220.977094,24.803976,61.523239,79.651349,3.021144,0.012096
0.020000,66.974447,220.992580,26.066326,63.117506,79.713355,3.100304,0.012434
0.020000,68.268605,221.008883,27.360587,64.713045,79.776954,3.179964,0.012754
0.020000,69.594692,221.025997,28.686784,66.309888,79.842136,3.259104,0.013052
0.020000,70.952735,221.043914,30.044946,67.908066,79.908911,3.338726,0.013327
0.020000,72.342762,221.062617,31.435098,69.507611,79.977273,3.418104,0.013577
0.020000,73.764800,221.082086,32.857269,71.108556,80.047223,3.497490,0.013798
0.020000,75.218878,221.102296,34.311488,72.710931,80.118761,3.576894,0.013990
0.020000,76.705026,221.123212,35.797783,74.314769,80.191892,3.656575,0.014150
0.020000,78.223275,221.144797,37.316185,75.920101,80.266609,3.735850,0.014276
0.020000,79.773655,221.167005,38.866724,77.526959,80.342919,3.815500,0.014364
0.020000,81.356198,221.189783,40.449432,79.135376,80.420818,3.894963,0.014413
0.020000,82.970938,221.213069,42.064339,80.745382,80.500311,3.974618,0.014420
0.020000,84.617907,221.236796,43.711480,82.357010,80.581395,4.054204,0.014383
0.020000,86.297141,221.260887,45.390886,83.970291,80.664072,4.133859,0.014299
0.020000,88.008672,221.285254,47.102591,85.585258,80.748342,4.213488,0.014165
0.020000,89.752538,221.309803,48.846630,87.201942,80.834206,4.293222,0.013979
0.020000,91.528775,221.334429,50.623037,88.820376,80.921662,4.372800,0.013738
0.020000,93.337420,221.359016,52.431849,90.440590,81.010716,4.452686,0.013439
0.020000,95.178510,221.383438,54.273101,92.062617,81.101357,4.532038,0.013080
0.020000,97.052085,221.407557,56.146831,93.686489,81.193592,4.611737,0.012656
0.020000,98.958182,221.431225,58.053076,95.312237,81.287420,4.691445,0.012167
0.020000,100.896843,221.454281,59.991874,96.939894,81.382828,4.770398,0.011607
0.020000,102.868107,221.476550,61.963263,98.569490,81.479827,4.849930,0.010975
0.020000,104.872015,221.497847,63.967285,100.201058,81.578399,4.928600,0.010268
0.020000,106.908608,221.517969,66.003977,101.834629,81.678547,5.007394,0.009481
0.020000,108.976933,221.536695,68.072387,103.420478,79.292455,-119.304577,0.008614
0.020000,111.075039,221.553782,70.170562,104.908771,74.414656,-243.889976,0.007662
0.020000,113.200972,221.568981,72.296549,106.299361,69.529451,-244.260253,0.006624
0.020000,115.352774,221.582039,74.448391,107.592091,64.636539,-244.645609,0.005500
0.020000,117.528484,221.592698,76.624127,108.786804,59.735636,-245.045127,0.004286
0.020000,119.726136,221.600698,78.821794,109.883333,54.826474,-245.458119,0.002982
0.020000,121.943761,221.605779,81.039424,110.881510,49.908824,-245.882500,0.001587
0.020000,124.179383,221.607679,83.275047,111.781159,44.982444,-246.318993,0.000100
0.020000,126.332550,221.607942,85.428214,107.658354,-206.140260,-12556.135163,0.000266
0.020000,128.572095,221.608945,87.667759,111.977239,215.944257,21104.225810,0.000645
0.020000,130.821387,221.610905,89.917053,112.464673,24.371729,-9578.626397,0.001113
0.020000,133.078439,221.614029,92.174106,112.852672,19.399916,-248.590622,0.001670
0.020000,135.341263,221.618525,94.436935,113.141427,14.437770,-248.107334,0.002319
0.020000,137.607877,221.624601,96.703557,113.331134,9.485343,-247.621330,0.003057
0.020000,139.876303,221.632460,98.971997,113.421988,4.542720,-247.131163,0.003887
0.020000,142.144566,221.642301,101.240281,113.414188,-0.390034,-246.637668,0.004805
0.020000,144.411676,221.654322,103.507423,113.357118,-2.853502,-123.173432,0.005814
0.020000,146.677631,221.668723,105.773424,113.300040,-2.853860,-0.017870,0.006912
0.020000,148.942427,221.685705,108.038283,113.242956,-2.854196,-0.016798,0.008099
0.020000,151.206058,221.705468,110.302000,113.185867,-2.854497,-0.015051,0.009376
0.020000,153.468519,221.728211,112.564576,113.128772,-2.854748,-0.012576,0.010743
0.020000,155.729804,221.754135,114.826009,113.071673,-2.854934,-0.009316,0.012199
0.020000,157.989905,221.783438,117.086301,113.014572,-2.855036,-0.005070,0.013745
0.020000,160.248815,221.816319,119.345450,112.957471,-2.855042,-0.000290,0.015380
0.020000,162.506525,221.852976,121.603458,112.900373,-2.854932,0.005496,0.017105
0.020000,164.763025,221.893609,123.860323,112.843279,-2.854679,0.012629,0.018920
0.020000,167.018304,221.938414,126.116047,112.786194,-2.854266,0.020633,0.020824
0.020000,169.272350,221.987589,128.370629,112.729120,-2.853671,0.029749,0.022817
0.020000,171.525150,222.041330,130.624071,112.672063,-2.852871,0.040031,0.024900
0.020000,173.776691,222.099836,132.876371,112.615026,-2.851840,0.051533,0.027073
0.020000,176.026956,222.163301,135.127532,112.558015,-2.850554,0.064307,0.029334
0.020000,178.275930,222.231922,137.377552,112.501035,-2.848986,0.078405,0.031686
0.020000,180.523595,222.305894,139.626434,112.444093,-2.847108,0.093877,0.034126
0.020000,182.769932,222.385411,141.874178,112.387195,-2.844893,0.110774,0.036656
0.020000,185.014921,222.470667,144.120785,112.330349,-2.842329,0.128189,0.039275
