dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,40.910167,208.055615,0.000990,0.098958,4.947917,247.395833,6.283128
0.020000,40.910167,208.055615,0.004948,0.296875,9.895833,247.395833,6.283131
0.020000,40.910167,208.055615,0.013854,0.593750,14.843750,247.395833,6.283137
0.020000,40.910167,208.055615,0.029688,0.989583,19.791667,247.395833,6.283148
0.020000,40.910167,208.055615,0.054427,1.484375,24.739583,247.395833,6.283165
0.020000,40.916796,208.055615,0.090052,2.078125,29.687500,247.395833,0.000005
0.020000,40.965286,208.055616,0.138542,2.770833,34.635417,247.395833,0.000038
0.020000,41.028619,208.055620,0.201875,3.562500,39.583333,247.395833,0.000082
0.020000,41.108775,208.055629,0.282031,4.453125,44.531250,247.395833,0.000137
0.020000,41.207734,208.055646,0.380990,5.442708,49.479167,247.395833,0.000205
0.020000,41.327473,208.055675,0.500729,6.531250,54.427083,247.395833,0.000287
0.020000,41.469973,208.055723,0.643229,7.718750,59.375000,247.395833,0.000385
0.020000,41.637213,208.055797,0.810469,9.005208,64.322917,247.395833,0.000498
0.020000,41.831171,208.055907,1.004427,10.390625,69.270833,247.395833,0.000630
0.020000,42.053827,208.056064,1.227083,11.875000,74.218750,247.395833,0.000780
0.020000,42.307161,208.056283,1.480417,13.458333,79.166667,247.395833,0.000950
0.020000,42.592160,208.056580,1.765417,15.041667,79.166667,0.000000,0.001140
0.020000,42.908827,208.056975,2.082083,16.625000,79.166667,-0.000000,0.001349
0.020000,43.257160,208.057484,2.430417,18.208333,79.166667,0.000000,0.001577
0.020000,43.637159,208.058131,2.810417,19.791667,79.166667,0.000000,0.001824
0.020000,44.048825,208.058936,3.222083,21.375000,79.166667,0.000000,0.002089
0.020000,44.492157,208.059925,3.665417,22.958333,79.166667,0.000000,0.002371
0.020000,44.967156,208.061122,4.140417,24.541667,79.166667,-0.000000,0.002669
0.020000,45.473820,208.062554,4.647083,26.125000,79.166667,0.000000,0.002983
0.020000,46.012151,208.064249,5.185417,27.708333,79.166667,0.000000,0.003312
0.020000,46.582148,208.066235,5.755417,29.291667,79.166667,0.000000,0.003656
0.020000,47.183810,208.068542,6.357083,30.875000,79.166667,0.000000,0.004012
0.020000,47.817138,208.071200,6.990417,32.458333,79.166667,0.000000,0.004381
0.020000,48.482131,208.074240,7.655417,34.041667,79.166667,0.000000,0.004761
0.020000,49.178789,208.077693,8.352083,35.625000,79.166667,0.000000,0.005151
0.020000,49.907112,208.081591,9.080417,37.208333,79.166667,0.000000,0.005551
0.020000,50.667099,208.085965,9.840417,38.791667,79.166667,0.000000,0.005958
0.020000,51.458751,208.090847,10.632083,40.375000,79.166667,-0.000000,0.006372
0.020000,52.282066,208.096267,11.455417,41.958333,79.166667,0.000000,0.006792
0.020000,53.137045,208.102257,12.310417,43.541667,79.166667,-0.000000,0.007216
0.020000,54.023687,208.108845,13.197083,45.125000,79.166667,0.000000,0.007643
0.020000,54.941992,208.116062,14.115417,46.708333,79.166667,-0.000000,0.008072
