dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,63.092537,192.108204,0.000843,0.084265,4.213235,210.661765,0.041302
0.020000,63.092931,192.108220,0.001237,0.019715,-3.227475,-372.035499,0.041333
0.020000,63.093817,192.108257,0.002124,0.044354,1.231929,222.970170,0.041402
0.020000,63.095393,192.108322,0.003701,0.078833,1.723939,24.600529,0.041526
0.020000,63.097853,192.108424,0.006163,0.123128,2.214782,24.542136,0.041719
0.020000,63.123734,192.109509,0.032067,1.295201,58.603621,2819.441956,0.041997
0.020000,63.169803,192.111454,0.078177,2.305486,50.514276,-404.467271,0.042375
0.020000,63.229967,192.114020,0.138396,3.010942,35.272811,-762.073212,0.042868
0.020000,63.306101,192.117309,0.214600,3.810218,39.963798,234.549313,0.043492
0.020000,63.400073,192.121435,0.308663,4.703139,44.646030,234.111594,0.044260
0.020000,63.513752,192.126523,0.422456,5.689653,49.325718,233.984416,0.045188
0.020000,63.649000,192.132713,0.557845,6.769449,53.989793,233.203775,0.046290
0.020000,63.807672,192.140166,0.716692,7.942368,58.645924,232.806521,0.047580
0.020000,63.991618,192.149062,0.900854,9.208058,63.284534,231.930489,0.049070
0.020000,64.202680,192.159607,1.112178,10.566235,67.908813,231.213948,0.050774
0.020000,64.442688,192.172037,1.352508,12.016486,72.512559,230.187308,0.052705
0.020000,64.713463,192.186615,1.623675,13.558368,77.094116,229.077871,0.054873
0.020000,65.016812,192.203646,1.927502,15.191349,81.649071,227.747763,0.057289
0.020000,65.354528,192.223468,2.265799,16.914857,86.175393,226.316087,0.059964
0.020000,65.728385,192.246465,2.640364,18.728205,90.667379,224.599292,0.062905
0.020000,66.139207,192.273005,3.052041,20.583886,92.784053,105.833689,0.066114
0.020000,66.586865,192.303426,3.500731,22.434507,92.531034,-12.650937,0.069582
0.020000,67.071217,192.338089,3.986323,24.279573,92.253305,-13.886436,0.073301
0.020000,67.592108,192.377378,4.508694,26.118546,91.948637,-15.233406,0.077261
0.020000,68.149365,192.421696,5.067710,27.950818,91.613643,-16.749728,0.081452
0.020000,68.742801,192.471459,5.663228,29.775908,91.254479,-17.958159,0.085861
0.020000,69.372210,192.527102,6.295093,31.593214,90.865314,-19.458278,0.090478
0.020000,70.037373,192.589067,6.963135,33.402122,90.445406,-20.995402,0.095289
0.020000,70.738051,192.657806,7.667177,35.202103,89.999046,-22.317986,0.100280
0.020000,71.473991,192.733777,8.407027,36.992515,89.520610,-23.921807,0.105435
0.020000,72.244920,192.817437,9.182483,38.772783,89.013379,-25.361532,0.110740
0.020000,73.050552,192.909245,9.993329,40.542286,88.475145,-26.911740,0.116176
0.020000,73.890581,193.009651,10.839338,42.300449,87.908153,-28.349588,0.121727
0.020000,74.764689,193.119098,11.720271,44.046638,87.309459,-29.934683,0.127374
0.020000,75.672539,193.238016,12.635876,45.780277,86.681917,-31.377108,0.133096
0.020000,76.613782,193.366819,13.585892,47.500782,86.025286,-32.831522,0.138874
0.020000,77.588057,193.505899,14.570043,49.207557,85.338743,-34.327197,0.144685
0.020000,78.594987,193.655624,15.588044,50.900045,84.624411,-35.716556,0.150508
0.020000,79.634188,193.816332,16.639598,52.577690,83.882227,-37.109234,0.156318
0.020000,80.705265,193.988329,17.724397,54.239952,83.113093,-38.456674,0.162093
0.020000,81.807816,194.171884,18.842123,55.886298,82.317337,-39.787796,0.167806
0.020000,82.941433,194.367225,19.992447,57.516227,81.496405,-41.046610,0.173432
0.020000,84.105705,194.574534,21.175032,59.129241,80.650697,-42.285428,0.178946
0.020000,85.300219,194.793944,22.389529,60.724862,79.781081,-43.480798,0.184318
0.020000,86.524561,195.025534,23.635582,62.302627,78.888222,-44.642907,0.189522
0.020000,87.778320,195.269327,24.912823,63.862081,77.972717,-45.775282,0.194528
0.020000,89.061089,195.525283,26.220879,65.402784,77.035162,-46.877730,0.199308
