dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,68.798805,174.748412,0.000990,0.098958,4.947917,247.395833,0.015781
0.020000,68.799026,174.748416,0.001211,0.011094,-4.393226,-467.057152,0.015763
0.020000,68.799525,174.748424,0.001710,0.024948,0.692729,254.297785,0.015724
0.020000,68.800411,174.748438,0.002597,0.044309,0.968049,13.766000,0.015655
0.020000,68.813709,174.748645,0.015896,0.664957,31.032364,1503.215740,0.015546
0.020000,68.851315,174.749227,0.053507,1.880549,60.779592,1487.361416,0.015390
0.020000,68.902493,174.750009,0.104690,2.559184,33.931755,-1342.391887,0.015179
0.020000,68.969322,174.751014,0.171527,3.341824,39.132006,260.012575,0.014904
0.020000,69.053877,174.752260,0.256091,4.228223,44.319951,259.397224,0.014559
0.020000,69.158228,174.753757,0.360453,5.218067,49.492224,258.613643,0.014135
0.020000,69.284435,174.755509,0.486672,6.310962,54.644760,257.626799,0.013627
0.020000,69.434550,174.757510,0.636801,7.506432,59.773474,256.435709,0.013028
0.020000,69.610614,174.759742,0.812879,8.803899,64.873363,254.994485,0.012335
0.020000,69.814653,174.762178,1.016932,10.202685,69.939314,253.297532,0.011543
0.020000,70.048679,174.764775,1.250972,11.702002,74.965808,251.324687,0.010651
0.020000,70.314684,174.767476,1.516991,13.300932,79.946536,249.036419,0.009656
0.020000,70.613603,174.770198,1.815922,14.946570,82.281896,116.768002,0.008563
0.020000,70.945317,174.772842,2.147647,16.586218,81.982404,-14.974592,0.007382
0.020000,71.309693,174.775301,2.512031,18.219208,81.649507,-16.644847,0.006123
0.020000,71.706584,174.777466,2.908928,19.844881,81.283614,-18.294672,0.004798
0.020000,72.135832,174.779228,3.338180,21.462569,80.884436,-19.958922,0.003419
0.020000,72.597263,174.780475,3.799612,23.071614,80.452237,-21.609945,0.001999
0.020000,73.090689,174.781102,4.293039,24.671353,79.986931,-23.265265,0.000554
0.020000,73.615912,174.781007,4.818262,26.261127,79.488692,-24.911977,6.282284
0.020000,74.172717,174.780097,5.375067,27.840277,78.957502,-26.559472,6.280835
0.020000,74.760877,174.778290,5.963230,29.408144,78.393345,-28.207867,6.279410
