dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,69.000000,162.000000,0.000990,0.098958,4.947917,247.395833,0.015781
0.020000,69.000000,162.000000,0.004948,0.296875,9.895833,247.395833,0.015763
0.020000,69.000000,162.000000,0.013854,0.593750,14.843750,247.395833,0.015724
0.020000,69.000000,162.000000,0.029688,0.989583,19.791667,247.395833,0.015655
0.020000,69.011915,162.000186,0.054427,1.484375,24.739583,247.395833,0.015546
0.020000,69.047536,162.000737,0.090052,2.078125,29.687500,247.395833,0.015390
0.020000,69.096020,162.001478,0.138542,2.770833,34.635417,247.395833,0.015179
0.020000,69.159346,162.002430,0.201875,3.562500,39.583333,247.395833,0.014904
0.020000,69.239494,162.003611,0.282031,4.453125,44.531250,247.395833,0.014559
0.020000,69.338442,162.005031,0.380990,5.442708,49.479167,247.395833,0.014135
0.020000,69.458170,162.006693,0.500729,6.531250,54.427083,247.395833,0.013627
0.020000,69.600657,162.008592,0.643229,7.718750,59.375000,247.395833,0.013028
0.020000,69.767883,162.010712,0.810469,9.005208,64.322917,247.395833,0.012335
0.020000,69.961828,162.013028,1.004427,10.390625,69.270833,247.395833,0.011543
0.020000,70.184470,162.015498,1.227083,11.875000,74.218750,247.395833,0.010651
0.020000,70.437791,162.018070,1.480417,13.458333,79.166667,247.395833,0.009656
0.020000,70.722779,162.020665,1.765417,15.041667,79.166667,0.000000,0.008563
0.020000,71.039435,162.023189,2.082083,16.625000,79.166667,-0.000000,0.007382
0.020000,71.387761,162.025540,2.430417,18.208333,79.166667,0.000000,0.006123
0.020000,71.767755,162.027613,2.810417,19.791667,79.166667,0.000000,0.004798
0.020000,72.179418,162.029302,3.222083,21.375000,79.166667,0.000000,0.003419
0.020000,72.622750,162.030501,3.665417,22.958333,79.166667,0.000000,0.001999
0.020000,73.097749,162.031104,4.140417,24.541667,79.166667,-0.000000,0.000554
0.020000,73.604416,162.031012,4.647083,26.125000,79.166667,0.000000,6.282284
0.020000,74.142749,162.030132,5.185417,27.708333,79.166667,0.000000,6.280835
0.020000,74.712746,162.028381,5.755417,29.291667,79.166667,0.000000,6.279410
0.020000,75.314407,162.025688,6.357083,30.875000,79.166667,0.000000,6.278029
0.020000,75.947729,162.021997,6.990417,32.458333,79.166667,0.000000,6.276710
0.020000,76.612712,162.017272,7.655417,34.041667,79.166667,0.000000,6.275475
0.020000,77.309355,162.011497,8.352083,35.625000,79.166667,0.000000,6.274345
0.020000,78.037656,162.004682,9.080417,37.208333,79.166667,0.000000,6.273343
0.020000,78.797616,161.996866,9.840417,38.791667,79.166667,0.000000,6.272493
0.020000,79.589234,161.988121,10.632083,40.375000,79.166667,-0.000000,6.271820
0.020000,80.412512,161.978555,11.455417,41.958333,79.166667,0.000000,6.271350
0.020000,81.267451,161.968316,12.310417,43.541667,79.166667,-0.000000,6.271110
0.020000,82.154053,161.957597,13.197083,45.125000,79.166667,0.000000,6.271128
0.020000,83.072321,161.946643,14.115417,46.708333,79.166667,-0.000000,6.271433
0.020000,84.022258,161.935750,15.065417,48.291667,79.166667,0.000000,6.272055
0.020000,85.003869,161.925273,16.047083,49.875000,79.166667,0.000000,6.273026
0.020000,86.017156,161.915633,17.060417,51.458333,79.166667,0.000000,6.274378
0.020000,87.062123,161.907319,18.105417,53.041667,79.166667,0.000000,6.276143
0.020000,88.138771,161.900894,19.182083,54.625000,79.166667,-0.000000,6.278358
0.020000,89.247097,161.897000,20.290417,56.208333,79.166667,0.000000,6.281057
0.020000,90.387096,161.896367,21.430417,57.791667,79.166667,-0.000000,0.001093
0.020000,91.558757,161.899815,22.602083,59.375000,79.166667,0.000000,0.004873
0.020000,92.762060,161.908262,23.805417,60.958333,79.166667,-0.000000,0.009250
