dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,69.201195,149.251588,0.000990,0.098958,4.947917,247.395833,0.015781
0.020000,69.200974,149.251584,0.001211,0.011094,-4.393226,-467.057152,0.015763
0.020000,69.200475,149.251576,0.001710,0.024948,0.692729,254.297785,0.015724
0.020000,69.199589,149.251562,0.002597,0.044309,0.968049,13.766000,0.015655
0.020000,69.210122,149.251726,0.013131,0.526712,24.120127,1157.603907,0.015546
0.020000,69.243757,149.252247,0.046770,1.681952,57.761999,1682.093565,0.015390
0.020000,69.289547,149.252947,0.092565,2.289774,30.391120,-1368.543955,0.015179
0.020000,69.349370,149.253846,0.152396,2.991510,35.086764,234.782201,0.014904
0.020000,69.425110,149.254962,0.228144,3.787402,39.794620,235.392802,0.014559
0.020000,69.518656,149.256304,0.321699,4.677767,44.518249,236.181461,0.014135
0.020000,69.631905,149.257876,0.434959,5.662995,49.261407,237.157893,0.013627
0.020000,69.766764,149.259674,0.569830,6.743568,54.028653,238.362322,0.013028
0.020000,69.925152,149.261682,0.728231,7.920059,58.824547,239.794667,0.012335
0.020000,70.109002,149.263877,0.912094,9.193146,63.654365,241.490920,0.011543
0.020000,70.320262,149.266221,1.123367,10.563623,68.523844,243.473952,0.010651
0.020000,70.560897,149.268664,1.364015,12.032400,73.438824,245.748996,0.009656
0.020000,70.831955,149.271133,1.635083,13.553428,76.051394,130.628511,0.008563
0.020000,71.133554,149.273536,1.936692,15.080448,76.351012,14.980892,0.007382
0.020000,71.465829,149.275779,2.268975,16.614122,76.683694,16.634107,0.006123
0.020000,71.828926,149.277760,2.632077,18.155117,77.049749,18.302724,0.004798
0.020000,72.223004,149.279377,3.026159,19.704093,77.448834,19.954267,0.003419
0.020000,72.648237,149.280526,3.451393,21.261715,77.881099,21.613235,0.001999
0.020000,73.104810,149.281106,3.907966,22.828643,78.346359,23.263004,0.000554
0.020000,73.592920,149.281017,4.396077,24.405536,78.844659,24.915027,6.282284
0.020000,74.112781,149.280167,4.915938,25.993053,79.375870,26.560522,6.280835
0.020000,74.664615,149.278472,5.467775,27.591850,79.939860,28.199515,6.279410
0.020000,75.248661,149.275857,6.051827,29.202587,80.536844,29.849177,6.278029
0.020000,75.865169,149.272264,6.668345,30.825917,81.166495,31.482572,6.276710
0.020000,76.514402,149.267651,7.317595,32.462496,81.828953,33.122900,6.275475
0.020000,77.196639,149.261995,7.999854,34.112978,82.524074,34.756038,6.274345
0.020000,77.912168,149.255300,8.715415,35.778021,83.252157,36.404151,6.273343
0.020000,78.661294,149.247595,9.464580,37.458281,84.013004,38.042367,6.272493
0.020000,79.444334,149.238945,10.247669,39.154418,84.806875,39.693553,6.271820
0.020000,80.261621,149.229448,11.065011,40.867095,85.633842,41.348321,6.271350
0.020000,81.113499,149.219245,11.916950,42.596980,86.494244,43.020100,6.271110
0.020000,82.000330,149.208524,12.803845,44.344744,87.388202,44.697903,6.271128
0.020000,82.922485,149.197523,13.726067,46.111065,88.316069,46.393374,6.271433
0.020000,83.880355,149.186539,14.683999,47.896629,89.278180,48.105566,6.272055
0.020000,84.874341,149.175931,15.678042,49.702126,90.274821,49.832049,6.273026
0.020000,85.904859,149.166128,16.708607,51.528252,91.306319,51.574877,6.274378
0.020000,86.972340,149.157635,17.776121,53.375712,92.372981,53.333085,6.276143
0.020000,88.077224,149.151042,18.881025,55.245207,93.474786,55.090281,6.278358
0.020000,89.219966,149.147029,20.023774,57.137446,94.611944,56.857877,6.281057
0.020000,90.401028,149.146375,21.204836,59.053123,95.783864,58.595993,0.001093
0.020000,91.620881,149.149967,22.424695,60.992924,96.990040,60.308796,0.004873
0.020000,92.880001,149.158808,23.683845,62.957506,98.229098,61.952895,0.009250
0.020000,94.178861,149.174026,24.982795,64.947492,99.499317,63.510961,0.014266
0.020000,95.517935,149.196886,26.322064,66.963448,100.797755,64.921930,0.019961
0.020000,96.897683,149.228794,27.702181,69.005858,102.120497,66.137091,0.026375
0.020000,98.318549,149.271313,29.123683,71.075103,103.462270,67.088629,0.033552
0.020000,99.780949,149.326169,30.587111,73.171422,104.815966,67.684789,0.041534
0.020000,101.285261,149.395260,32.093009,75.294872,106.172495,67.826484,0.050363
0.020000,102.831810,149.480668,33.641914,77.445275,107.520150,67.382742,0.060081
0.020000,104.420854,149.584662,35.234358,79.622170,108.844759,66.230425,0.070731
0.020000,106.052564,149.709708,36.870852,81.824728,110.127898,64.156994,0.082352
0.020000,107.727003,149.858469,38.551886,84.051703,111.348756,61.042880,0.094983
0.020000,109.444101,150.033812,40.277914,86.301357,112.482684,56.696384,0.108660
0.020000,111.203627,150.238796,42.049340,88.571304,113.497345,50.733050,0.123413
0.020000,113.005161,150.476674,43.866511,90.858555,114.362552,43.260361,0.139271
0.020000,114.746387,150.731285,45.626253,87.987129,-143.571294,-12896.692278,0.150347
0.020000,116.536563,151.012083,47.438318,90.603237,130.805382,13718.833786,0.160836
0.020000,118.358085,151.317645,49.285292,92.348669,87.271619,-2176.688179,0.171580
0.020000,120.210536,151.649139,51.167169,94.093878,87.260464,-0.557701,0.182577
0.020000,122.093463,152.007747,53.083941,95.838574,87.234784,-1.284003,0.193828
0.020000,124.006373,152.394669,55.035589,97.582441,87.193338,-2.072334,0.205331
0.020000,125.948734,152.811113,57.022092,99.325147,87.135285,-2.902646,0.217084
0.020000,127.919973,153.258302,59.043419,101.066335,87.059434,-3.792551,0.229084
0.020000,129.919475,153.737460,61.099532,102.805632,86.964818,-4.730780,0.241329
0.020000,131.946579,154.249821,63.190384,104.542642,86.850524,-5.714706,0.253816
0.020000,134.000584,154.796615,65.315924,106.276957,86.715731,-6.739651,0.266539
0.020000,136.080739,155.379071,67.476087,108.008150,86.559679,-7.802580,0.279494
0.020000,138.186254,155.998413,69.670802,109.735784,86.381661,-8.900899,0.292675
0.020000,140.315268,156.655530,71.898919,111.405821,83.501897,-143.988227,0.306071
0.020000,142.464877,157.350906,74.158203,112.964221,77.919993,-279.095177,0.319660
0.020000,144.399994,157.990650,76.196327,101.906197,-552.901212,-31541.060285,0.316737
0.020000,146.405293,158.644674,78.305586,105.462957,177.838019,36536.961541,0.314523
0.020000,148.484490,159.322663,80.492531,109.347226,194.213434,818.770772,0.316615
0.020000,150.634357,160.033983,82.757018,113.224379,193.857628,-17.790301,0.323161
0.020000,152.851294,160.789325,85.099102,117.104165,193.989306,6.583888,0.334318
0.020000,155.131087,161.600711,87.518978,120.993834,194.483462,24.707837,0.350258
0.020000,157.468552,162.481447,90.016865,124.894349,195.025736,27.113655,0.371153
0.020000,159.857075,163.445971,92.592782,128.795813,195.073191,2.372793,0.397162
0.020000,162.288034,164.509538,95.246220,132.671920,193.805391,-63.390040,0.428400
0.020000,164.750163,165.687665,97.975701,136.474028,190.105384,-185.000313,0.464908
0.020000,167.228938,166.995263,100.778225,140.126208,182.608980,-374.820236,0.506604
0.020000,169.706150,168.445426,103.648686,143.523071,169.843156,-638.291190,0.553246
0.020000,172.159875,170.047930,106.579349,146.533140,150.503463,-966.984652,0.604381
0.020000,174.565085,171.807646,109.559557,149.010407,123.863324,-1332.006946,0.659329
0.020000,176.896008,173.724071,112.577153,150.879819,93.470620,-1519.635201,0.717213
0.020000,179.127942,175.790969,115.619125,152.098599,60.938980,-1626.581988,0.777011
0.020000,181.200891,177.954395,118.615378,149.812634,-114.298239,-8761.860930,0.836912
0.020000,183.264570,180.416626,121.828063,160.634271,541.081868,32769.005310,0.910120
0.020000,185.167838,183.070292,125.093699,163.281800,132.376446,-20435.271066,0.987489
0.020000,186.872901,185.892557,128.391034,164.866727,79.246365,-2656.504066,1.067349
0.020000,188.348449,188.846240,131.692774,165.086984,11.012838,-3411.676350,1.147555
0.020000,189.575708,191.883955,134.969033,163.812982,-63.700104,-3735.647108,1.225758
0.020000,190.551846,194.955174,138.191646,161.130650,-134.116595,-3520.824542,1.299747
0.020000,191.289471,198.013705,141.337866,157.310984,-190.983284,-2843.334458,1.367733
0.020000,191.812847,201.022921,144.392257,152.719541,-229.572171,-1929.444370,1.428506
0.020000,192.152775,203.957639,147.346597,147.716993,-250.127382,-1027.760524,1.481423
0.020000,192.342008,206.803199,150.198441,142.592234,-256.237987,-305.530257,1.526292
0.020000,192.412137,209.553057,152.949194,137.537615,-252.730938,175.352459,1.563226
0.020000,192.391966,212.206092,155.602305,132.655567,-244.102385,431.427622,1.592497
0.020000,192.307004,214.764253,158.161877,127.978622,-233.847250,512.756795,1.614429
0.020000,192.179595,217.230798,160.631711,123.491665,-224.347836,474.970694,1.629319
0.020000,192.029330,219.609055,163.014710,119.149942,-217.086188,363.082408,1.637398
0.020000,191.873539,221.901608,165.312550,114.892009,-212.896640,209.477378,1.638797
0.020000,191.727707,224.109769,167.525522,110.648597,-212.170620,36.301015,1.633541
0.020000,191.605785,226.233255,169.652505,106.349149,-214.972396,-140.088834,1.621540
0.020000,191.528363,228.198153,171.618927,98.321111,-401.401898,-9321.475071,1.599707
0.020000,191.484917,230.288623,173.709849,104.546107,311.249802,35632.585011,1.584879
0.020000,191.463222,232.479124,175.900457,109.530406,249.214975,-3101.741364,1.577868
0.020000,191.447669,234.768338,178.189724,114.463336,246.646493,-128.424106,1.578595
0.020000,191.420408,237.156205,180.577747,119.401131,246.889752,12.162926,1.587068
0.020000,191.361140,239.643475,183.065723,124.398813,249.884087,149.716755,1.603382
0.020000,191.246834,242.230895,185.655666,129.497160,254.917360,251.663662,1.627696
0.020000,191.051510,244.917954,188.349815,134.707451,260.514560,279.859991,1.660188
0.020000,190.746314,247.701130,191.149675,139.993000,264.277458,188.144901,1.700976
0.020000,190.300232,250.571657,194.054656,145.249045,262.802246,-73.760569,1.750017
0.020000,189.681845,253.513094,197.060392,150.286808,251.888130,-545.705821,1.806969
0.020000,188.862390,256.499363,200.157053,154.833069,227.313077,-1228.752644,1.871063
0.020000,187.819985,259.494330,203.328241,158.559395,186.316261,-2049.840799,1.941011
0.020000,186.544034,262.453953,206.551194,161.147620,129.411281,-2845.248984,2.015026
0.020000,185.038179,265.331270,209.798739,162.377272,61.482587,-3396.434731,2.090973
0.020000,183.437876,267.915909,212.838694,151.997760,-518.975579,-29022.908289,2.154280
0.020000,181.802591,270.272954,215.707460,143.438303,-427.972874,4550.135246,2.200478
0.020000,180.056627,272.555574,218.581264,143.690156,12.592641,22028.275780,2.247071
0.020000,178.206432,274.754101,221.454719,143.672753,-0.870151,-673.139636,2.293637
0.020000,176.260334,276.860184,224.322276,143.377864,-14.744419,-693.713372,2.339740
0.020000,174.228145,278.867228,227.178500,142.811214,-28.332517,-679.404915,2.384953
